"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-3520.519989","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-40.769998","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-719.799997","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-717.700007","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-99.900000","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-57.280000","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-245.999999","0.000000","1.000000","Volumetric","-1.000000"
"PL-AF","Flow Categories","-61.239998","0.000000","1.000000","Volumetric","-1.000000"
"PL-PL","Flow Categories","","","1.000000","Volumetric","0"
"PL-D1","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
"DH","Flow Categories","","","1.000000","Volumetric","0"
"CM","Flow Categories","","","1.000000","Volumetric","0"
"DM","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0"
"DL","Flow Categories","","","1.000000","Volumetric","0"
"CH","Flow Categories","","","1.000000","Volumetric","0"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"CT","Flow Categories","","","1.000000","Volumetric","-1.000000"
"PL-DC","Flow Categories","-27.319999","0.000000","1.000000","Volumetric","0"
"PL-CC","Flow Categories","-1.850000","0.000000","1.000000","Volumetric","0"
