"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-2544.050003","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-172.930000","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-52.269998","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-293.029994","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-116.559997","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-22.399999","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-206.130001","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"IC","Flow Categories","-36.919997","0.000000","1.000000","Volumetric","-1.000000"
"PL-PL","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0"
"DM","Flow Categories","","","1.000000","Volumetric","0"
"DH","Flow Categories","","","1.000000","Volumetric","0"
"PL-AF","Flow Categories","-39.328001","0.000000","1.000000","Volumetric","-1.000000"
