"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60203400002765","Nodes","-190","21.000000","43.918417","Default Known Flow Node","Known Flow","321806.326587","695137.004887","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000134","Nodes","134, P00057395, Station Road, -12.37 SCMHS","22.999998","44.035820","CSEP DDS Matched","Known Flow","321791.707960","695132.683187","","0.000000","","","","","","","-4.439999","-12.369999","","","","","","-15.031803","-16.809999","","","","","","","","","D1 PROFILE","DC PROFILE","","","","",""
"60203400000121","Nodes","121","21.000000","36.872923","DDS demands","Known Flow","322503.228912","695213.591383","","0.000000","","","","","","","-7.639999","","","","","","","-6.831824","-7.639999","","","","","","","","","D1 PROFILE","","","","","",""
"60203400000434","Nodes","Logger 9324, 139 Cardenden Road","21.000000","36.641462","Val Log Post","Known Flow","322588.156766","695214.033810","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000067","Nodes","67","21.000000","36.558218","DDS demands","Known Flow","322638.103948","695202.341380","","0.000000","","","","","","","-7.539999","","","","","","","-6.742402","-7.539999","","","","","","","","","D1 PROFILE","","","","","",""
"60203400002753","Nodes","-159","21.000000","38.489149","Default Known Flow Node","Known Flow","322469.158902","695032.151334","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000435","Nodes","Logger 9585, 7 Forest Road","21.000000","38.332774","Val Log Post","Known Flow","322475.432705","695034.051792","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000275","Nodes","275","21.000000","37.125092","DDS demands","Known Flow","322526.353918","695046.341338","","0.000000","","","","","","","-29.839999","","","","","","","-26.683461","-29.839999","","","","","","","","","D1 PROFILE","","","","","",""
"60203400000186","Nodes","186","21.000000","37.740240","DDS demands","Known Flow","321681.333780","694655.843678","","0.000000","","","","","","","-8.029999","","","","","","","-7.180569","-8.029999","","","","","","","","","D1 PROFILE","","","","","",""
"60203400002799","Nodes","-251","21.000000","33.007332","Default Known Flow Node","Known Flow","321667.228684","695642.466500","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
