"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)"
"60203800000124","Nodes","124","21.000000","45.747520","DDS demands","Known Flow","360944.129372","707255.774660","","0.000000","","","","","-3.549999","","","","-3.174473","-3.549999","","","","","","","D1 PROFILE","","",""
"60203800000125","Nodes","125","21.000000","45.047652","DDS demands","Known Flow","360978.864045","707239.948718","","0.000000","","","","","-14.470000","","","","-12.939333","-14.470000","","","","","","","D1 PROFILE","","",""
"60203800000031","Nodes","31","21.000000","45.762471","DDS demands","Known Flow","360949.358849","707313.980983","","0.000000","","","","","-14.279999","","","","-12.769430","-14.279999","","","","","","","D1 PROFILE","","",""
"60203800000120","Nodes","120","21.000000","42.398479","DDS demands","Known Flow","361040.696540","707412.869017","","0.000000","","","","","-8.930000","","","","-7.985366","-8.930000","","","","","","","D1 PROFILE","","",""
"60203800000150","Nodes","150","21.000000","42.087535","Default Known Flow Node","Known Flow","361074.822408","707446.366712","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009827","Nodes","-12","21.000000","49.162187","Default Known Flow Node","Known Flow","360826.044666","707222.315338","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000123","Nodes","123","21.000000","46.790338","DDS demands","Known Flow","360911.965882","707291.287392","","0.000000","","","","","-5.670000","","","","-5.070216","-5.670000","","","","","","","D1 PROFILE","","",""
"60203800000111","Nodes","111","21.000000","35.889205","DDS demands","Known Flow","361171.303434","707546.558739","","0.000000","","","","","-10.310000","","","","-9.219387","-10.310000","","","","","","","D1 PROFILE","","",""
"60203800009817","Nodes","Logger 9817, Post Fit Shoregate, Crail","21.000000","35.496377","Val Log Post","Known Flow","361189.237014","707533.321115","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000203","Nodes","203","21.000000","38.552334","Default Known Flow Node","Known Flow","361076.259183","707971.162914","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009811","Nodes","Logger 9811, Post Fit Bowbutts, Crail","21.000000","38.748049","Val Log Post","Known Flow","361058.304855","707948.540789","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000060","Nodes","60","21.000000","38.896775","DDS demands","Known Flow","361039.805398","707917.069840","","0.000000","","","","","-1.970000","","","","-1.761609","-1.970000","","","","","","","D1 PROFILE","","",""
"60203800000212","Nodes","212","21.000000","25.129844","Default Known Flow Node","Known Flow","361521.974661","708035.684094","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009819","Nodes","-1006","21.000000","24.822590","Default Known Flow Node","Known Flow","361562.107313","708117.477452","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000213","Nodes","213","21.000000","24.585041","Default Known Flow Node","Known Flow","361586.222547","708168.669909","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000158","Nodes","158","21.000000","34.618777","DDS demands","Known Flow","361248.700455","707477.646721","","0.000000","","","","","-5.800000","","","","-5.186464","-5.800000","","","","","","","D1 PROFILE","","",""
"60203800000159","Nodes","159","21.000000","34.309332","DDS demands","Known Flow","361224.952448","707440.896711","","0.000000","","","","","-11.430000","","","","-10.220911","-11.430000","","","","","","","D1 PROFILE","","",""
"60203800000118","Nodes","118","21.000000","33.735238","DDS demands","Known Flow","361167.977433","707412.918703","","0.000000","","","","","-1.909999","","","","-1.707956","-1.909999","","","","","","","D1 PROFILE","","",""
"60203800000116","Nodes","116","21.000000","41.190086","DDS demands","Known Flow","361083.647410","707452.041714","","0.000000","","","","","-17.079999","","","-4.380000","-19.189915","-21.459999","","","","","","","D1 PROFILE","","","I2 PROFILE"
"60203800009903","Nodes","-24","21.000000","40.977057","Default Known Flow Node","Known Flow","361087.059411","707454.635714","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000151","Nodes","151","21.000000","40.969889","DDS demands","Known Flow","361099.236414","707441.652711","","0.000000","","","","","-2.419999","","","","-2.164007","-2.419999","","","","","","","D1 PROFILE","","",""
"60203800009905","Nodes","-29","21.000000","38.638257","Default Known Flow Node","Known Flow","361118.802419","707488.438724","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000115","Nodes","115","21.000000","39.811933","DDS demands","Known Flow","360997.367386","707599.031754","","0.000000","","","","","-17.350000","","","","-15.514680","-17.350000","","","","","","","D1 PROFILE","","",""
"60203800000137","Nodes","137","21.000000","39.586961","DDS demands","Known Flow","360979.776382","707639.336765","","0.000000","","","","","-8.339999","","","","-7.457777","-8.339999","","","","","","","D1 PROFILE","","",""
"60203800009911","Nodes","-44","21.000000","39.817514","DDS demands","Known Flow","360996.742386","707597.795753","","0.000000","","","","","-10.169999","","","","-9.094195","-10.169999","","","","","","","D1 PROFILE","","",""
"60203800000152","Nodes","152","21.000000","40.418213","DDS demands","Known Flow","360955.239375","707509.469729","","0.000000","","","","","-8.460000","","","","-7.565083","-8.460000","","","","","","","D1 PROFILE","","",""
"60203800009922","Nodes","-76","21.000000","39.093423","Default Known Flow Node","Known Flow","360984.145385","707775.433844","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000076","Nodes","76","21.000000","38.916773","DDS demands","Known Flow","360960.457376","707781.553803","","0.000000","","","","","-13.449999","","","","-12.027230","-13.449999","","","","","","","D1 PROFILE","","",""
"60203800009842","Nodes","-1462496","21.000000","39.050667","Default Known Flow Node","Known Flow","360977.959381","707750.304795","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009927","Nodes","P10125239, Plots 1-8 Kirkmay Road, 10.71 (FULLY DEVELOPED - 4.657)","22.999998","39.406423","CSEP DDS Matched","Known Flow","361018.526869","707811.332950","","0.000000","","","","","","-4.657000","","","-4.164372","-4.657000","","","","","","","","DC PROFILE","",""
"60203800000074","Nodes","74","21.000000","39.379928","DDS demands","Known Flow","360965.958378","707819.055814","","0.000000","","","","","-3.359999","","","","-3.004572","-3.359999","","","","","","","D1 PROFILE","","",""
"60203800009835","Nodes","-1462477","21.000000","39.359729","Default Known Flow Node","Known Flow","360997.106386","707814.527812","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000022","Nodes","22","21.000000","39.265209","DDS demands","Known Flow","360997.811387","707939.486846","","0.000000","-2.840000","","","","-7.040000","","","","-8.834872","-9.880000","","","C1 PROFILE","","","","D1 PROFILE","","",""
"60203800000133","Nodes","133","21.000000","37.677429","DDS demands","Known Flow","361062.947404","707578.563748","","0.000000","","","","","-9.930000","","","","-8.879584","-9.930000","","","","","","","D1 PROFILE","","",""
"60203800000128","Nodes","128","21.000000","29.674555","DDS demands","Known Flow","361346.771482","707567.152745","","0.000000","","","","","-3.869999","","","","-3.460623","-3.869999","","","","","","","D1 PROFILE","","",""
"60203800000129","Nodes","129","21.000000","29.674555","Default Known Flow Node","Known Flow","361370.351488","707536.412737","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009848","Nodes","-1462511","21.000000","27.283360","Default Known Flow Node","Known Flow","361180.206436","707727.346789","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009915","Nodes","-59","21.000000","27.326940","Default Known Flow Node","Known Flow","361169.835433","707733.340790","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000210","Nodes","210","21.000000","28.411545","Default Known Flow Node","Known Flow","361243.152453","707880.450830","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000209","Nodes","209","21.000000","28.411545","Default Known Flow Node","Known Flow","361191.440439","707805.094810","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009917","Nodes","-62","21.000000","28.908658","Default Known Flow Node","Known Flow","361276.764462","707743.943793","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009838","Nodes","-1462483","21.000000","27.187978","Default Known Flow Node","Known Flow","361367.243487","707864.103826","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000051","Nodes","51","21.000000","27.187978","DDS demands","Known Flow","361366.150487","707862.771825","","0.000000","","","","","-28.280001","","","","-25.288484","-28.280001","","","","","","","D1 PROFILE","","",""
"60203800000053","Nodes","53","21.000000","26.392891","DDS demands","Known Flow","361416.647501","707916.972840","","0.000000","","","","","-9.679999","","","","-8.656029","-9.679999","","","","","","","D1 PROFILE","","",""
"60203800009821","Nodes","-103","21.000000","26.039811","DDS demands","Known Flow","361386.427492","707941.912847","","0.000000","-6.179999","","","","-7.219999","","","","-11.982519","-13.399999","","","C1 PROFILE","","","","D1 PROFILE","","",""
"60203800009820","Nodes","-101","21.000000","26.069792","DDS demands","Known Flow","361431.480505","707935.486845","","0.000000","","","","","-5.160000","","","","-4.614164","-5.160000","","","","","","","D1 PROFILE","","",""
"60203800009933","Nodes","-97","21.000000","26.026163","Default Known Flow Node","Known Flow","361463.646513","707912.572839","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000108","Nodes","108","21.000000","27.805205","DDS demands","Known Flow","361431.035796","707690.464665","","0.000000","","","","","-12.799999","","","","-11.445988","-12.799999","","","","","","","D1 PROFILE","","",""
"60203800009906","Nodes","-33","21.000000","38.631513","DDS demands","Known Flow","361102.401415","707503.373728","","0.000000","","","","","-2.099999","","","","-1.877857","-2.099999","","","","","","","D1 PROFILE","","",""
"60203800000066","Nodes","66","21.000000","28.395939","DDS demands","Known Flow","361302.959229","707759.685268","","0.000000","","","","","-4.849999","","","","-4.336956","-4.849999","","","","","","","D1 PROFILE","","",""
"60203800000166","Nodes","166","21.000000","28.466967","DDS demands","Known Flow","361293.502467","707764.234799","","0.000000","-5.059999","","","","-7.710000","","","","-11.419162","-12.770000","","","C1 PROFILE","","","","D1 PROFILE","","",""
"60203800000119","Nodes","119","21.000000","28.753235","Default Known Flow Node","Known Flow","361281.656464","707750.686795","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009837","Nodes","-1462481","21.000000","28.399082","Default Known Flow Node","Known Flow","361301.610053","707761.159215","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000172","Nodes","172","21.000000","28.831669","Default Known Flow Node","Known Flow","361279.145463","707747.314794","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000167","Nodes","167","21.000000","28.752290","DDS demands","Known Flow","361281.293464","707753.301796","","0.000000","","","","","-7.960000","","","","-7.117974","-7.960000","","","","","","","D1 PROFILE","","",""
"60203800000109","Nodes","109","21.000000","30.351416","DDS demands","Known Flow","361363.411486","707633.174763","","0.000000","","","","","-16.389999","","","","-14.656231","-16.389999","","","","","","","D1 PROFILE","","",""
"60203800000130","Nodes","130","21.000000","28.174238","DDS demands","Known Flow","361411.688499","707673.904774","","0.000000","","","-4.099999","","-7.570000","","","","-10.435523","-11.669999","","","","","C3 PROFILE","","D1 PROFILE","","",""
"60203800009910","Nodes","-43","21.000000","29.837369","DDS demands","Known Flow","361363.333486","707594.052752","","0.000000","-4.880000","","-5.059999","","","","","","-8.888526","-9.939999","","","C1 PROFILE","","C3 PROFILE","","","","",""
"60203800000113","Nodes","113","21.000000","29.923568","DDS demands","Known Flow","361253.262456","707700.554781","","0.000000","","","","","-13.959999","","","","-12.483281","-13.959999","","","","","","","D1 PROFILE","","",""
"60203800000157","Nodes","157","21.000000","31.322725","DDS demands","Known Flow","361209.173444","707654.096769","","0.000000","","","","","-13.159999","","","","-11.767906","-13.159999","","","","","","","D1 PROFILE","","",""
"60203800000127","Nodes","127","21.000000","29.876096","DDS demands","Known Flow","361267.173460","707661.074771","","0.000000","","","","","-2.059999","","","","-1.842088","-2.059999","","","","","","","D1 PROFILE","","",""
"60203800000131","Nodes","131","21.000000","29.832750","Default Known Flow Node","Known Flow","361267.573460","707578.565748","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000132","Nodes","132","21.000000","29.735124","DDS demands","Known Flow","361302.464469","707596.938753","","0.000000","","","","","-1.440000","","","","-1.287673","-1.440000","","","","","","","D1 PROFILE","","",""
"60203800000121","Nodes","121","21.000000","28.381974","DDS demands","Known Flow","361185.680438","707808.126811","","0.000000","","","","","-11.109999","","","","-9.934760","-11.109999","","","","","","","D1 PROFILE","","",""
"60203800000038","Nodes","38","21.000000","35.923725","DDS demands","Known Flow","361165.415432","707537.462737","","0.000000","","","-3.170000","","-15.460000","","","","-16.659279","-18.630000","","","","","C3 PROFILE","","D1 PROFILE","","",""
"60203800000112","Nodes","112","21.000000","35.643373","DDS demands","Known Flow","361207.395444","707605.299755","","0.000000","-5.940000","","","","-11.470000","","","-1.290000","-16.721875","-18.700000","","","C1 PROFILE","","","","D1 PROFILE","","","I2 PROFILE"
"60203800000207","Nodes","207","21.000000","35.452901","DDS demands","Known Flow","361233.928451","707647.062767","","0.000000","","","","-4.449999","-3.930000","","","","-7.493545","-8.379999","","","","","","C4 PROFILE","D1 PROFILE","","",""
"60203800000154","Nodes","154","21.000000","36.978334","DDS demands","Known Flow","361151.802428","707516.659731","","0.000000","","","","","-3.119999","","","","-2.789959","-3.119999","","","","","","","D1 PROFILE","","",""
"60203800009908","Nodes","-36","21.000000","29.674555","Default Known Flow Node","Known Flow","361371.821488","707535.286736","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000110","Nodes","110","21.000000","34.678999","DDS demands","Known Flow","361231.034450","707502.681727","","0.000000","","","","","-9.390000","","","","-8.396706","-9.390000","","","","","","","D1 PROFILE","","",""
"60203800009909","Nodes","-40","21.000000","32.591708","DDS demands","Known Flow","361265.923460","707551.324741","","0.000000","","","","","-25.729999","","","","-23.008225","-25.729999","","","","","","","D1 PROFILE","","",""
"60203800009907","Nodes","-34","21.000000","36.978334","Default Known Flow Node","Known Flow","361145.035427","707515.055731","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000204","Nodes","204","21.000000","38.882425","Default Known Flow Node","Known Flow","361054.824793","707908.191168","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009925","Nodes","-79","21.000000","39.242450","Default Known Flow Node","Known Flow","361001.098387","707777.722802","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000136","Nodes","136","21.000000","39.422635","DDS demands","Known Flow","361031.448396","707721.977787","","0.000000","","","","","-10.759999","","","","-9.621784","-10.759999","","","","","","","D1 PROFILE","","",""
