"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60203900000120","Nodes","120","21.000000","21.611459","DDS demands","Known Flow","306856.781040","685921.282508","","0.000000","","","","","-9.180000","","","-8.208920","-9.180000","","","","","","","D1 PROFILE","",""
"60203900000091","Nodes","91","21.000000","39.021900","DDS demands","Known Flow","306729.156490","686633.107818","","0.000000","","","","","-15.370000","","","-13.744129","-15.370000","","","","","","","D1 PROFILE","",""
"60203900000074","Nodes","74","21.000000","21.147892","DDS demands","Known Flow","306796.481638","686000.294876","","0.000000","","","","","-10.249999","","","-9.165733","-10.249999","","","","","","","D1 PROFILE","",""
"60203900000198","Nodes","198","21.000000","26.581236","DDS demands","Known Flow","306917.812671","686291.843956","","0.000000","","","","","-8.339999","","","-7.457777","-8.339999","","","","","","","D1 PROFILE","",""
"60203900000067","Nodes","67","21.000000","23.150247","DDS demands","Known Flow","306708.955846","686257.179563","","0.000000","","","","","-12.539999","","","-11.213492","-12.539999","","","","","","","D1 PROFILE","",""
"60203900000066","Nodes","66","21.000000","23.178994","DDS demands","Known Flow","306673.322984","686300.809784","","0.000000","","","","","-13.149999","","","-11.758964","-13.149999","","","","","","","D1 PROFILE","",""
"60203900000080","Nodes","80","21.000000","24.259314","DDS demands","Known Flow","306933.251689","686101.212813","","0.000000","","","","","-3.069999","","","-2.745248","-3.069999","","","","","","","D1 PROFILE","",""
"60203900000113","Nodes","113","21.000000","23.670228","DDS demands","Known Flow","306954.886869","686077.220925","","0.000000","","","","","-10.450000","","","-9.344577","-10.450000","","","","","","","D1 PROFILE","",""
"60203900000081","Nodes","81","21.000000","24.074516","DDS demands","Known Flow","306976.630634","686160.424604","","0.000000","","","","","-14.359999","","","-12.840968","-14.359999","","","","","","","D1 PROFILE","",""
"60203900003017","Nodes","3017","21.000000","26.023042","Default Known Flow Node","Known Flow","306861.914656","686431.904994","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000185","Nodes","185","21.000000","26.023042","Default Known Flow Node","Known Flow","306871.243615","686434.006819","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003021","Nodes","3021","21.000000","26.917222","Default Known Flow Node","Known Flow","306992.701691","686303.840959","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003029","Nodes","3029","21.000000","26.023042","Default Known Flow Node","Known Flow","306892.890664","686442.403997","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000056","Nodes","Logger 9209, PitFirrane Park","21.000000","25.979279","Val Log Cath","Known Flow","306884.036624","686398.129565","","0.000000","","","","","-21.770001","","","-19.467124","-21.770001","","","","","","","D1 PROFILE","",""
"60203900000182","Nodes","182","21.000000","27.006468","DDS demands","Known Flow","306955.688493","686410.165234","","0.000000","","","","","-12.000000","","","-10.730614","-12.000000","","","","","","","D1 PROFILE","",""
"60203900000183","Nodes","183","21.000000","26.910955","DDS demands","Known Flow","306962.440855","686395.594348","","0.000000","","","","","-7.659999","","","-6.849708","-7.659999","","","","","","","D1 PROFILE","",""
"60203900000063","Nodes","63","21.000000","23.999450","DDS demands","Known Flow","306856.196654","686278.341952","","0.000000","","","","","-13.449999","","","-12.027230","-13.449999","","","","","","","D1 PROFILE","",""
"60203900000062","Nodes","62","21.000000","24.811227","DDS demands","Known Flow","306895.761082","686197.875273","","0.000000","","","","","-13.609999","","","-12.170305","-13.609999","","","","","","","D1 PROFILE","",""
"60203900003057","Nodes","3057","21.000000","23.999450","Default Known Flow Node","Known Flow","306842.892046","686309.285452","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000064","Nodes","64","21.000000","23.586781","DDS demands","Known Flow","306809.571763","686258.003190","","0.000000","","","","","-13.739999","","","-12.286554","-13.739999","","","","","","","D1 PROFILE","",""
"60203900003059","Nodes","3059","21.000000","23.556571","Default Known Flow Node","Known Flow","306731.580690","686334.531867","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003058","Nodes","3058","21.000000","23.178994","Default Known Flow Node","Known Flow","306679.057606","686327.609966","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
