"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"C1","Flow Categories","-98.250002","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-72.209998","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-8.770000","0.000000","1.000000","Volumetric","-1.000000"
"D1","Flow Categories","-520.870002","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-65.759997","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-7.929999","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-25.560000","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
