"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"60204400001221","Nodes","","21.000000","22.893063","Default Known Flow Node","Known Flow","333584.125000","696460.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001222","Nodes","","21.000000","22.893063","Default Known Flow Node","Known Flow","333587.875000","696447.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001224","Nodes","","21.000000","22.751666","Default Known Flow Node","Known Flow","333594.750000","696422.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001225","Nodes","","21.000000","22.751666","Default Known Flow Node","Known Flow","333595.875000","696417.125000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001227","Nodes","","21.000000","22.673982","Default Known Flow Node","Known Flow","333598.750000","696401.125000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000224","Nodes","","21.000000","22.580670","Default Known Flow Node","Known Flow","333599.875000","696367.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001235","Nodes","","21.000000","24.687361","Default Known Flow Node","Known Flow","333687.088791","696394.160428","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000107","Nodes","","21.000000","25.059200","DDS demands","Known Flow","333679.970195","696429.499171","","0.000000","","","","-19.969998","","-17.857530","-19.969998","","","","","","D1 PROFILE",""
"60204400000057","Nodes","","21.000000","22.704171","DDS demands","Known Flow","333512.682620","696229.521905","","0.000000","","","","-7.790000","","-6.965957","-7.790000","","","","","","D1 PROFILE",""
"60204400000058","Nodes","","21.000000","22.826372","DDS demands","Known Flow","333373.250000","696087.250000","","0.000000","","","","-6.090000","","-5.445787","-6.090000","","","","","","D1 PROFILE",""
"60204400001230","Nodes","","21.000000","23.012901","Default Known Flow Node","Known Flow","333577.250000","696487.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000225","Nodes","","21.000000","22.893063","Default Known Flow Node","Known Flow","333574.125000","696443.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001220","Nodes","","21.000000","22.966240","Default Known Flow Node","Known Flow","333581.125000","696472.875000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000223","Nodes","","21.000000","22.580670","Default Known Flow Node","Known Flow","333589.250000","696366.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001223","Nodes","","21.000000","22.893063","Default Known Flow Node","Known Flow","333590.625000","696436.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001226","Nodes","","21.000000","22.751666","Default Known Flow Node","Known Flow","333597.125000","696411.750000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001228","Nodes","","21.000000","22.580670","Default Known Flow Node","Known Flow","333600.125000","696351.125000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000043","Nodes","","21.000000","28.871957","DDS demands","Known Flow","333852.375000","696609.750000","","0.000000","","","","-5.449999","","-4.873487","-5.449999","","","","","","D1 PROFILE",""
"60204400000100","Nodes","","21.000000","29.077858","DDS demands","Known Flow","333901.875000","696704.875000","","0.000000","-1.320000","","","-10.580000","","-10.641193","-11.900000","","","C1 PROFILE","","","D1 PROFILE",""
"60204400000047","Nodes","","21.000000","25.830160","DDS demands","Known Flow","333706.518516","696654.889882","","0.000000","","","","-14.179999","","-12.680009","-14.179999","","","","","","D1 PROFILE",""
"60204400000104","Nodes","","21.000000","25.765399","DDS demands","Known Flow","333726.625555","696623.657952","","0.000000","","","","-10.689999","","-9.559189","-10.689999","","","","","","D1 PROFILE",""
"60204400001217","Nodes","","21.000000","23.068986","Default Known Flow Node","Known Flow","333561.250000","696545.375000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001219","Nodes","","21.000000","22.966240","Default Known Flow Node","Known Flow","333571.250000","696509.125000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001233","Nodes","","21.000000","25.154972","Default Known Flow Node","Known Flow","333600.005280","696584.760077","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001232","Nodes","","21.000000","25.154972","Default Known Flow Node","Known Flow","333598.393736","696583.698816","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001237","Nodes","","21.000000","25.871106","DDS demands","Known Flow","333699.219638","696649.889863","","0.000000","","","","-10.699999","","-9.568131","-10.699999","","","","","","D1 PROFILE",""
"60204400001238","Nodes","","21.000000","25.872088","Default Known Flow Node","Known Flow","333702.610455","696652.131250","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000039","Nodes","","21.000000","29.674645","DDS demands","Known Flow","333998.375000","696773.875000","","0.000000","","","","-7.679999","","-6.867593","-7.679999","","","","","","D1 PROFILE",""
"60204400000040","Nodes","","21.000000","29.526536","DDS demands","Known Flow","333970.729748","696771.349033","","0.000000","","","","-13.749999","","-12.295496","-13.749999","","","","","","D1 PROFILE",""
"60204400001247","Nodes","","21.000000","29.009659","Default Known Flow Node","Known Flow","333940.333876","696615.630170","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000124","Nodes","","21.000000","25.338496","DDS demands","Known Flow","333596.192603","696585.506890","","0.000000","","-24.999999","","0.000000","","-22.355447","-24.999999","","","","C2 PROFILE","","D1 PROFILE",""
"60204400001231","Nodes","","21.000000","25.336043","Default Known Flow Node","Known Flow","333593.716328","696584.091876","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000051","Nodes","","21.000000","25.196777","DDS demands","Known Flow","333598.747490","696581.930048","","0.000000","","","","-5.960000","","-5.329538","-5.960000","","","","","","D1 PROFILE",""
"60204400000052","Nodes","","21.000000","25.196464","DDS demands","Known Flow","333617.125000","696492.750000","","0.000000","","","","-6.690000","","-5.982318","-6.690000","","","","","","D1 PROFILE",""
"60204400000106","Nodes","","21.000000","25.447357","DDS demands","Known Flow","333663.500000","696524.875000","","0.000000","","","","-6.439999","","-5.758763","-6.439999","","","","","","D1 PROFILE",""
"60204400001234","Nodes","","21.000000","25.447357","Default Known Flow Node","Known Flow","333665.375000","696514.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001236","Nodes","","21.000000","25.798976","Default Known Flow Node","Known Flow","333692.625000","696600.875000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001240","Nodes","","21.000000","25.640099","DDS demands","Known Flow","333749.088905","696618.978088","","0.000000","","","","-13.279999","","-11.875213","-13.279999","","","","","","D1 PROFILE",""
"60204400000110","Nodes","","21.000000","25.623394","DDS demands","Known Flow","333773.375000","696699.500000","","0.000000","","","","-7.610000","","-6.804998","-7.610000","","","","","","D1 PROFILE",""
"60204400000101","Nodes","","21.000000","25.344776","Default Known Flow Node","Known Flow","333788.500000","696731.375000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000111","Nodes","","21.000000","24.141862","DDS demands","Known Flow","333846.375000","696761.125000","","0.000000","","","","-14.529999","","-12.992986","-14.529999","","","","","","D1 PROFILE",""
"60204400000070","Nodes","","21.000000","30.083445","DDS demands","Known Flow","333899.535390","696943.264513","","0.000000","-1.649999","","","-13.850000","","-13.860377","-15.500000","","","C1 PROFILE","","","D1 PROFILE",""
"60204400001246","Nodes","","21.000000","29.715008","Default Known Flow Node","Known Flow","333926.625000","696888.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000045","Nodes","","21.000000","30.129687","DDS demands","Known Flow","333904.500000","696946.625000","","0.000000","","0.000000","","-17.889999","","-15.997558","-17.889999","","","","C2 PROFILE","","D1 PROFILE",""
"60204400001218","Nodes","","21.000000","23.022330","Default Known Flow Node","Known Flow","333568.875000","696515.875000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000053","Nodes","","21.000000","23.125571","DDS demands","Known Flow","333547.875000","696551.500000","","0.000000","","","","-16.840000","","-15.058629","-16.840000","","","","","","D1 PROFILE",""
"60204400001243","Nodes","","21.000000","25.733046","Default Known Flow Node","Known Flow","333756.264697","696637.697546","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001241","Nodes","","21.000000","27.702605","Default Known Flow Node","Known Flow","333750.157094","696817.024374","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001239","Nodes","","21.000000","27.702605","Default Known Flow Node","Known Flow","333747.555256","696820.146579","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001242","Nodes","","21.000000","27.702605","Default Known Flow Node","Known Flow","333756.921874","696812.341065","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001244","Nodes","","21.000000","30.108528","Default Known Flow Node","Known Flow","333893.301990","696968.955917","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
