"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-1070.729999","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-62.839999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-99.179999","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-13.440000","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-30.440000","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-10.490000","0.000000","1.000000","Volumetric","-1.000000"
"PL-PL","Flow Categories","","","1.000000","Volumetric","0"
"PL-AF","Flow Categories","-2.219999","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"DC","Flow Categories","-30.470001","0.000000","1.000000","Volumetric","-1.000000"
"DH","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0"
"PL-DC","Flow Categories","-32.310001","0.000000","1.000000","Volumetric","0"
