"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-5353.189986","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-337.689999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-662.129989","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-103.769999","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-5.500000","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-237.420005","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-103.400002","0.000000","1.000000","Volumetric","-1.000000"
"PL-AF","Flow Categories","-111.140006","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"CC","Flow Categories","-39.129999","0.000000","1.000000","Volumetric","-1.000000"
"DM","Flow Categories","","","1.000000","Volumetric","0"
"PL-DC","Flow Categories","-37.659999","0.000000","1.000000","Volumetric","0"
