"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)"
"60207500000018","Nodes","18","21.000000","29.661836","DDS demands","Known Flow","324906.635000","710433.680000","","0.000000","-0.490000","-13.029999","","-12.089825","-13.519998","","","C1 PROFILE","D1 PROFILE",""
"60207500000019","Nodes","19","21.000000","28.850156","DDS demands","Known Flow","324958.385000","710473.555000","","0.000000","","-7.239999","","-6.474137","-7.239999","","","","D1 PROFILE",""
"60207500000011","Nodes","11","21.000000","33.120467","DDS demands","Known Flow","324929.798315","710349.869498","","0.000000","","-3.459999","","-3.093993","-3.459999","","","","D1 PROFILE",""
"60207500000012","Nodes","12","21.000000","33.073480","DDS demands","Known Flow","324930.010000","710348.680000","","0.000000","-2.499999","-12.720000","","-13.609996","-15.220000","","","C1 PROFILE","D1 PROFILE",""
"60207500000010","Nodes","10","21.000000","49.185292","DDS demands","Known Flow","324815.089451","710330.515335","","0.000000","","-2.250000","","-2.011990","-2.250000","","","","D1 PROFILE",""
"60207500000025","Nodes","25","21.000000","30.070786","DDS demands","Known Flow","324944.885000","710271.805000","","0.000000","","-11.719999","","-10.480234","-11.719999","","","","D1 PROFILE",""
"60207500000026","Nodes","26","21.000000","29.947447","DDS demands","Known Flow","324889.385000","710268.305000","","0.000000","","-5.810000","","-5.195405","-5.810000","","","","D1 PROFILE",""
"60207500000027","Nodes","27","21.000000","29.541883","DDS demands","Known Flow","324954.760000","710217.430000","","0.000000","","-11.969999","","-10.703788","-11.969999","","","","D1 PROFILE",""
"60207500000042","Nodes","-56697","21.000000","29.494970","Default Known Flow Node","Known Flow","324977.885000","710087.680000","","0.000000","","","","0.000000","0.000000","","","","",""
"60207500000001","Nodes","Dunshelt DG, Tel, Constant, Site ID 1481","21.000000","49.999998","Default Known Pressure Node","Known Pressure","324814.135994","710336.236078","","1298.500040","","","","143.530905","160.509990","","","","",""
