"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"60210500000050","Nodes","50","21.000000","42.340378","DDS demands","Known Flow","347216.375000","703351.125000","","0.000000","","","","","-1.090000","-0.974697","-1.090000","","","","","","","D1 PROFILE"
"60210500000005","Nodes","5","21.000000","42.346912","DDS demands","Known Flow","347280.625000","703373.625000","","0.000000","","","","","-11.660000","-10.426580","-11.660000","","","","","","","D1 PROFILE"
"60210500000012","Nodes","12","21.000000","44.333146","DDS demands","Known Flow","347520.714013","703420.233645","","0.000000","-1.169999","","-2.559999","","-26.010001","-26.594040","-29.740001","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE"
"60210500000013","Nodes","13","21.000000","43.427239","DDS demands","Known Flow","347526.509139","703375.536645","","0.000000","","","","","-3.099999","-2.772075","-3.099999","","","","","","","D1 PROFILE"
"60210500000004","Nodes","4","21.000000","46.191957","DDS demands","Known Flow","347545.459109","703424.681057","","0.000000","","","","","-12.449999","-11.133012","-12.449999","","","","","","","D1 PROFILE"
"60210500000003","Nodes","3","21.000000","47.531512","DDS demands","Known Flow","347615.766885","703438.374300","","0.000000","","","","-1.669999","-29.720000","-28.069500","-31.390000","","","","","","C4 PROFILE","D1 PROFILE"
"60210500000009","Nodes","9","21.000000","43.084030","DDS demands","Known Flow","347742.167872","703459.276003","","0.000000","","-13.420000","","","-14.500000","-24.966564","-27.919999","","","","C2 PROFILE","","","D1 PROFILE"
"60210500000002","Nodes","2","21.000000","49.925196","DDS demands","Known Flow","347646.537477","703379.236760","","0.000000","","","","","-3.890000","-3.478507","-3.890000","","","","","","","D1 PROFILE"
"60210500000001","Nodes","Colinsburgh DG, Tel., ID 1879","21.000000","49.999998","Default Known Pressure Node","Known Pressure","347619.250000","703370.250000","0.000000","99999.002583","","","","","","156.541325","175.059997","","","","","","",""
"60210500000007","Nodes","7","21.000000","41.702421","DDS demands","Known Flow","347768.125000","703366.750000","","0.000000","","","","","-16.219999","-14.504213","-16.219999","","","","","","","D1 PROFILE"
"60210500000011","Nodes","11","21.000000","42.926394","DDS demands","Known Flow","347858.925246","703472.083613","","0.000000","","","","","-3.650000","-3.263895","-3.650000","","","","","","","D1 PROFILE"
"60210500000010","Nodes","10","21.000000","41.325057","DDS demands","Known Flow","347823.250000","703433.250000","","0.000000","","","","","-9.069999","-8.110555","-9.069999","","","","","","","D1 PROFILE"
"60210500000008","Nodes","8","21.000000","40.316312","DDS demands","Known Flow","347766.680861","703270.502262","","0.000000","","","","","-14.239999","-12.733662","-14.239999","","","","","","","D1 PROFILE"
"60210500000006","Nodes","6","21.000000","46.955889","DDS demands","Known Flow","347561.338203","703500.391934","","0.000000","","","","","-10.640000","-9.514479","-10.640000","","","","","","","D1 PROFILE"
"60210501751320","Nodes","751320","21.000000","47.666069","Default Known Flow Node","Known Flow","347614.059232","703438.238976","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60210500005000","Nodes","5000","21.000000","41.416183","Default Known Flow Node","Known Flow","347838.482933","703385.650103","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
