"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"60210600000012","Nodes","12","21.000000","49.652318","DDS demands","Known Flow","324891.180977","722786.435510","","0.000000","","","","-14.279999","","","","-12.769430","-14.279999","","","","","","D1 PROFILE","","",""
"60210600000013","Nodes","13","21.000000","49.055515","DDS demands","Known Flow","324990.823539","722831.888743","","0.000000","","","","-9.469999","","","","-8.468243","-9.469999","","","","","","D1 PROFILE","","",""
"60210600000054","Nodes","54","21.000000","49.472010","DDS demands","Known Flow","324927.242245","722725.408694","","0.000000","","-10.260000","0.000000","","","","","-9.174676","-10.260000","","","","C3 PROFILE","C4 PROFILE","","","",""
"60210600000016","Nodes","16","21.000000","49.300237","DDS demands","Known Flow","324974.544216","722735.672741","","0.000000","","","","-8.100000","","","","-7.243165","-8.100000","","","","","","D1 PROFILE","","",""
"60210600000006","Nodes","6","21.000000","48.350045","DDS demands","Known Flow","324951.691501","722970.791717","","0.000000","","","","-10.660000","","","","-9.532363","-10.660000","","","","","","D1 PROFILE","","",""
"60210600000010","Nodes","10","21.000000","48.419818","DDS demands","Known Flow","324982.744231","722906.895566","","0.000000","","","","-0.839999","","","","-0.751143","-0.839999","","","","","","D1 PROFILE","","",""
"60210600000009","Nodes","9","21.000000","48.416395","DDS demands","Known Flow","324938.268632","722879.956822","","0.000000","","","","-0.980000","","","","-0.876333","-0.980000","","","","","","D1 PROFILE","","",""
"60210600000103","Nodes","103","21.000000","49.139576","Default Known Flow Node","Known Flow","325036.660371","722818.597155","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60210600000024","Nodes","24","21.000000","49.050904","DDS demands","Known Flow","325055.659206","722697.697000","","0.000000","","","","-5.469999","","","","-4.891371","-5.469999","","","","","","D1 PROFILE","","",""
"60210600000007","Nodes","7","21.000000","48.266012","Default Known Flow Node","Known Flow","325029.635638","722993.290216","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
