"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-136.270001","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-5.169999","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-29.339999","0.000000","1.000000","Volumetric","-1.000000"
"DL","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0"
"DH","Flow Categories","-3.720000","0.000000","1.000000","Volumetric","0"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"PL-AF","Flow Categories","-15.999999","0.000000","1.000000","Volumetric","-1.000000"
