"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-4195.829998","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-577.829994","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-605.880005","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-132.500000","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-986.010000","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-70.499998","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-223.880001","0.000000","1.000000","Volumetric","-1.000000"
"DH","Flow Categories","-23.250000","0.000000","1.000000","Volumetric","0"
"CC","Flow Categories","-32.299998","0.000000","1.000000","Volumetric","-1.000000"
"PL-90","Flow Categories","","","1.000000","Volumetric","0"
"PL-AF","Flow Categories","-110.619999","0.000000","1.000000","Volumetric","-1.000000"
"PL-PL","Flow Categories","-9.999999","0.000000","1.000000","Volumetric","0"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"CT","Flow Categories","-55.839999","0.000000","1.000000","Volumetric","-1.000000"
