"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"C1","Flow Categories","-113.279999","0.000000","1.000000","Volumetric","-1.000000"
"D1","Flow Categories","-1658.909992","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-33.049999","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-36.379999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-79.449999","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-55.119999","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-78.259998","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"DM","Flow Categories","","","1.000000","Volumetric","0"
"CT","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"CM","Flow Categories","","","1.000000","Volumetric","0"
"PL-AF","Flow Categories","-114.000001","0.000000","1.000000","Volumetric","-1.000000"
