"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60602500000022","Nodes","22","21.000000","30.301420","DDS demands","Known Flow","345891.046276","867768.217337","","0.000000","","","","-5.229999","","","-4.676759","-5.229999","","","","","","D1 PROFILE","",""
"60602500000026","Nodes","26","21.000000","28.734304","DDS demands","Known Flow","345969.295297","867761.601335","","0.000000","","","","-14.170000","","","-12.671067","-14.170000","","","","","","D1 PROFILE","",""
"60602500000025","Nodes","25","21.000000","28.178416","DDS demands","Known Flow","345988.450302","867640.303302","","0.000000","","","","-8.760000","","","-7.833349","-8.760000","","","","","","D1 PROFILE","",""
"60602500000068","Nodes","68","21.000000","28.089770","DDS demands","Known Flow","345806.971253","867649.899305","","0.000000","","","","-12.969999","","","-11.598006","-12.969999","","","","","","D1 PROFILE","",""
"60602500000028","Nodes","28","21.000000","30.331575","DDS demands","Known Flow","345964.610296","867785.294342","","0.000000","","","","-9.229999","","","-8.253630","-9.229999","","","","","","D1 PROFILE","",""
"60602500000029","Nodes","29","21.000000","30.283846","DDS demands","Known Flow","346076.140757","867774.891630","","0.000000","","","","-4.169999","","","-3.728888","-4.169999","","","","","","D1 PROFILE","",""
"60602500000027","Nodes","27","21.000000","26.954979","DDS demands","Known Flow","346030.707314","867663.902309","","0.000000","","","","-17.329999","","","-15.496796","-17.329999","","","","","","D1 PROFILE","",""
"60602500000031","Nodes","31","21.000000","30.130480","DDS demands","Known Flow","346069.048324","867848.237359","","0.000000","","","","-18.680000","","","-16.703991","-18.680000","","","","","","D1 PROFILE","",""
"60602500000122","Nodes","122","21.000000","26.084379","DDS demands","Known Flow","346131.774341","867645.138304","","0.000000","","","","-14.900000","","","-13.323847","-14.900000","","","","","","D1 PROFILE","",""
"60602500000007","Nodes","7","21.000000","26.810563","Default Known Flow Node","Known Flow","346121.549339","867734.854328","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000123","Nodes","123","21.000000","32.960452","DDS demands","Known Flow","346322.663393","867842.652357","","0.000000","","","","-0.850000","","","-0.760085","-0.850000","","","","","","D1 PROFILE","",""
"60602500000054","Nodes","54","21.000000","35.198973","DDS demands","Known Flow","346408.162649","867863.905639","","0.000000","","","","-14.990000","","","-13.404326","-14.990000","","","","","","D1 PROFILE","",""
"60602500000073","Nodes","73","21.000000","32.744663","DDS demands","Known Flow","346373.582407","867796.783345","","0.000000","","","","-8.779999","","-9.739999","-7.851233","-8.779999","","","","","","D1 PROFILE","","DM PROFILE"
"60602500000072","Nodes","72","21.000000","33.434194","DDS demands","Known Flow","346347.588400","867851.958360","","0.000000","","","","-7.109999","","","-6.357889","-7.109999","","","","","","D1 PROFILE","",""
"60602500000035","Nodes","35","21.000000","32.951097","DDS demands","Known Flow","346258.516543","867902.244797","","0.000000","","","-1.770000","-18.690000","","","-18.295699","-20.460000","","","","","C4 PROFILE","D1 PROFILE","",""
"60602510000035","Nodes","10000035","21.000000","30.694012","Default Known Flow Node","Known Flow","346128.207340","867859.575362","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602510000047","Nodes","10000047","21.000000","31.884073","Default Known Flow Node","Known Flow","346283.183022","867956.036683","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000033","Nodes","33","21.000000","30.692882","DDS demands","Known Flow","346123.339863","867859.989404","","0.000000","-1.479999","","","-13.609999","","","-13.493748","-15.089999","","","C1 PROFILE","","","D1 PROFILE","",""
"60602500000034","Nodes","34","21.000000","30.716432","DDS demands","Known Flow","346179.096354","867848.262359","","0.000000","","","","-2.089999","","","-1.868915","-2.089999","","","","","","D1 PROFILE","",""
"60602500000052","Nodes","52","21.000000","28.304432","DDS demands","Known Flow","346213.009678","867711.599431","","0.000000","","","","-17.379999","","","-15.541506","-17.379999","","","","","","D1 PROFILE","",""
"60602501462482","Nodes","1462482","21.000000","28.304432","Default Known Flow Node","Known Flow","346215.928364","867713.195322","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000076","Nodes","76","21.000000","27.993282","DDS demands","Known Flow","346289.568384","867751.254333","","0.000000","","","","-8.550000","","","-7.645563","-8.550000","","","","","","D1 PROFILE","",""
"60602500000051","Nodes","51","21.000000","28.043695","DDS demands","Known Flow","346158.541349","867765.567336","","0.000000","","","","-12.619999","","","-11.285030","-12.619999","","","","","","D1 PROFILE","",""
"60602500000020","Nodes","20","21.000000","27.970932","Default Known Flow Node","Known Flow","346161.211349","867765.171336","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000121","Nodes","121","21.000000","27.086223","DDS demands","Known Flow","346111.410336","867759.443335","","0.000000","","","","-6.360000","","","-5.687226","-6.360000","","","","","","D1 PROFILE","",""
"60602501462506","Nodes","1462506","21.000000","26.854088","Default Known Flow Node","Known Flow","346100.395333","867722.071325","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602501462501","Nodes","1462501","21.000000","33.984354","Default Known Flow Node","Known Flow","346666.558487","867844.123358","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000125","Nodes","125","21.000000","30.186315","DDS demands","Known Flow","346292.282385","868032.070409","","0.000000","","","","-13.040000","","","-11.660601","-13.040000","","","","","","D1 PROFILE","",""
"60602500000038","Nodes","38","21.000000","29.159742","DDS demands","Known Flow","346474.381435","868247.103467","","0.000000","","","","-6.260000","","","-5.597804","-6.260000","","","","","","D1 PROFILE","",""
"60602510000069","Nodes","10000069","21.000000","28.985039","Default Known Flow Node","Known Flow","346476.788471","868248.054538","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000037","Nodes","37","21.000000","29.210173","DDS demands","Known Flow","346409.383261","868222.744036","","0.000000","","","","-7.309999","","","-6.536732","-7.309999","","","","","","D1 PROFILE","",""
"60602510000067","Nodes","10000067","21.000000","29.178983","Default Known Flow Node","Known Flow","346437.388583","868234.618019","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000043","Nodes","43","21.000000","30.544852","DDS demands","Known Flow","346393.167571","868116.905877","","0.000000","","","","-8.680000","","","-7.761811","-8.680000","","","","","","D1 PROFILE","",""
"60602500000128","Nodes","128","21.000000","30.218298","DDS demands","Known Flow","346325.838394","868073.244420","","0.000000","","","","-3.289999","","","-2.941976","-3.289999","","","","","","D1 PROFILE","",""
"60602500000127","Nodes","127","21.000000","30.053357","DDS demands","Known Flow","346320.054393","868028.667408","","0.000000","","","","-2.250000","","","-2.011990","-2.250000","","","","","","D1 PROFILE","",""
"60602501462483","Nodes","1462483","21.000000","28.374026","DDS demands","Known Flow","346454.504429","868255.881470","","0.000000","","","","-3.540000","","","-3.165531","-3.540000","","","","","","D1 PROFILE","",""
"60602501462476","Nodes","1462476","21.000000","26.423403","DDS demands","Known Flow","346496.123440","868272.013474","","0.000000","","","","-6.480000","","","-5.794532","-6.480000","","","","","","D1 PROFILE","",""
"60602500000039","Nodes","39","21.000000","28.984007","DDS demands","Known Flow","346503.442442","868258.354471","","0.000000","","","","-1.770000","","","-1.582765","-1.770000","","","","","","D1 PROFILE","",""
"60602500000046","Nodes","46","21.000000","34.315499","DDS demands","Known Flow","346362.365404","867938.381383","","0.000000","","","","-11.060000","","","-9.890050","-11.060000","","","","","","D1 PROFILE","",""
