"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"60603600000061","Nodes","61","21.000000","37.892604","DDS demands","Known Flow","396970.229970","823734.840221","","0.000000","","","","","-10.979999","","","","","-9.818512","-10.979999","","","","","","","D1 PROFILE","","","",""
"60603600000100","Nodes","Dev at McBey Way, Foveran-P12128948/1 28 domesicss","22.999998","37.544094","CSEP DDS Matched","Known Flow","396964.707397","823731.705496","","0.000000","","","","","","-39.129999","","","","-34.990744","-39.129999","","","","","","","","DC PROFILE","","",""
"60603600000062","Nodes","62","21.000000","37.472841","DDS demands","Known Flow","397025.750000","823815.625000","","0.000000","","","","","-4.579999","","","","","-4.095518","-4.579999","","","","","","","D1 PROFILE","","","",""
"60603600000002","Nodes","FOVERAN RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","397266.750000","823840.125000","","999998.967025","","","","","","","","","","26.826532","29.999999","","","","","","","","","","",""
"60603600000060","Nodes","60","21.000000","47.816447","DDS demands","Known Flow","397264.152342","823849.239792","","0.000000","","","","","-8.689999","","","","","-7.770753","-8.689999","","","","","","","D1 PROFILE","","","",""
"60603600000063","Nodes","63","21.000000","42.660520","DDS demands","Known Flow","397015.652129","823754.950795","","0.000000","","","","","-12.789999","","","","","-11.437046","-12.789999","","","","","","","D1 PROFILE","","","",""
"60603600000064","Nodes","64","21.000000","42.340723","DDS demands","Known Flow","397120.875000","823666.750000","","0.000000","","","","","-5.140000","","","","","-4.596280","-5.140000","","","","","","","D1 PROFILE","","","",""
"60603600000072","Nodes","72","21.000000","26.066986","DDS demands","Known Flow","399577.125000","825297.250000","","0.000000","","","","","-6.059999","","","","","-5.418960","-6.059999","","","","","","","D1 PROFILE","","","",""
"60603600000070","Nodes","70","21.000000","26.120402","DDS demands","Known Flow","399613.375000","825267.750000","","0.000000","","","","","-8.260000","","","","","-7.386240","-8.260000","","","","","","","D1 PROFILE","","","",""
"60603600000098","Nodes","-1462496","21.000000","24.950182","Default Known Flow Node","Known Flow","399937.875000","825456.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
