"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60606000000010","Nodes","10","21.000000","74.946464","DDS demands","Known Flow","272660.590349","846691.257602","","0.000000","","","","","-1.120000","","","","-1.001524","-1.120000","","","","","","","D1 PROFILE","","",""
"60606000000011","Nodes","11","21.000000","73.529435","DDS demands","Known Flow","272825.215394","846935.382668","","0.000000","","","","","-2.430000","","","","-2.172949","-2.430000","","","","","","","D1 PROFILE","","",""
"60606000000033","Nodes","33","21.000000","64.988002","DDS demands","Known Flow","273286.215519","846987.007682","","0.000000","","","","","-9.960000","","","","-8.906410","-9.960000","","","","","","","D1 PROFILE","","",""
"60606000000034","Nodes","34","21.000000","64.569702","DDS demands","Known Flow","273345.028535","846948.531672","","0.000000","","","","","-2.679999","","","","-2.396503","-2.679999","","","","","","","D1 PROFILE","","",""
"60606000000042","Nodes","42","21.000000","62.826042","DDS demands","Known Flow","273165.590487","846958.882675","","0.000000","","","","","-11.960000","","","","-10.694846","-11.960000","","","","","","","D1 PROFILE","","",""
"60606000000035","Nodes","35","21.000000","64.199185","Default Known Flow Node","Known Flow","273390.260297","846903.735971","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000043","Nodes","43","21.000000","63.962358","DDS demands","Known Flow","273366.965541","846972.632678","","0.000000","","","","","-11.589999","","","","-10.363985","-11.589999","","","","","","","D1 PROFILE","","",""
"60606000000044","Nodes","44","21.000000","64.065418","DDS demands","Known Flow","273424.340557","846922.507665","","0.000000","","","","","-4.550000","","","","-4.068691","-4.550000","","","","","","","D1 PROFILE","","",""
"60606000000072","Nodes","72","21.000000","53.834937","DDS demands","Known Flow","273330.537531","846760.460621","","0.000000","","","","","-16.569999","","","","-14.817190","-16.569999","","","","","","","D1 PROFILE","","",""
"60606000000073","Nodes","73","21.000000","51.230752","DDS demands","Known Flow","273343.297535","846880.843653","","0.000000","","","","","-15.209999","","","","-13.601054","-15.209999","","","","","","","D1 PROFILE","","",""
"60606000000071","Nodes","71","21.000000","56.692286","DDS demands","Known Flow","273360.840540","846834.882641","","0.000000","","","","","-3.029999","","","","-2.709480","-3.029999","","","","","","","D1 PROFILE","","",""
"60606000000074","Nodes","74","21.000000","55.373430","DDS demands","Known Flow","273411.340553","846766.382622","","0.000000","","","","","-9.720000","","","","-8.691797","-9.720000","","","","","","","D1 PROFILE","","",""
"60606000000076","Nodes","76","21.000000","55.314408","DDS demands","Known Flow","273424.465557","846781.882627","","0.000000","","","","","-3.520000","","","","-3.147647","-3.520000","","","","","","","D1 PROFILE","","",""
"60606000000075","Nodes","75","21.000000","55.177255","DDS demands","Known Flow","273403.840551","846705.632606","","0.000000","","","","","-7.560000","","","","-6.760287","-7.560000","","","","","","","D1 PROFILE","","",""
"60606000000111","Nodes","111","21.000000","62.839123","DDS demands","Known Flow","273443.965562","846854.757646","","0.000000","","","","","-14.880000","","","","-13.305963","-14.880000","","","","","","","D1 PROFILE","","",""
