"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(TT)"
"60606100000005","Nodes","5","21.000000","59.580148","DDS demands","Known Flow","358732.750000","865181.875000","","0.000000","","","","","-6.323000","","","","","-5.654139","-6.323000","","","","","","","","D1 PROFILE","","","","",""
"60606100000004","Nodes","4","21.000000","59.987413","DDS demands","Known Flow","358691.125000","865345.875000","","0.000000","","","","","-7.297999","","","","","-6.526002","-7.297999","","","","","","","","D1 PROFILE","","","","",""
"60606100000003","Nodes","3","21.000000","62.538296","DDS demands","Known Flow","358775.000000","865373.375000","","0.000000","","","","","-16.486999","","","","","-14.742970","-16.486999","","","","","","","","D1 PROFILE","","","","",""
"60606100000002","Nodes","2","21.000000","65.371575","DDS demands","Known Flow","358813.875000","865128.000000","","0.000000","","","","","-4.734999","","","","","-4.234121","-4.734999","","","","","","","","D1 PROFILE","","","","",""
"60606100000006","Nodes","6","21.000000","58.044914","DDS demands","Known Flow","358670.375000","865180.875000","","0.000000","","","","","-14.547000","","","","","-13.008188","-14.547000","","","","","","","","D1 PROFILE","","","","",""
"60606100000090","Nodes","90","21.000000","55.583320","DDS demands","Known Flow","358463.125000","865556.750000","","0.000000","","","","","-4.211999","","-0.037450","","","-3.799934","-4.249449","","","","","","","","D1 PROFILE","","DH PROFILE","","",""
"60606100000088","Nodes","88","21.000000","55.366481","DDS demands","Known Flow","358420.875000","865593.000000","","0.000000","","","","","-2.161000","","","","","-1.932404","-2.161000","","","","","","","","D1 PROFILE","","","","",""
"60606100000091","Nodes","91","21.000000","54.532969","DDS demands","Known Flow","358398.000000","865501.375000","","0.000000","","","","","-16.316000","","","","","-14.590059","-16.316000","","","","","","","","D1 PROFILE","","","","",""
"60606100000089","Nodes","89","21.000000","55.347215","DDS demands","Known Flow","358435.625000","865622.500000","","0.000000","","","","","-2.723999","","","","","-2.435849","-2.723999","","","","","","","","D1 PROFILE","","","","",""
"60606100000087","Nodes","87","21.000000","55.326655","DDS demands","Known Flow","358388.625000","865571.625000","","0.000000","","","","","-3.638999","","","","","-3.254058","-3.638999","","","","","","","","D1 PROFILE","","","","",""
"60606100000076","Nodes","76","21.000000","51.934101","DDS demands","Known Flow","358308.125000","865906.875000","","0.000000","","","","","-2.874999","","","","","-2.570876","-2.874999","","","","","","","","D1 PROFILE","","","","",""
"60606100000077","Nodes","77","21.000000","51.443260","DDS demands","Known Flow","358393.625000","865957.625000","","0.000000","","","","","-1.608000","","","","","-1.437902","-1.608000","","","","","","","","D1 PROFILE","","","","",""
"606061-78","Nodes","-78","21.000000","51.336813","Default Known Flow Node","Known Flow","358292.125000","865863.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60606100000075","Nodes","75","21.000000","52.509502","DDS demands","Known Flow","358386.375000","865879.625000","","0.000000","","","","","-3.226999","","","","","-2.885641","-3.226999","","","","","","","","D1 PROFILE","","","","",""
"60606100000016","Nodes","16","21.000000","57.051238","DDS demands","Known Flow","358952.750000","865952.250000","","0.000000","","-6.000000","","-6.429999","-9.298999","","","","","-19.430461","-21.729000","","","","","C2 PROFILE","","C4 PROFILE","D1 PROFILE","","","","",""
"60606100000011","Nodes","11","21.000000","57.585991","DDS demands","Known Flow","358815.375000","865951.500000","","0.000000","-6.370000","","-10.499999","-0.579999","-25.212999","","","-11.570000","","-48.496120","-54.232997","","","","C1 PROFILE","","C3 PROFILE","C4 PROFILE","D1 PROFILE","","","I2 PROFILE","",""
"60606100000007","Nodes","7","21.000000","60.128841","DDS demands","Known Flow","358760.375000","865634.375000","","0.000000","","","","-4.320000","-8.897000","","","","","-11.818878","-13.217000","","","","","","","C4 PROFILE","D1 PROFILE","","","","",""
"60606100000008","Nodes","8","21.000000","58.886440","DDS demands","Known Flow","358688.625000","865618.875000","","0.000000","","","","","-3.197000","","","","","-2.858814","-3.197000","","","","","","","","D1 PROFILE","","","","",""
"60606100000093","Nodes","93","21.000000","57.238533","Default Known Flow Node","Known Flow","358585.750000","865584.875000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60606100000013","Nodes","13","21.000000","57.242207","DDS demands","Known Flow","358673.625000","865850.625000","","0.000000","","","","","-12.575999","","","","","-11.245684","-12.575999","","","","","","","","D1 PROFILE","","","","",""
"60606100000015","Nodes","15","21.000000","55.988908","DDS demands","Known Flow","358475.875000","865691.250000","","0.000000","-5.739999","","","","-3.739999","","","","","-8.477185","-9.479999","","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"60606100000014","Nodes","14","21.000000","57.252592","DDS demands","Known Flow","358595.125000","865854.250000","","0.000000","","","","","-2.020999","","","","","-1.807214","-2.020999","","","","","","","","D1 PROFILE","","","","",""
"60606100000085","Nodes","85","21.000000","57.408486","Default Known Flow Node","Known Flow","358753.500000","865912.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60606100000054","Nodes","54","21.000000","57.420329","DDS demands","Known Flow","358763.875000","865920.625000","","0.000000","","","","","-10.032999","","","","","-8.971687","-10.032999","","","","","","","","D1 PROFILE","","","","",""
"60606100000009","Nodes","9","21.000000","58.113898","DDS demands","Known Flow","358784.625000","865891.750000","","0.000000","","","","","-23.654999","","","","","-21.152724","-23.654999","","","","","","","","D1 PROFILE","","","","",""
"606061-15","Nodes","-15","21.000000","59.103324","Default Known Flow Node","Known Flow","358768.750000","865768.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60606100000010","Nodes","10","21.000000","57.730296","Default Known Flow Node","Known Flow","358805.750000","865944.000000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60606100000071","Nodes","71","21.000000","53.197888","DDS demands","Known Flow","358557.250000","865887.875000","","0.000000","","","","","-6.927000","","","","","-6.194247","-6.927000","","","","","","","","D1 PROFILE","","","","",""
"60606100000081","Nodes","81","21.000000","53.189945","DDS demands","Known Flow","358543.625000","865867.750000","","0.000000","","","","","-2.191999","","","","","-1.960125","-2.191999","","","","","","","","D1 PROFILE","","","","",""
