SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000013,26.52,PE,Enabled,Default Pipe,2,4.8
2,PI000014,26.71,PE,Enabled,Default Pipe,2,2.6
3,PI000015,27.32,PE,Enabled,Default Pipe,2,48.4
4,PI000016,26.67,PE,Enabled,Default Pipe,2,22.3
5,PI000017,26.69,PE,Enabled,Default Pipe,2,70.1
6,PI000018,26.78,PE,Enabled,Default Pipe,2,23.8
7,PI000019,26.78,PE,Enabled,Default Pipe,2,1.2
8,PI000020,25.88,PE,Enabled,Default Pipe,2,2.5
9,PI000021,25.91,PE,Enabled,Default Pipe,2,19.9
10,PI000022,26.67,PE,Enabled,Default Pipe,2,3.2
11,PI000023,26.83,PE,Enabled,Default Pipe,2,16.2
12,PI000025,27.65,PE,Enabled,Default Pipe,2,97.2
13,PI000026,26.74,PE,Enabled,Default Pipe,2,18.6
14,PI000027,26.18,PE,Enabled,Default Pipe,2,1.6
15,PI000029,26.50,PE,Enabled,Default Pipe,2,23.7
16,PI000030,26.60,PE,Enabled,Default Pipe,2,3.5
17,PI000034,36.77,PE,Enabled,Default Pipe,1,2.2
18,PI000036,36.86,CI,Enabled,Default Pipe,1,1.7
19,PI000037,38.99,SI,Enabled,Default Pipe,1,56.6
20,PI000038,36.41,PE,Enabled,Default Pipe,1,4.9
21,PI000039,34.89,PE,Enabled,Default Pipe,1,65.0
22,PI000040,39.10,SI,Enabled,Default Pipe,1,19.8
23,PI000041,30.87,SI,Enabled,Default Pipe,2,29.5
24,PI000042,31.96,PE,Enabled,Default Pipe,2,70.0
25,PI000043,27.81,PE,Enabled,Default Pipe,2,3.7
26,PI000045,28.24,PE,Enabled,Default Pipe,2,24.1
27,PI000046,28.71,PE,Enabled,Default Pipe,2,5.1
28,PI000047,28.74,SI,Enabled,Default Pipe,2,3.0
29,PI000048,26.34,PE,Enabled,Default Pipe,2,26.8
30,PI000049,27.67,PE,Enabled,Default Pipe,2,9.3
31,PI000050,26.79,PE,Enabled,Default Pipe,2,4.1
32,PI000051,26.35,PE,Enabled,Default Pipe,2,1.1
33,PI000053,27.74,PE,Enabled,Default Pipe,2,54.9
34,PI000054,26.85,PE,Enabled,Default Pipe,2,1.4
35,PI000055,26.54,PE,Enabled,Default Pipe,2,81.6
36,PI000057,25.88,PE,Enabled,Default Pipe,2,69.7
37,PI000058,27.03,PE,Enabled,Default Pipe,2,24.2
38,PI000059,27.12,PE,Enabled,Default Pipe,2,1.7
39,PI000060,26.78,CI,Enabled,Abandonment Pipe,2,4.3
40,PI000064,26.35,PE,Enabled,Default Pipe,2,40.0
41,PI000066,26.48,PE,Enabled,Default Pipe,2,22.7
42,PI000067,26.97,PE,Enabled,Default Pipe,2,1.4
43,PI000068,26.49,PE,Enabled,Default Pipe,2,8.6
44,PI000070,26.52,PE,Enabled,Default Pipe,2,1.3
45,PI000071,27.59,PE,Enabled,Default Pipe,1,4.6
46,PI000073,42.30,PE,Enabled,Default Pipe,1,64.6
47,PI000075,47.20,PE,Enabled,Default Pipe,1,1.6
48,PI000076,47.59,PE,Enabled,Default Pipe,1,70.5
49,PI000077,45.47,PE,Enabled,Default Pipe,1,97.2
50,PI000078,37.96,PE,Enabled,Default Pipe,1,77.6
51,PI000081,38.97,CI,Enabled,Default Pipe,1,2.5
52,PI000084,30.93,PE,Enabled,Default Pipe,2,2.5
53,PI000085,33.39,DI,Enabled,Default Pipe,2,26.3
54,PI000086,31.02,PE,Enabled,Default Pipe,2,16.7
55,PI000087,32.75,DI,Enabled,Default Pipe,2,1.6
56,PI000088,27.19,PE,Enabled,Default Pipe,2,37.8
57,PI000089,29.16,SI,Enabled,Default Pipe,2,68.5
58,PI000090,27.49,PE,Enabled,Default Pipe,2,118.7
59,PI000091,25.88,PE,Enabled,Default Pipe,2,7.1
60,PI000092,26.06,PE,Enabled,Default Pipe,2,89.7
61,PI000093,27.04,PE,Enabled,Default Pipe,2,40.5
62,PI000094,27.10,PE,Enabled,Default Pipe,2,10.8
63,PI000095,26.99,PE,Enabled,Default Pipe,2,2.3
64,PI000096,26.97,PE,Enabled,Default Pipe,2,12.4
65,PI000099,26.50,PE,Enabled,Default Pipe,2,2.4
66,PI000100,26.83,PE,Enabled,Default Pipe,2,4.8
67,PI000101,26.57,PE,Enabled,Default Pipe,2,5.3
68,PI000104,27.39,PE,Enabled,Default Pipe,2,57.3
