SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,38.30,PE,Enabled,Default Pipe,1,13.0
2,PI000002,43.04,PE,Enabled,Default Pipe,1,5.4
3,PI000003,29.49,PE,Enabled,Default Pipe,1,12.8
4,PI000004,40.07,PE,Enabled,Default Pipe,1,5.4
5,PI000005,29.03,ST,Enabled,Default Pipe,1,4.8
6,PI000006,29.27,ST,Enabled,Default Pipe,1,1.0
7,PI000007,40.20,PE,Enabled,Default Pipe,1,9.1
8,PI000008,30.83,PE,Enabled,Default Pipe,1,52.4
9,PI000010,43.60,PE,Enabled,Default Pipe,1,8.0
10,PI000011,43.60,PE,Enabled,Default Pipe,1,4.0
11,PI000012,35.74,PE,Enabled,Default Pipe,1,70.6
12,PI000013,44.46,PE,Enabled,Default Pipe,1,33.2
13,PI000014,35.55,PE,Enabled,Default Pipe,1,7.0
14,PI000015,43.40,PE,Enabled,Default Pipe,1,29.8
15,PI000016,43.33,PE,Enabled,Default Pipe,1,2.2
16,PI000017,35.74,PE,Enabled,Default Pipe,1,9.2
17,PI000018,35.74,PE,Enabled,Default Pipe,1,2.2
18,PI000019,43.36,PE,Enabled,Default Pipe,1,9.8
19,PI000020,36.00,SI,Enabled,Default Pipe,1,43.8
20,PI000021,46.01,PE,Enabled,Default Pipe,1,24.8
21,PI000022,45.66,PE,Enabled,Default Pipe,1,11.2
22,PI000023,43.01,PE,Enabled,Default Pipe,1,275.5
23,PI000024,44.98,PE,Enabled,Default Pipe,1,31.3
24,PI000025,40.64,SI,Enabled,Default Pipe,1,5.6
25,PI000026,35.83,PE,Enabled,Default Pipe,1,22.1
26,PI000027,36.02,PE,Enabled,Default Pipe,1,54.9
27,PI000028,43.33,PE,Enabled,Default Pipe,1,27.6
28,PI000029,38.32,PE,Enabled,Default Pipe,1,205.0
29,PI000030,35.77,PE,Enabled,Default Pipe,1,25.2
30,PI000031,45.76,PE,Enabled,Default Pipe,1,27.4
31,PI000032,36.13,PE,Enabled,Default Pipe,1,45.9
32,PI000033,36.06,PE,Enabled,Default Pipe,1,57.7
33,PI000034,22.22,PE,Enabled,Default Pipe,1,10.4
34,PI000035,36.24,SI,Enabled,Default Pipe,1,34.1
35,PI000036,36.34,SI,Enabled,Default Pipe,1,1.8
36,PI000037,29.74,PE,Enabled,Default Pipe,1,15.8
37,PI000038,22.56,PE,Enabled,Default Pipe,1,59.2
38,PI000039,36.07,PE,Enabled,Default Pipe,1,18.5
39,PI000040,27.01,PE,Enabled,Default Pipe,1,3.1
40,PI000041,35.16,PE,Enabled,Default Pipe,1,5.1
41,PI000043,38.21,PE,Enabled,Default Pipe,1,77.7
42,PI000044,38.34,SI,Enabled,Default Pipe,1,4.4
43,PI000045,38.00,PE,Enabled,Default Pipe,1,51.9
44,PI000046,31.81,PE,Enabled,Default Pipe,1,7.4
45,PI000047,43.04,PE,Enabled,Default Pipe,1,83.1
46,PI000048,42.98,PE,Enabled,Default Pipe,1,0.9
47,PI000049,38.51,CI,Enabled,Default Pipe,1,2.2
48,PI000050,43.28,DI,Enabled,Default Pipe,1,170.1
49,PI000051,42.98,PE,Enabled,Default Pipe,1,0.9
50,PI000052,39.94,PE,Enabled,Default Pipe,1,14.5
51,PI000053,40.33,PE,Enabled,Default Pipe,1,4.7
52,PI000054,49.90,PE,Enabled,Default Pipe,2,0.6
53,PI000055,36.87,PE,Enabled,Default Pipe,1,31.7
54,PI000056,39.99,PE,Enabled,Default Pipe,1,72.2
55,PI000057,40.67,PE,Enabled,Default Pipe,1,3.9
56,PI000058,36.49,PE,Enabled,Default Pipe,1,51.3
57,PI000059,43.33,DI,Enabled,Default Pipe,1,3.9
58,PI000060,49.88,PE,Enabled,Default Pipe,2,20.3
59,PI000061,43.01,PE,Enabled,Default Pipe,1,8.0
60,PI000062,28.35,ST,Enabled,Default Pipe,1,6.3
61,PI000063,29.72,PE,Enabled,Default Pipe,1,113.9
62,PI000064,35.47,PE,Enabled,Default Pipe,1,55.6
63,PI000065,29.46,PE,Enabled,Default Pipe,1,1.6
64,PI000066,35.86,PE,Enabled,Default Pipe,1,7.5
65,PI000067,35.94,SI,Enabled,Default Pipe,1,53.1
66,PI000068,35.74,PE,Enabled,Default Pipe,1,12.2
67,PI000069,35.55,PE,Enabled,Default Pipe,1,2.0
68,PI000070,42.45,PE,Enabled,Default Pipe,1,2.0
69,PI000071,45.40,PE,Enabled,Default Pipe,1,36.0
70,PI000072,43.61,PE,Enabled,Default Pipe,1,1.7
71,PI000073,35.70,PE,Enabled,Default Pipe,1,56.4
72,PI000074,45.73,PE,Enabled,Default Pipe,1,3.0
73,PI000075,45.87,PE,Enabled,Default Pipe,1,3.6
74,PI000076,35.55,PE,Enabled,Default Pipe,1,13.3
75,PI000077,43.79,SI,Enabled,Default Pipe,1,1.9
