SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,36.88,PE,Enabled,Default Pipe,1,7.3
2,PI000001,38.12,PE,Enabled,Default Pipe,1,23.5
3,PI000002,38.41,PE,Enabled,Default Pipe,1,79.0
4,PI000003,32.52,PE,Enabled,Default Pipe,1,74.7
5,PI000004,33.21,PE,Enabled,Default Pipe,1,63.9
6,PI000005,38.65,PE,Enabled,Default Pipe,1,56.5
7,PI000006,39.37,PE,Enabled,Default Pipe,1,52.9
8,PI000007,31.64,PE,Enabled,Default Pipe,1,71.5
9,PI000008,32.96,PE,Enabled,Default Pipe,1,51.9
10,PI000009,28.94,PE,Enabled,Default Pipe,1,160.3
11,PI000010,33.39,PE,Enabled,Default Pipe,1,8.8
12,PI000011,36.87,PE,Enabled,Default Pipe,1,13.6
13,PI000012,29.51,PE,Enabled,Default Pipe,1,126.0
14,PI000013,36.05,PE,Enabled,Default Pipe,1,100.5
15,PI000014,32.72,PE,Enabled,Default Pipe,1,98.9
16,PI000015,35.11,PE,Enabled,Default Pipe,1,44.1
17,PI000016,34.09,PE,Enabled,Default Pipe,1,62.1
18,PI000017,36.87,PE,Enabled,Default Pipe,1,5.3
19,PI000018,26.39,PE,Enabled,Default Pipe,1,31.7
20,PI000019,31.78,PE,Enabled,Default Pipe,1,96.6
21,PI000020,34.46,PE,Enabled,Default Pipe,1,80.4
22,PI000021,34.93,PE,Enabled,Default Pipe,1,105.3
23,PI000022,34.64,PE,Enabled,Default Pipe,1,57.9
24,PI000023,35.58,PE,Enabled,Default Pipe,1,43.1
25,PI000024,33.63,PE,Enabled,Default Pipe,1,20.4
26,PI000025,33.58,PE,Enabled,Default Pipe,1,111.8
27,PI000026,37.35,PE,Enabled,Default Pipe,1,19.4
28,PI000027,32.59,PE,Enabled,Default Pipe,1,45.5
29,PI000028,28.11,PE,Enabled,Default Pipe,1,123.9
30,PI000029,35.67,PE,Enabled,Default Pipe,1,45.3
31,PI000030,33.46,PE,Enabled,Default Pipe,1,5.9
32,PI000031,34.67,PE,Enabled,Default Pipe,1,31.5
33,PI000032,33.32,PE,Enabled,Default Pipe,1,78.8
34,PI000033,31.74,PE,Enabled,Default Pipe,1,9.4
35,PI000034,36.61,PE,Enabled,Default Pipe,1,106.8
36,PI000035,37.44,PE,Enabled,Default Pipe,1,176.8
37,PI000036,40.03,PE,Enabled,Default Pipe,1,128.2
38,PI000037,37.91,PE,Enabled,Default Pipe,1,54.3
39,PI000038,38.22,PE,Enabled,Default Pipe,1,7.9
40,PI000039,37.47,PE,Enabled,Default Pipe,1,145.8
41,PI000040,28.42,PE,Enabled,Default Pipe,1,47.3
42,PI000041,36.43,PE,Enabled,Default Pipe,1,66.1
43,PI000042,37.01,PE,Enabled,Default Pipe,1,40.6
44,PI000043,39.81,PE,Enabled,Default Pipe,1,94.4
45,PI000044,41.15,PE,Enabled,Default Pipe,1,126.0
46,PI000045,37.05,PE,Enabled,Default Pipe,1,22.1
47,PI000046,33.29,PE,Enabled,Default Pipe,1,51.0
48,PI000047,35.16,PE,Enabled,Default Pipe,1,144.8
49,PI000048,38.25,PE,Enabled,Default Pipe,1,5.2
50,PI000049,35.83,PE,Enabled,Default Pipe,1,101.0
51,PI000050,33.67,PE,Enabled,Default Pipe,1,135.1
52,PI000051,31.04,PE,Enabled,Default Pipe,1,19.7
53,PI000052,35.14,PE,Enabled,Default Pipe,1,40.1
54,PI000054,30.05,PE,Enabled,Default Pipe,1,8.8
55,PI000055,37.91,PE,Enabled,Default Pipe,1,11.1
56,PI000056,35.78,PE,Enabled,Default Pipe,1,8.9
57,PI000057,35.93,PE,Enabled,Default Pipe,1,18.6
58,PI000058,36.04,PE,Enabled,Default Pipe,1,161.1
59,PI000059,29.31,PE,Enabled,Default Pipe,1,5.8
60,PI000060,29.67,PE,Enabled,Default Pipe,1,54.8
61,PI000061,35.02,SI,Enabled,Default Pipe,1,79.0
62,PI000062,32.63,PE,Enabled,Default Pipe,1,85.3
63,PI000063,34.60,PE,Enabled,Default Pipe,1,72.8
64,PI000064,26.49,PE,Enabled,Default Pipe,1,98.9
65,PI000065,33.83,PE,Enabled,Default Pipe,1,80.2
66,PI000066,30.73,PE,Enabled,Default Pipe,1,63.6
