SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,39.78,SI,Enabled,Default Pipe,1,21.2
2,PI000001,25.54,PE,Enabled,Default Pipe,1,22.1
3,PI000002,42.07,SI,Enabled,Default Pipe,1,91.3
4,PI000003,43.16,SI,Enabled,Default Pipe,1,19.6
5,PI000004,43.62,SI,Enabled,Default Pipe,1,47.8
6,PI000005,44.22,SI,Enabled,Default Pipe,1,25.9
7,PI000006,44.36,SI,Enabled,Default Pipe,1,54.0
8,PI000007,44.30,SI,Enabled,Default Pipe,1,9.5
9,PI000008,44.32,SI,Enabled,Default Pipe,1,51.0
10,PI000009,44.36,SI,Enabled,Default Pipe,1,58.0
11,PI000010,47.90,SI,Enabled,Default Pipe,1,9.5
12,PI000011,44.30,SI,Enabled,Default Pipe,1,19.3
13,PI000012,44.35,SI,Enabled,Default Pipe,1,37.8
14,PI000013,43.22,SI,Enabled,Default Pipe,1,59.6
15,PI000014,40.85,SI,Enabled,Default Pipe,1,7.3
16,PI000015,40.51,PE,Enabled,Default Pipe,1,87.0
17,PI000016,27.65,ST,Enabled,Default Pipe,1,18.9
18,PI000017,28.07,PE,Enabled,Default Pipe,1,27.5
19,PI000018,27.94,ST,Enabled,Default Pipe,1,12.4
20,PI000019,27.80,ST,Enabled,Default Pipe,1,14.1
21,PI000020,28.11,ST,Enabled,Default Pipe,1,61.8
22,PI000021,33.67,PE,Enabled,Default Pipe,1,111.8
23,PI000022,31.80,PE,Enabled,Default Pipe,1,3.7
24,PI000023,33.05,PE,Enabled,Default Pipe,1,8.1
25,PI000024,38.37,SI,Enabled,Default Pipe,1,65.8
26,PI000025,37.74,PE,Enabled,Default Pipe,1,35.2
27,PI000026,32.73,PE,Enabled,Default Pipe,1,299.5
28,PI000027,33.65,PE,Enabled,Default Pipe,1,5.9
29,PI000028,30.65,PE,Enabled,Default Pipe,1,487.7
30,PI000029,28.61,PE,Enabled,Default Pipe,1,46.7
31,PI000030,27.50,PE,Enabled,Default Pipe,1,93.9
32,PI000031,27.62,PE,Enabled,Default Pipe,1,79.7
33,PI000032,27.73,PE,Enabled,Default Pipe,1,2.4
34,PI000033,33.90,PE,Enabled,Default Pipe,1,98.1
35,PI000034,34.90,SI,Enabled,Default Pipe,1,3.9
36,PI000035,33.47,PE,Enabled,Default Pipe,1,146.3
37,PI000036,27.57,PE,Enabled,Default Pipe,1,13.5
38,PI000037,27.52,PE,Enabled,Default Pipe,1,11.4
39,PI000038,26.89,DI,Enabled,Default Pipe,1,52.4
40,PI000039,28.08,PE,Enabled,Default Pipe,1,49.3
41,PI000040,26.90,PE,Enabled,Default Pipe,1,28.4
42,PI000041,27.32,DI,Enabled,Default Pipe,1,88.9
43,PI000042,27.93,PE,Enabled,Default Pipe,1,179.9
44,PI000043,30.42,PE,Enabled,Default Pipe,1,213.1
45,PI000044,28.82,ST,Enabled,Default Pipe,1,69.4
46,PI000045,27.73,DI,Enabled,Default Pipe,1,1.0
47,PI000046,27.70,PE,Enabled,Default Pipe,1,9.1
48,PI000047,27.72,DI,Enabled,Default Pipe,1,2.3
49,PI000048,27.67,PE,Enabled,Default Pipe,1,13.0
50,PI000049,27.74,PE,Enabled,Default Pipe,1,2.4
51,PI000050,26.85,DI,Enabled,Default Pipe,1,6.8
52,PI000051,27.11,PE,Enabled,Default Pipe,1,20.2
53,PI000052,27.36,PE,Enabled,Default Pipe,1,78.3
54,PI000053,26.78,PE,Enabled,Default Pipe,1,30.4
55,PI000054,27.58,PE,Enabled,Default Pipe,1,65.9
56,PI000055,27.61,PE,Enabled,Default Pipe,1,3.3
57,PI000056,34.14,PE,Enabled,Default Pipe,1,9.2
58,PI000057,34.58,PE,Enabled,Default Pipe,1,28.2
59,PI000058,35.00,SI,Enabled,Default Pipe,1,24.2
60,PI000059,36.32,SI,Enabled,Default Pipe,1,209.1
61,PI000060,35.05,PE,Enabled,Default Pipe,1,8.0
62,PI000061,36.20,SI,Enabled,Default Pipe,1,148.2
63,PI000062,34.49,PE,Enabled,Default Pipe,1,78.2
64,PI000063,38.14,SI,Enabled,Default Pipe,1,135.0
65,PI000064,34.85,PE,Enabled,Default Pipe,1,7.1
66,PI000065,34.00,PE,Enabled,Default Pipe,1,10.7
67,PI000066,26.84,DI,Enabled,Default Pipe,1,234.9
68,PI000067,27.45,PE,Enabled,Default Pipe,1,56.2
69,PI000068,27.38,PE,Enabled,Default Pipe,1,48.4
70,PI000069,26.82,PE,Enabled,Default Pipe,1,93.2
71,PI000070,26.33,PE,Enabled,Default Pipe,1,3.7
72,PI000071,27.47,PE,Enabled,Default Pipe,1,23.6
73,PI000072,26.67,PE,Enabled,Default Pipe,1,58.5
74,PI000073,26.33,SI,Enabled,Default Pipe,1,3.1
75,PI000074,26.46,PE,Enabled,Default Pipe,1,4.8
