SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,28.94,PE,Enabled,Default Pipe,1,78.4
2,PI000003,28.60,PE,Enabled,Default Pipe,1,1.2
3,PI000004,29.16,PE,Enabled,Default Pipe,1,113.2
4,PI000005,26.72,PE,Enabled,Default Pipe,1,1.5
5,PI000006,27.72,PE,Enabled,Default Pipe,1,20.5
6,PI000007,28.40,PE,Enabled,Default Pipe,1,1.5
7,PI000008,25.28,PE,Enabled,Default Pipe,1,54.8
8,PI000009,25.12,PE,Enabled,Default Pipe,1,38.0
9,PI000011,27.54,PE,Enabled,Default Pipe,1,9.0
10,PI000012,27.98,PE,Enabled,Default Pipe,1,1.1
11,PI000013,26.95,PE,Enabled,Default Pipe,1,36.6
12,PI000014,27.75,PE,Enabled,Default Pipe,1,4.6
13,PI000015,24.91,PE,Enabled,Default Pipe,1,1.3
14,PI000016,27.54,PE,Enabled,Default Pipe,1,1.3
15,PI000017,26.29,SI,Enabled,Default Pipe,1,145.3
16,PI000018,29.34,PE,Enabled,Default Pipe,1,1.1
17,PI000019,29.41,DI,Enabled,Default Pipe,1,19.4
18,PI000020,29.74,PE,Enabled,Default Pipe,1,5.7
19,PI000021,28.80,PE,Enabled,Default Pipe,1,38.8
20,PI000022,28.47,PE,Enabled,Default Pipe,1,36.1
21,PI000023,29.63,PE,Enabled,Default Pipe,1,92.6
22,PI000024,29.57,PE,Enabled,Default Pipe,1,35.2
23,PI000025,29.65,PE,Enabled,Default Pipe,1,42.6
24,PI000026,29.73,PE,Enabled,Default Pipe,1,3.1
25,PI000027,24.38,PE,Enabled,Default Pipe,1,58.4
26,PI000028,25.49,PE,Enabled,Default Pipe,1,22.8
27,PI000029,26.14,PE,Enabled,Default Pipe,1,62.0
28,PI000030,28.49,PE,Enabled,Default Pipe,1,2.0
29,PI000031,27.26,PE,Enabled,Default Pipe,1,57.0
30,PI000032,25.36,PE,Enabled,Default Pipe,1,7.2
31,PI000033,29.30,DI,Enabled,Default Pipe,1,156.9
32,PI000034,27.44,PE,Enabled,Default Pipe,1,2.8
33,PI000035,27.35,PE,Enabled,Default Pipe,1,3.2
34,PI000036,27.58,PE,Enabled,Default Pipe,1,5.9
35,PI000037,29.57,PE,Enabled,Default Pipe,1,45.2
36,PI000038,29.67,PE,Enabled,Default Pipe,1,12.0
37,PI000039,29.52,PE,Enabled,Default Pipe,1,21.0
38,PI000040,29.47,PE,Enabled,Default Pipe,1,2.0
39,PI000041,29.75,PE,Enabled,Default Pipe,1,5.2
40,PI000042,31.84,SI,Enabled,Default Pipe,1,11.3
41,PI000043,29.20,PE,Enabled,Default Pipe,1,234.3
42,PI000044,29.86,PE,Enabled,Default Pipe,1,5.5
