SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,68.82,PE,Enabled,Default Pipe,1,63.1
2,PI000002,67.73,PE,Enabled,Default Pipe,1,153.5
3,PI000003,66.83,PE,Enabled,Default Pipe,1,42.3
4,PI000004,70.97,PE,Enabled,Default Pipe,1,28.8
5,PI000005,66.59,PE,Enabled,Default Pipe,1,95.6
6,PI000006,71.70,PE,Enabled,Default Pipe,1,49.1
7,PI000007,68.40,PE,Enabled,Default Pipe,1,42.8
8,PI000008,68.63,PE,Enabled,Default Pipe,1,7.9
9,PI000009,72.62,PE,Enabled,Default Pipe,1,50.3
10,PI000010,70.53,PE,Enabled,Default Pipe,1,20.3
11,PI000011,66.27,PE,Enabled,Default Pipe,1,113.8
12,PI000012,64.20,PE,Enabled,Default Pipe,1,155.9
13,PI000013,69.28,PE,Enabled,Default Pipe,1,7.0
14,PI000014,68.18,PE,Enabled,Default Pipe,1,0.9
15,PI000015,64.10,PE,Enabled,Default Pipe,1,3.7
16,PI000016,64.31,PE,Enabled,Default Pipe,1,60.4
17,PI000017,64.49,PE,Enabled,Default Pipe,1,4.0
18,PI000018,64.73,PE,Enabled,Default Pipe,1,150.5
19,PI000019,60.91,PE,Enabled,Default Pipe,1,123.3
20,PI000020,66.91,ST,Enabled,Default Pipe,1,13.5
21,PI000021,69.18,PE,Enabled,Default Pipe,1,1.2
22,PI000022,68.15,PE,Enabled,Default Pipe,1,6.6
23,PI000023,68.08,PE,Enabled,Default Pipe,1,14.6
24,PI000024,67.98,ST,Enabled,Default Pipe,1,18.3
25,PI000025,67.42,PE,Enabled,Default Pipe,1,194.0
26,PI000026,69.34,PE,Enabled,Default Pipe,1,3.6
27,PI000027,49.67,PE,Enabled,Default Pipe,1,110.5
28,PI000028,73.06,PE,Enabled,Default Pipe,1,28.3
29,PI000029,72.98,PE,Enabled,Default Pipe,1,2.0
30,PI000030,67.27,PE,Enabled,Default Pipe,1,1.1
