SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,37.13,PE,Enabled,Default Pipe,1,7.8
2,PI000002,35.72,PE,Enabled,Default Pipe,1,93.6
3,PI000003,35.61,PE,Enabled,Default Pipe,1,62.6
4,PI000004,35.72,PE,Enabled,Default Pipe,1,7.6
5,PI000005,38.83,PE,Enabled,Default Pipe,1,394.2
6,PI000006,32.61,PE,Enabled,Default Pipe,1,1.6
7,PI000007,35.75,PE,Enabled,Default Pipe,1,101.2
8,PI000008,34.86,PE,Enabled,Default Pipe,1,30.1
9,PI000009,34.25,PE,Enabled,Default Pipe,1,44.6
10,PI000010,34.91,PE,Enabled,Default Pipe,1,42.4
11,PI000011,32.37,PE,Enabled,Default Pipe,1,17.5
12,PI000012,32.52,PE,Enabled,Default Pipe,1,23.6
13,PI000013,32.42,PE,Enabled,Default Pipe,1,2.2
14,PI000014,32.24,PE,Enabled,Default Pipe,1,1.3
15,PI000015,30.71,PE,Enabled,Default Pipe,1,115.7
16,PI000016,34.12,PE,Enabled,Default Pipe,1,49.7
17,PI000017,35.38,PE,Enabled,Default Pipe,1,39.6
18,PI000018,36.59,PE,Enabled,Default Pipe,1,59.7
19,PI000019,40.06,DI,Enabled,Default Pipe,1,68.9
20,PI000020,39.10,PE,Enabled,Default Pipe,1,13.6
21,PI000021,37.02,DI,Enabled,Default Pipe,1,24.1
22,PI000022,36.73,DI,Enabled,Default Pipe,1,92.3
23,PI000023,38.13,PE,Enabled,Default Pipe,1,213.2
24,PI000024,38.82,PE,Enabled,Default Pipe,1,27.1
25,PI000025,33.89,PE,Enabled,Default Pipe,1,1.4
26,PI000026,37.27,PE,Enabled,Default Pipe,1,5.8
27,PI000027,36.57,DI,Enabled,Default Pipe,1,52.1
28,PI000028,38.61,DI,Enabled,Default Pipe,1,13.5
29,PI000029,36.64,ST,Enabled,Default Pipe,1,8.7
30,PI000030,37.21,PE,Enabled,Default Pipe,1,92.9
31,PI000031,40.96,ST,Enabled,Default Pipe,1,1.9
32,PI000032,33.98,ST,Enabled,Default Pipe,1,8.9
33,PI000033,35.12,PE,Enabled,Default Pipe,1,13.9
34,PI000034,26.50,DI,Enabled,Default Pipe,1,98.9
35,PI000035,24.86,PE,Enabled,Default Pipe,1,49.1
36,PI000036,32.34,PE,Enabled,Default Pipe,1,11.5
37,PI000037,35.92,PE,Enabled,Default Pipe,1,9.8
38,PI000038,34.35,DI,Enabled,Default Pipe,1,28.1
39,PI000039,34.00,DI,Enabled,Default Pipe,1,1.5
40,PI000040,36.33,PE,Enabled,Default Pipe,1,9.6
41,PI000041,36.38,PE,Enabled,Default Pipe,1,22.1
42,PI000042,37.34,PE,Enabled,Default Pipe,1,15.1
43,PI000043,37.58,PE,Enabled,Default Pipe,1,37.6
44,PI000044,38.30,PE,Enabled,Replacement Pipe,1,62.7
45,PI000045,39.06,PE,Enabled,Default Pipe,1,2.7
46,PI000046,39.06,PE,Enabled,Default Pipe,1,0.0
47,PI000047,33.90,PE,Enabled,Default Pipe,1,2.6
48,PI000048,37.80,PE,Enabled,Default Pipe,1,5.6
49,PI000050,35.61,PE,Enabled,Default Pipe,1,47.7
50,PI000051,39.06,PE,Enabled,Default Pipe,1,1.0
51,PI000052,37.80,PE,Enabled,Default Pipe,1,18.5
52,PI000053,37.41,PE,Enabled,Default Pipe,1,27.0
53,PI000054,34.94,PE,Enabled,Default Pipe,1,35.7
54,PI000055,40.05,PE,Enabled,Default Pipe,1,47.4
55,PI000056,37.62,PE,Enabled,Replacement Pipe,1,2.5
56,PI000057,35.25,PE,Enabled,Default Pipe,1,41.8
57,PI000058,38.62,PE,Enabled,Default Pipe,1,1.4
58,PI000059,37.80,PE,Enabled,Default Pipe,1,20.2
59,PI000060,34.54,PE,Enabled,Default Pipe,1,20.7
60,PI000061,34.22,PE,Enabled,Default Pipe,1,1.4
61,PI000062,39.95,PE,Enabled,Replacement Pipe,1,17.2
62,PI000063,31.77,PE,Enabled,Default Pipe,1,30.4
63,PI000064,27.29,PE,Enabled,Default Pipe,1,2.4
64,PI000065,28.11,DI,Enabled,Default Pipe,1,52.0
65,PI000066,31.41,ST,Enabled,Default Pipe,1,54.7
66,PI000067,27.36,PE,Enabled,Default Pipe,1,1.5
67,PI000068,33.15,DI,Enabled,Default Pipe,1,19.0
68,PI000069,33.43,PE,Enabled,Default Pipe,1,28.5
69,PI000070,34.15,DI,Enabled,Default Pipe,1,32.1
70,PI000071,29.69,DI,Enabled,Default Pipe,1,116.0
71,PI000073,34.04,PE,Enabled,Default Pipe,2,6.8
72,PI000074,34.21,PE,Enabled,Default Pipe,2,7.3
73,PI000075,34.75,PE,Enabled,Default Pipe,2,3.7
74,PI000076,49.33,PE,Enabled,Default Pipe,3,18.6
75,PI000078,49.67,PE,Enabled,Default Pipe,3,38.9
76,PI000079,49.15,PE,Enabled,Default Pipe,3,18.0
77,PI000080,34.20,CI,Enabled,Default Pipe,2,45.5
78,PI000081,32.35,CI,Enabled,Default Pipe,2,9.4
79,PI000082,32.91,PE,Enabled,Default Pipe,2,50.1
80,PI000083,33.56,PE,Enabled,Default Pipe,2,82.7
81,PI000084,32.33,PE,Enabled,Default Pipe,2,14.6
