SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,SCMR*0467094373,34.14,PE,Enabled,Default Pipe,1,62.7
2,SCMR*0467094560,30.31,PE,Enabled,Default Pipe,1,112.1
3,SCMR*0467094640,29.89,PE,Enabled,Default Pipe,1,22.9
4,SCMR*0467094387,27.85,PE,Enabled,Default Pipe,1,139.0
5,SCMR*0467095269,30.50,PE,Enabled,Default Pipe,1,193.3
6,SCMR*0651175076,30.69,PE,Enabled,Default Pipe,1,5.1
7,SCMR*0467095439,32.69,PE,Enabled,Default Pipe,1,78.5
8,SCMR*0467094407,28.62,PE,Enabled,Default Pipe,1,134.2
9,SCMR*0467095404,28.14,CI,Enabled,Default Pipe,1,97.3
10,SCMR*0467094437,30.35,PE,Enabled,Default Pipe,1,53.2
11,PI000001,30.70,PE,Enabled,Default Pipe,1,0.0
12,SCMR*0467094722,34.57,CI,Enabled,Default Pipe,1,50.8
13,SCMR*0467095687,29.32,PE,Enabled,Default Pipe,1,138.4
14,SCMR*0467096190,26.83,PE,Enabled,Default Pipe,1,24.8
15,SCMR*0467096189,26.45,PE,Enabled,Default Pipe,1,112.0
16,SCMR*0467094619,30.14,PE,Enabled,Default Pipe,1,45.7
17,SCMR*0467094542,28.46,PE,Enabled,Default Pipe,1,122.8
18,SCMR*0467094378,30.16,PE,Enabled,Default Pipe,1,2.2
19,PI000002,30.70,PE,Enabled,Default Pipe,1,1.7
20,SCMR*0651171143,30.70,PE,Enabled,Default Pipe,1,3.0
21,SCMR*0467095264,27.57,PE,Enabled,Default Pipe,1,50.1
22,SCMR*0467094662,32.81,PE,Enabled,Default Pipe,1,97.7
23,SCMR*0467094710,32.98,CI,Enabled,Default Pipe,1,1.6
24,SCMR*0467094559,30.39,CI,Enabled,Default Pipe,1,36.2
25,PI000003,30.69,PE,Enabled,Default Pipe,1,2.0
26,SCMR*0467094418,30.71,PE,Enabled,Default Pipe,1,68.3
27,SCMR*0467094753,30.05,PE,Enabled,Default Pipe,1,32.8
28,SCMR*0467094668,34.35,PE,Enabled,Default Pipe,1,0.3
29,SCMR*0467094564,30.36,PE,Enabled,Default Pipe,1,39.6
30,SCMR*0467094647,29.31,PE,Enabled,Default Pipe,1,32.7
31,SCMR*0467094530,30.12,PE,Enabled,Default Pipe,1,28.0
32,SCMR*0467094641,28.79,PE,Enabled,Default Pipe,1,110.2
33,SCMR*0467095268,32.96,PE,Enabled,Default Pipe,1,2.4
34,SCMR*0467095265,34.32,PE,Enabled,Default Pipe,1,61.8
35,SCMR*0651155303,30.67,PE,Enabled,Default Pipe,1,1.9
36,SCMR*0651155304,30.14,PE,Enabled,Default Pipe,1,2.6
37,SCMR*0467095436,33.09,PE,Enabled,Default Pipe,1,62.1
38,SCMR*0651155301,30.40,PE,Enabled,Default Pipe,1,45.4
39,SCMR*0625009481,29.75,PE,Enabled,Default Pipe,1,61.0
40,PI000004,28.30,CI,Enabled,Default Pipe,1,3.3
41,SCMR*0467095414,28.15,PE,Enabled,Default Pipe,1,88.4
42,SCMR*0467094529,30.03,PE,Enabled,Default Pipe,1,40.8
43,SCMR*0623267881,29.94,PE,Enabled,Default Pipe,1,84.9
44,SCMR*0467094758,30.45,CI,Enabled,Default Pipe,1,147.8
45,SCMR*0621637968,26.19,PE,Enabled,Default Pipe,1,104.6
46,SCMR*0467094724,34.32,CI,Enabled,Default Pipe,1,13.1
47,SCMR*0467095438,32.87,PE,Enabled,Default Pipe,1,29.5
48,SCMR*0467094626,30.44,CI,Enabled,Default Pipe,1,1.0
49,SCMR*0467094394,29.11,PE,Enabled,Default Pipe,1,67.3
50,SCMR*0467094741,29.65,PE,Enabled,Default Pipe,1,76.3
51,PI000005,33.65,CI,Enabled,Default Pipe,1,133.4
52,SCMR*0467094514,32.43,PE,Enabled,Default Pipe,1,60.0
53,SCMR*0467094659,31.09,PE,Enabled,Default Pipe,1,41.4
54,SCMR*0467094725,35.01,CI,Enabled,Default Pipe,1,37.2
55,SCMR*0467095519,26.94,PE,Enabled,Default Pipe,1,51.8
56,SCMR*0467096187,30.31,PE,Enabled,Default Pipe,1,20.3
57,SCMR*0467095601,35.46,PE,Enabled,Default Pipe,1,187.3
58,SCMR*0467095517,28.78,PE,Enabled,Default Pipe,1,67.5
59,SCMR*0467094579,29.27,PE,Enabled,Default Pipe,1,72.2
60,SCMR*0621388948,22.54,PE,Enabled,Default Pipe,1,69.8
61,SCMR*0467095520,32.62,PE,Enabled,Default Pipe,1,57.7
62,SCMR*0467095635,25.09,PE,Enabled,Default Pipe,1,17.6
63,SCMR*0467095569,24.71,PE,Enabled,Default Pipe,1,147.4
64,SCMR*0621591255,22.36,PE,Enabled,Default Pipe,1,31.0
65,SCMR*0467094588,29.56,PE,Enabled,Default Pipe,1,93.5
66,SCMR*0467095648,24.55,PE,Enabled,Default Pipe,1,32.0
67,SCMR*0467095684,23.89,PE,Enabled,Default Pipe,1,73.1
68,SCMR*0467094694,36.05,CI,Enabled,Default Pipe,1,144.6
69,SCMR*0607494007,36.87,PE,Enabled,Default Pipe,1,2.5
70,PI000006,33.98,PE,Enabled,Default Pipe,1,13.6
71,SCMR*0467095621,33.98,PE,Enabled,Default Pipe,1,8.1
72,SCMR*0650399645,37.00,PE,Enabled,Default Pipe,1,1.0
73,PI000007,36.85,CI,Enabled,Default Pipe,1,3.9
74,SCMR*0467094727,36.86,PE,Enabled,Default Pipe,1,3.6
75,SCMR*0467096186,30.35,PE,Enabled,Default Pipe,1,53.8
76,SCMR*0467094433,30.55,PE,Enabled,Default Pipe,1,27.4
77,SCMR*0467095553,26.79,PE,Enabled,Default Pipe,1,30.8
78,SCMR*0467095665,24.28,PE,Enabled,Default Pipe,1,74.1
79,SCMR*0467094587,30.28,PE,Enabled,Default Pipe,1,114.8
80,SCMR*0467094613,30.96,PE,Enabled,Default Pipe,1,108.1
81,SCMR*0467095636,26.39,PE,Enabled,Default Pipe,1,93.9
82,SCMR*0622646998,23.25,PE,Enabled,Default Pipe,1,17.4
83,SCMR*0467094481,29.19,PE,Enabled,Default Pipe,1,29.9
84,SCMR*0650598688,27.63,PE,Enabled,Default Pipe,1,18.7
85,PI000008,29.17,PE,Enabled,Default Pipe,1,40.7
86,SCMR*0467094361,28.78,PE,Enabled,Default Pipe,1,36.6
87,SCMR*0650598590,29.05,PE,Enabled,Default Pipe,1,12.1
88,SCMR*0467094483,29.07,PE,Enabled,Default Pipe,1,2.6
89,PI000009,28.98,PE,Enabled,Default Pipe,1,28.6
90,SCMR*0467094364,27.70,PE,Enabled,Default Pipe,1,41.6
91,PI000010,33.20,PE,Enabled,Default Pipe,1,26.7
