SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,49.98,PE,Enabled,Default Pipe,1,3.0
2,PI000001,48.68,PE,Enabled,Default Pipe,2,8.1
3,PI000002,46.85,PE,Enabled,Default Pipe,2,9.0
4,PI000003,43.56,PE,Enabled,Default Pipe,1,24.5
5,PI000004,49.16,PE,Enabled,Default Pipe,1,109.4
6,PI000005,46.87,PE,Enabled,Default Pipe,1,50.8
7,PI000006,44.47,PE,Enabled,Default Pipe,1,58.4
8,PI000007,42.07,PE,Enabled,Default Pipe,1,44.4
9,PI000008,42.60,PE,Enabled,Default Pipe,1,13.0
10,PI000009,41.48,PE,Enabled,Default Pipe,1,13.0
11,PI000010,42.37,PE,Enabled,Default Pipe,1,80.4
12,PI000011,41.34,PE,Enabled,Default Pipe,1,137.7
13,PI000012,49.63,PE,Enabled,Default Pipe,1,41.4
14,PI000013,41.78,PE,Enabled,Default Pipe,1,162.1
15,PI000014,49.28,PE,Enabled,Default Pipe,1,12.4
16,PI000015,49.29,PE,Enabled,Default Pipe,1,15.0
17,PI000016,41.43,PE,Enabled,Default Pipe,1,58.9
18,PI000017,45.53,PE,Enabled,Default Pipe,2,14.5
19,PI0000010000001,43.37,PE,Enabled,Default Pipe,2,155.8

Model State: Solved

Generated on 12/03/2015 17:34:53

SynerGEE Gas 4.7.1: ASP
