"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"96106705206040","Nodes","","21.000000","22.850428","Default Known Flow Node","Known Flow","628306.125000","149086.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206076","Nodes","","21.000000","22.274517","DDS demands","Known Flow","628273.625000","149030.250000","","0.000000","-4.219999","-3.099999","","-6.190000","","-12.080884","-13.510000","","","C1 PROFILE","C3 PROFILE","","D1 PROFILE",""
"96106705206069","Nodes","","21.000000","26.529995","Default Known Flow Node","Known Flow","628549.687500","149687.625000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206051","Nodes","SEP00039, Sandwich Road, 35.00","24.000000","26.458351","CSEP DDS Matched","Known Flow","628533.000000","149691.078125","","0.000000","","","","","-21.309999","-19.055783","-21.309999","","","","","","","DC PROFILE"
"96106705206091","Nodes","","21.000000","26.529995","Default Known Flow Node","Known Flow","628551.625000","149691.625000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206050","Nodes","","21.000000","27.410077","Default Known Flow Node","Known Flow","628472.125000","149545.625000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206039","Nodes","","21.000000","28.013744","DDS demands","Known Flow","628439.000000","149455.500000","","0.000000","","","","-11.119999","","-9.943702","-11.119999","","","","","","D1 PROFILE",""
"96106700005103","Nodes","","21.000000","28.118315","Default Known Flow Node","Known Flow","628444.187500","149453.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206038","Nodes","","21.000000","32.560175","DDS demands","Known Flow","628662.750000","149366.000000","","0.000000","","","","-7.150000","","-6.393657","-7.150000","","","","","","D1 PROFILE",""
"96106705206082","Nodes","","21.000000","27.886258","DDS demands","Known Flow","628438.375000","149452.625000","","0.000000","","","","-22.549998","","-20.164612","-22.549998","","","","","","D1 PROFILE",""
"96106705206031","Nodes","","21.000000","24.273311","DDS demands","Known Flow","628390.625000","149308.000000","","0.000000","","","","-25.309999","","-22.632654","-25.309999","","","","","","D1 PROFILE",""
"96106705206030","Nodes","","21.000000","22.587584","DDS demands","Known Flow","628324.125000","149135.250000","","0.000000","","0.000000","0.000000","-23.989999","","-21.452286","-23.989999","","","","C3 PROFILE","C4 PROFILE","D1 PROFILE",""
"96106705206078","Nodes","","21.000000","27.074496","DDS demands","Known Flow","628345.375000","149492.125000","","0.000000","","","","-9.180000","","-8.208920","-9.180000","","","","","","D1 PROFILE",""
"96106705206026","Nodes","","21.000000","24.579298","DDS demands","Known Flow","628396.375000","149086.750000","","0.000000","","","-0.289999","-17.940000","","-16.301593","-18.230001","","","","","C4 PROFILE","D1 PROFILE",""
"96106705206080","Nodes","","21.000000","24.253779","DDS demands","Known Flow","628418.000000","149051.000000","","0.000000","","","","-9.000000","","-8.047961","-9.000000","","","","","","D1 PROFILE",""
"96106705206029","Nodes","","21.000000","21.943911","DDS demands","Known Flow","628300.125000","149212.000000","","0.000000","-3.980000","","","-24.329999","","-25.315308","-28.309999","","","C1 PROFILE","","","D1 PROFILE",""
"96106705206028","Nodes","","21.000000","21.283388","DDS demands","Known Flow","628244.750000","149435.250000","","0.000000","","","","-26.299999","","-23.517929","-26.299999","","","","","","D1 PROFILE",""
"96106705206077","Nodes","","21.000000","22.964631","Default Known Flow Node","Known Flow","628317.750000","149091.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206063","Nodes","","21.000000","22.985843","DDS demands","Known Flow","628330.625000","149093.000000","","0.000000","","","","-15.769999","","-14.101816","-15.769999","","","","","","D1 PROFILE",""
"96106700005104","Nodes","","21.000000","22.463061","DDS demands","Known Flow","628322.250000","149145.250000","","0.000000","","","","-12.629999","","-11.293971","-12.629999","","","","","","D1 PROFILE",""
"96106705206043","Nodes","","21.000000","33.187575","Default Known Flow Node","Known Flow","628423.375000","149224.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206079","Nodes","","21.000000","33.143995","Default Known Flow Node","Known Flow","628413.750000","149227.875000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206081","Nodes","","21.000000","33.097671","DDS demands","Known Flow","628422.875000","149144.500000","","0.000000","","","","-11.609999","","-10.381868","-11.609999","","","","","","D1 PROFILE",""
"96106700005105","Nodes","","21.000000","33.194411","Default Known Flow Node","Known Flow","628436.500000","149220.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206086","Nodes","","21.000000","33.122481","DDS demands","Known Flow","628472.750000","149270.250000","","0.000000","","","","-9.739999","","-8.709681","-9.739999","","","","","","D1 PROFILE",""
"96106705206083","Nodes","","21.000000","28.008367","Default Known Flow Node","Known Flow","628439.250000","149457.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206084","Nodes","","21.000000","27.941239","Default Known Flow Node","Known Flow","628445.250000","149475.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206085","Nodes","","21.000000","33.207291","Default Known Flow Node","Known Flow","628445.375000","149217.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206032","Nodes","","21.000000","36.794372","Default Known Flow Node","Known Flow","628678.000000","149035.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206096","Nodes","","21.000000","33.047440","Default Known Flow Node","Known Flow","628649.125000","149441.125000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206049","Nodes","","21.000000","33.003946","Default Known Flow Node","Known Flow","628705.625000","149426.125000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206097","Nodes","","21.000000","32.812188","Default Known Flow Node","Known Flow","628649.750000","149281.750000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206045","Nodes","","21.000000","32.808962","Default Known Flow Node","Known Flow","628641.625000","149223.125000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206035","Nodes","","21.000000","36.854462","Default Known Flow Node","Known Flow","628711.000000","149035.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206036","Nodes","","21.000000","36.877957","DDS demands","Known Flow","628708.000000","149054.875000","","0.000000","","","","-6.589999","","-5.892895","-6.589999","","","","","","D1 PROFILE",""
"96106705206072","Nodes","","21.000000","36.850645","Default Known Flow Node","Known Flow","628645.000000","149047.750000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206073","Nodes","","21.000000","36.807449","Default Known Flow Node","Known Flow","628678.625000","149041.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206064","Nodes","","21.000000","33.156032","Default Known Flow Node","Known Flow","628500.750000","149197.625000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206054","Nodes","","21.000000","33.018064","Default Known Flow Node","Known Flow","628546.000000","149258.125000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206044","Nodes","","21.000000","32.982385","DDS demands","Known Flow","628526.750000","149188.750000","","0.000000","","","","-10.470000","","-9.362461","-10.470000","","","","","","D1 PROFILE",""
"96106705206087","Nodes","","21.000000","33.069488","Default Known Flow Node","Known Flow","628499.000000","149160.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206089","Nodes","","21.000000","32.982923","Default Known Flow Node","Known Flow","628528.500000","149188.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206047","Nodes","","21.000000","32.910812","Default Known Flow Node","Known Flow","628601.250000","149287.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206095","Nodes","","21.000000","32.779505","DDS demands","Known Flow","628634.250000","149305.500000","","0.000000","","","","-23.700001","","-21.192966","-23.700001","","","","","","D1 PROFILE",""
"96106705206068","Nodes","","21.000000","32.914123","Default Known Flow Node","Known Flow","628604.125000","149281.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106705206065","Nodes","","21.000000","32.833059","DDS demands","Known Flow","628601.500000","149189.500000","","0.000000","","","","-15.330000","","-13.708360","-15.330000","","","","","","D1 PROFILE",""
