"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-11525.709994","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-245.330001","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-709.309994","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-557.489993","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-140.610001","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-83.169998","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-387.769992","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"CC","Flow Categories","-18.830000","0.000000","1.000000","Volumetric","-1.000000"
"CT","Flow Categories","-8.039999","0.000000","1.000000","Volumetric","-1.000000"
"PL-DC","Flow Categories","-84.829995","0.000000","1.000000","Volumetric","0"
"PL-AF","Flow Categories","-144.640004","0.000000","1.000000","Volumetric","-1.000000"
