"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96108801462492","Nodes","1462492","21.000000","27.930465","DDS demands","Known Flow","617137.623083","165038.027118","","0.000000","","","","","","","-8.169999","","","","","","","","-7.305760","-8.169999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805505075","Nodes","5505075","21.000000","27.979055","DDS demands","Known Flow","617312.947788","164928.771585","","0.000000","","","","","","","-11.880000","","","","","","","","-10.623308","-11.880000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800001001","Nodes","1001","21.000000","35.708999","Default Known Flow Node","Known Flow","617381.118773","167974.611969","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108801462870","Nodes","1462870","21.000000","35.666276","Default Known Flow Node","Known Flow","617386.309150","167976.197918","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108805505076","Nodes","5505076","21.000000","26.851544","DDS demands","Known Flow","617854.365647","164930.383127","","0.000000","","","","","","","-7.250000","","","","","","","","-6.483080","-7.250000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800010579","Nodes","10579","21.000000","29.638315","DDS demands","Known Flow","618621.607360","166614.922005","","0.000000","","","","","","","-13.780000","","","","","","","","-12.322322","-13.780000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800005623","Nodes","Logger 5623, Mill Lane","21.000000","29.950430","Val Log Post","Known Flow","618695.581226","166765.665409","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800001100","Nodes","1100","21.000000","30.003304","DDS demands","Known Flow","618704.475886","166785.554089","","0.000000","","","","","","","-10.609999","","","","","","","","-9.487651","-10.609999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800001329","Nodes","1329","21.000000","37.088524","DDS demands","Known Flow","617333.981137","167663.232622","","0.000000","","","","","","","-10.989999","","","","","","","","-9.827454","-10.989999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805505052","Nodes","5505052","21.000000","31.040231","DDS demands","Known Flow","616465.985900","166885.219621","","0.000000","","","","","","","-10.439999","","","","","","","","-9.335634","-10.439999","","","","","","","","","D1 PROFILE","","","","","","",""
