"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"C3","Flow Categories","-42.029999","0.000000","1.000000","Volumetric","-1.000000"
"D1","Flow Categories","-560.489997","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-29.209999","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"DC","Flow Categories","-9.050000","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-7.340000","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-1.290000","0.000000","1.000000","Volumetric","-1.000000"
