"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96109500002507","Nodes","Fairfield Road, Logger 2507","21.000000","22.053896","Default Known Flow Node","Known Flow","631153.078935","164298.068738","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109500414427","Nodes","414427","21.000000","22.026513","Default Known Flow Node","Known Flow","631256.665317","164303.812517","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609130","Nodes","5609130","21.000000","23.406411","Default Known Flow Node","Known Flow","630925.301833","164508.726974","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109500002506","Nodes","Molineux Road, Logger 2506","21.000000","23.131935","Default Known Flow Node","Known Flow","630898.072228","164513.944383","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609035","Nodes","5609035","21.000000","22.936507","DDS demands","Known Flow","630878.647811","164517.433600","","0.000000","","-18.589999","","","-14.040000","","","","","-29.178329","-32.629999","","","","C2 PROFILE","","","D1 PROFILE","","","",""
"96109505609057","Nodes","5609057","21.000000","31.098376","Default Known Flow Node","Known Flow","633122.372620","164467.161581","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609056","Nodes","5609056","21.000000","31.191035","DDS demands","Known Flow","632759.311986","164611.441676","","0.000000","","","","","-2.730000","","","","","-2.441214","-2.730000","","","","","","","D1 PROFILE","","","",""
"96109505609055","Nodes","5609055","21.000000","31.284592","Default Known Flow Node","Known Flow","632544.002348","164695.613205","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609054","Nodes","5609054","21.000000","31.038659","Default Known Flow Node","Known Flow","632138.377340","164781.348493","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609148","Nodes","5609148","21.000000","31.138781","Default Known Flow Node","Known Flow","633369.867498","164362.556934","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609058","Nodes","5609058","21.000000","31.139521","DDS demands","Known Flow","633279.644525","164408.057541","","0.000000","","","","","-1.490000","","","","","-1.332384","-1.490000","","","","","","","D1 PROFILE","","","",""
"96109500414346","Nodes","414346","21.000000","24.475208","Default Known Flow Node","Known Flow","630861.807816","165306.825191","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609052","Nodes","5609052","21.000000","24.313719","DDS demands","Known Flow","630841.818822","165194.578885","","0.000000","","","","","-11.220000","","","","","-10.033124","-11.220000","","","","","","","D1 PROFILE","","","",""
"96109505609112","Nodes","5609112","21.000000","24.313968","DDS demands","Known Flow","630816.094803","165127.176143","","0.000000","","","","","-2.259999","","","","","-2.020932","-2.259999","","","","","","","D1 PROFILE","","","",""
"96109505609048","Nodes","5609048","21.000000","31.578372","DDS demands","Known Flow","631608.386102","164880.392018","","0.000000","","","-0.660000","","-3.180000","","","","","-3.433796","-3.840000","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"96109505609049","Nodes","5609049","21.000000","31.373168","DDS demands","Known Flow","631839.870949","164840.262378","","0.000000","","","","","-2.939999","","","","","-2.629000","-2.939999","","","","","","","D1 PROFILE","","","",""
"96109505609047","Nodes","5609047","21.000000","31.521946","Default Known Flow Node","Known Flow","631407.016880","164898.164680","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109500414379","Nodes","414379","21.000000","31.722362","Default Known Flow Node","Known Flow","630990.525677","164958.770508","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109500414309","Nodes","414309","21.000000","23.715580","Default Known Flow Node","Known Flow","630687.289403","164554.289625","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609033","Nodes","5609033","21.000000","23.777824","DDS demands","Known Flow","630684.050431","164582.108304","","0.000000","","","","","-13.290000","","","","","-11.884156","-13.290000","","","","","","","D1 PROFILE","","","",""
"96109500414311","Nodes","414311","21.000000","23.996518","Default Known Flow Node","Known Flow","630708.084774","164617.137004","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609028","Nodes","5609028","21.000000","32.784625","DDS demands","Known Flow","630858.596329","164785.116812","","0.000000","","","","","-2.710000","","","","","-2.423330","-2.710000","","","","","","","D1 PROFILE","","","",""
"96109505609030","Nodes","5609030","21.000000","31.712847","DDS demands","Known Flow","630851.136813","164730.863035","","0.000000","","","","-8.699999","-45.319998","","","","","-48.305650","-54.019999","","","","","","C4 PROFILE","D1 PROFILE","","","",""
"96109500414374","Nodes","414374","21.000000","31.772873","Default Known Flow Node","Known Flow","630987.334058","164929.564160","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609018","Nodes","5609018","21.000000","22.880331","DDS demands","Known Flow","629949.714548","164838.742188","","0.000000","","","-1.860000","","-7.669999","","","","","-8.521896","-9.530000","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"96109500414294","Nodes","414294","21.000000","25.134557","Default Known Flow Node","Known Flow","630517.331477","164762.640269","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609100","Nodes","5609100","21.000000","27.538833","DDS demands","Known Flow","628234.288254","165234.431129","","0.000000","","","","","-20.690000","","","","","-18.501368","-20.690000","","","","","","","D1 PROFILE","","","",""
"96109505609012","Nodes","5609012","21.000000","25.537201","DDS demands","Known Flow","628329.508858","165220.956473","","0.000000","","","","","-23.229999","","","","","-20.772680","-23.229999","","","","","","","D1 PROFILE","","","",""
"96109505609102","Nodes","5609102","21.000000","25.007259","Default Known Flow Node","Known Flow","628363.779136","165210.650165","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609013","Nodes","5609013","21.000000","22.365539","DDS demands","Known Flow","628524.878510","165135.676406","","0.000000","","","-2.679999","","-16.719998","","","","","-17.347825","-19.399998","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"96109505609015","Nodes","5609015","21.000000","21.872743","Default Known Flow Node","Known Flow","629070.770733","164962.440528","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609016","Nodes","5609016","21.000000","22.214953","DDS demands","Known Flow","629392.376983","164914.824949","","0.000000","","","","","-6.350000","","","","","-5.678283","-6.350000","","","","","","","D1 PROFILE","","","",""
"96109505609017","Nodes","5609017","21.000000","22.565407","Default Known Flow Node","Known Flow","629611.248475","164877.884075","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609095","Nodes","5609095","21.000000","29.857311","DDS demands","Known Flow","627849.926932","165309.343814","","0.000000","","","","","-4.999999","","","","","-4.471089","-4.999999","","","","","","","D1 PROFILE","","","",""
"96109505609096","Nodes","5609096","21.000000","29.735950","DDS demands","Known Flow","628010.695808","165265.860462","","0.000000","","","","","-4.990000","","","","","-4.462147","-4.990000","","","","","","","D1 PROFILE","","","",""
"96109500400632","Nodes","400632","21.000000","27.538833","Default Known Flow Node","Known Flow","628249.768529","165272.614622","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609101","Nodes","5609101","21.000000","27.538833","Default Known Flow Node","Known Flow","628248.729847","165265.406926","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96109505609001","Nodes","THE STREET, MONKTON, Site ID 2502","21.000000","30.000000","Default Known Pressure Node","Known Pressure","628162.661974","165241.407569","","99999.002583","","","","","","","","","","178.528978","199.648172","","","","","","","","","","",""
