"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"96110605908135","Nodes","","21.000000","27.195053","Default Known Flow Node","Known Flow","581463.750000","151492.125000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908136","Nodes","","21.000000","27.283539","Default Known Flow Node","Known Flow","581471.625000","151453.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908057","Nodes","","21.000000","24.877969","DDS demands","Known Flow","581216.750000","151758.250000","","0.000000","","","-5.630000","","-5.034446","-5.630000","","","","","D1 PROFILE",""
"96110600002105","Nodes","","21.000000","25.117981","Default Known Flow Node","Known Flow","581203.437500","151788.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908056","Nodes","","21.000000","25.119348","DDS demands","Known Flow","581203.375000","151788.625000","","0.000000","","","-6.500000","","-5.812416","-6.500000","","","","","D1 PROFILE",""
"96110605908058","Nodes","","21.000000","27.266194","DDS demands","Known Flow","581267.125000","151832.625000","","0.000000","","","-11.729999","","-10.489175","-11.729999","","","","","D1 PROFILE",""
"96110600002104","Nodes","","21.000000","27.249380","Default Known Flow Node","Known Flow","581268.375000","151825.796875","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908106","Nodes","","21.000000","27.074095","DDS demands","Known Flow","581285.875000","151775.625000","","0.000000","","","-13.720000","","-12.268670","-13.720000","","","","","D1 PROFILE",""
"96110605908053","Nodes","","21.000000","24.483199","DDS demands","Known Flow","581158.125000","151666.500000","","0.000000","","","-6.540000","","-5.848185","-6.540000","","","","","D1 PROFILE",""
"96110600002106","Nodes","","21.000000","24.261262","Default Known Flow Node","Known Flow","581125.312500","151693.203125","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908054","Nodes","","21.000000","24.192541","DDS demands","Known Flow","581116.625000","151699.875000","","0.000000","","","-6.829999","","-6.107508","-6.829999","","","","","D1 PROFILE",""
"96110600002107","Nodes","","21.000000","24.843403","Default Known Flow Node","Known Flow","581205.875000","151753.203125","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908099","Nodes","","21.000000","24.696616","Default Known Flow Node","Known Flow","581132.750000","151572.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110600002108","Nodes","","21.000000","24.696616","Default Known Flow Node","Known Flow","581136.687500","151567.406250","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908102","Nodes","","21.000000","24.696616","Default Known Flow Node","Known Flow","581199.625000","151504.125000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908052","Nodes","","21.000000","24.654511","DDS demands","Known Flow","581189.625000","151637.875000","","0.000000","","","-14.160000","","-12.662125","-14.160000","","","","","D1 PROFILE",""
"96110600002103","Nodes","","21.000000","24.652243","DDS demands","Known Flow","581184.375000","151631.593750","","0.000000","","","-14.029999","","-12.545876","-14.029999","","","","","D1 PROFILE",""
"96110605908144","Nodes","","21.000000","27.290316","Default Known Flow Node","Known Flow","581499.500000","151298.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908142","Nodes","","21.000000","27.290316","Default Known Flow Node","Known Flow","581497.375000","151301.500000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908087","Nodes","","21.000000","24.740998","Default Known Flow Node","Known Flow","581063.625000","151386.125000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908086","Nodes","","21.000000","24.740998","Default Known Flow Node","Known Flow","581063.125000","151384.000000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908080","Nodes","","21.000000","24.740998","Default Known Flow Node","Known Flow","581011.625000","151392.500000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908088","Nodes","","21.000000","24.740998","Default Known Flow Node","Known Flow","581071.500000","151416.500000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908124","Nodes","","21.000000","27.187639","Default Known Flow Node","Known Flow","581406.125000","151425.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908143","Nodes","","21.000000","27.290316","Default Known Flow Node","Known Flow","581498.750000","151302.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908134","Nodes","","21.000000","27.195053","Default Known Flow Node","Known Flow","581462.125000","151493.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908141","Nodes","P11127342, The Brambles, Ulcombe Road, ESN012227, -12.37","21.000000","27.248599","CSEP DDS Matched","Known Flow","581480.584505","151325.307375","","0.000000","","","","-12.369999","-11.061474","-12.369999","","","","","","DC PROFILE"
"96110605908079","Nodes","","21.000000","24.080331","Default Known Flow Node","Known Flow","580942.750000","151830.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908078","Nodes","","21.000000","24.080331","Default Known Flow Node","Known Flow","580908.750000","151826.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908130","Nodes","","21.000000","27.195053","Default Known Flow Node","Known Flow","581445.750000","151514.000000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908055","Nodes","","21.000000","24.035902","DDS demands","Known Flow","581094.750000","151700.250000","","0.000000","","","-17.679999","","-15.809772","-17.679999","","","","","D1 PROFILE",""
"96110605908084","Nodes","","21.000000","24.035902","Default Known Flow Node","Known Flow","581045.250000","151738.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908110","Nodes","","21.000000","26.782873","Default Known Flow Node","Known Flow","581303.875000","151520.875000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908111","Nodes","","21.000000","26.748601","DDS demands","Known Flow","581307.500000","151525.000000","","0.000000","","","-21.030000","","-18.805402","-21.030000","","","","","D1 PROFILE",""
"96110605908129","Nodes","","21.000000","26.635219","Default Known Flow Node","Known Flow","581427.375000","151759.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908121","Nodes","","21.000000","26.635219","Default Known Flow Node","Known Flow","581384.000000","151735.500000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908139","Nodes","","21.000000","27.239293","Default Known Flow Node","Known Flow","581489.625000","151533.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908132","Nodes","","21.000000","27.150817","Default Known Flow Node","Known Flow","581449.000000","151572.000000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908092","Nodes","","21.000000","23.895942","DDS demands","Known Flow","581098.250000","151619.000000","","0.000000","","","-8.409999","","-7.520372","-8.409999","","","","","D1 PROFILE",""
"96110605908091","Nodes","","21.000000","25.936280","Default Known Flow Node","Known Flow","581098.000000","151846.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908082","Nodes","","21.000000","25.891978","Default Known Flow Node","Known Flow","581042.375000","151845.125000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908090","Nodes","","21.000000","23.895942","Default Known Flow Node","Known Flow","581094.375000","151578.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908085","Nodes","","21.000000","23.895942","Default Known Flow Node","Known Flow","581045.625000","151646.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908093","Nodes","","21.000000","24.209818","Default Known Flow Node","Known Flow","581101.500000","151739.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908081","Nodes","","21.000000","24.254235","Default Known Flow Node","Known Flow","581040.750000","151776.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908095","Nodes","","21.000000","24.209818","Default Known Flow Node","Known Flow","581111.000000","151753.500000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908094","Nodes","","21.000000","24.081810","DDS demands","Known Flow","581101.750000","151711.750000","","0.000000","","","-9.450000","","-8.450359","-9.450000","","","","","D1 PROFILE",""
"96110605908083","Nodes","","21.000000","24.254235","Default Known Flow Node","Known Flow","581044.000000","151789.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908096","Nodes","","21.000000","25.936280","Default Known Flow Node","Known Flow","581116.125000","151844.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908097","Nodes","","21.000000","24.209818","DDS demands","Known Flow","581126.125000","151720.375000","","0.000000","","","-15.339999","","-13.717302","-15.339999","","","","","D1 PROFILE",""
"96110605908098","Nodes","","21.000000","24.696616","Default Known Flow Node","Known Flow","581128.375000","151565.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908100","Nodes","","21.000000","24.559085","DDS demands","Known Flow","581169.500000","151656.375000","","0.000000","","","-13.109999","","-11.723196","-13.109999","","","","","D1 PROFILE",""
"96110605908101","Nodes","","21.000000","25.936280","Default Known Flow Node","Known Flow","581183.500000","151833.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908104","Nodes","","21.000000","27.348828","Default Known Flow Node","Known Flow","581274.250000","151834.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908114","Nodes","","21.000000","27.029683","DDS demands","Known Flow","581314.750000","151780.750000","","0.000000","","","-17.819999","","-15.934962","-17.819999","","","","","D1 PROFILE",""
"96110605908109","Nodes","","21.000000","27.060088","Default Known Flow Node","Known Flow","581295.250000","151773.125000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908103","Nodes","","21.000000","27.074095","Default Known Flow Node","Known Flow","581261.250000","151686.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908107","Nodes","","21.000000","27.614894","Default Known Flow Node","Known Flow","581292.375000","151845.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908108","Nodes","","21.000000","27.705816","DDS demands","Known Flow","581292.875000","151852.500000","","0.000000","","","-11.289999","","-10.095719","-11.289999","","","","","D1 PROFILE",""
"96110605908116","Nodes","","21.000000","27.010559","Default Known Flow Node","Known Flow","581337.125000","151772.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908113","Nodes","","21.000000","26.842049","Default Known Flow Node","Known Flow","581311.000000","151514.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908112","Nodes","","21.000000","26.753360","DDS demands","Known Flow","581308.000000","151525.500000","","0.000000","","","-17.030000","","-15.228531","-17.030000","","","","","D1 PROFILE",""
"96110605908051","Nodes","","21.000000","27.137091","DDS demands","Known Flow","581324.500000","151511.375000","","0.000000","","","-17.339999","","-15.505737","-17.339999","","","","","D1 PROFILE",""
"96110605908089","Nodes","","21.000000","27.340426","Default Known Flow Node","Known Flow","581088.968832","151075.871425","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908115","Nodes","","21.000000","26.477775","DDS demands","Known Flow","581331.125000","151693.125000","","0.000000","","","-14.319999","","-12.805199","-14.319999","","","","","D1 PROFILE",""
"96110605908105","Nodes","","21.000000","26.477775","Default Known Flow Node","Known Flow","581275.875000","151640.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908117","Nodes","","21.000000","26.955032","Default Known Flow Node","Known Flow","581372.500000","151785.500000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908118","Nodes","","21.000000","26.955032","Default Known Flow Node","Known Flow","581374.250000","151785.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908119","Nodes","","21.000000","26.635219","Default Known Flow Node","Known Flow","581381.875000","151734.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908126","Nodes","","21.000000","26.955032","Default Known Flow Node","Known Flow","581409.750000","151791.875000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908120","Nodes","","21.000000","26.590673","DDS demands","Known Flow","581383.125000","151728.000000","","0.000000","","","-14.939999","","-13.359614","-14.939999","","","","","D1 PROFILE",""
"96110605908123","Nodes","","21.000000","27.018147","Default Known Flow Node","Known Flow","581405.625000","151612.875000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908125","Nodes","","21.000000","26.955032","Default Known Flow Node","Known Flow","581409.000000","151798.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908133","Nodes","","21.000000","26.955032","Default Known Flow Node","Known Flow","581457.000000","151798.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908128","Nodes","","21.000000","29.562696","DDS demands","Known Flow","581417.750000","151868.625000","","0.000000","","","-13.659999","","-12.215016","-13.659999","","","","","D1 PROFILE",""
"96110605908127","Nodes","","21.000000","29.694832","Default Known Flow Node","Known Flow","581411.000000","151926.875000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908131","Nodes","","21.000000","27.150817","Default Known Flow Node","Known Flow","581447.750000","151573.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908122","Nodes","","21.000000","27.150817","Default Known Flow Node","Known Flow","581401.375000","151520.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908137","Nodes","","21.000000","27.150817","Default Known Flow Node","Known Flow","581485.250000","151638.000000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908077","Nodes","","21.000000","30.550238","DDS demands","Known Flow","581473.750000","151870.500000","","0.000000","-5.989999","-1.590000","-5.280000","","-11.499642","-12.860000","","","C1 PROFILE","C4 PROFILE","D1 PROFILE",""
"96110605908006","Nodes","Horseshoes Lane DG, Site ID 2102","21.000000","31.000000","Default Known Pressure Node","Known Pressure","581476.000000","151874.375000","","649.999968","","","","","271.073179","303.139983","","","","","",""
"96110605908138","Nodes","","21.000000","27.239293","Default Known Flow Node","Known Flow","581488.250000","151509.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908146","Nodes","","21.000000","27.239293","Default Known Flow Node","Known Flow","581504.750000","151491.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908140","Nodes","","21.000000","27.239293","Default Known Flow Node","Known Flow","581492.625000","151514.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908147","Nodes","","21.000000","30.490262","Default Known Flow Node","Known Flow","581524.625000","151870.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908148","Nodes","","21.000000","30.428312","Default Known Flow Node","Known Flow","581532.125000","151874.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908149","Nodes","","21.000000","30.428312","Default Known Flow Node","Known Flow","581534.250000","151874.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908150","Nodes","","21.000000","30.291278","Default Known Flow Node","Known Flow","581543.375000","151871.875000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908152","Nodes","","21.000000","27.142031","DDS demands","Known Flow","581251.069941","151405.255670","","0.000000","","","-7.349999","","-6.572501","-7.349999","","","","","D1 PROFILE",""
"96110605908153","Nodes","","21.000000","27.142031","Default Known Flow Node","Known Flow","581286.888190","151398.391310","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908154","Nodes","","21.000000","27.169204","Default Known Flow Node","Known Flow","581367.873511","151462.018627","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908155","Nodes","","21.000000","27.169204","Default Known Flow Node","Known Flow","581360.183256","151441.171695","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110600000055","Nodes","","21.000000","27.030747","Default Known Flow Node","Known Flow","581315.616326","151773.176262","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110605908156","Nodes","","21.000000","27.290316","Default Known Flow Node","Known Flow","581494.625000","151305.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110600000228","Nodes","","21.000000","26.872563","Default Known Flow Node","Known Flow","581315.379908","151519.660951","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110600000231","Nodes","","21.000000","27.127629","Default Known Flow Node","Known Flow","581320.435704","151507.035159","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110600000229","Nodes","","21.000000","27.190378","Default Known Flow Node","Known Flow","581329.864416","151517.172030","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110600000230","Nodes","","21.000000","27.147283","Default Known Flow Node","Known Flow","581321.192582","151504.466707","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110600001809","Nodes","","21.000000","27.018147","Default Known Flow Node","Known Flow","581326.107166","151522.219741","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96110600001810","Nodes","","21.000000","27.035868","Default Known Flow Node","Known Flow","581326.200274","151520.494368","","0.000000","","","","","0.000000","0.000000","","","","","",""
