"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-730.039999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-105.120005","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-91.410002","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-52.359999","0.000000","1.000000","Volumetric","-1.000000"
"CC","Flow Categories","-21.969998","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-46.660001","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
