"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96113000009686","Nodes","9686, P11126697, LAND BEHIND FARMLANE, -11.54SCMH","22.999998","35.602277","CSEP Unmatched","Known Flow","558124.969270","147761.691237","","0.000000","","","","","","","","","","","","","","-11.539999","","-10.319274","-11.539999","","","","","","","","","","","","","","","","DC PROFILE",""
"96113006701301","Nodes","P08118123, Grove Orchard, 9.32","22.999998","39.139792","CSEP DDS Matched","Known Flow","559519.418406","146810.192158","","0.000000","","","","","","","-9.319999","","","","","","","","","-8.334110","-9.319999","","","","","","","","","DC PROFILE","","","","","","","",""
"96113000008543","Nodes","8543, P11126401, Tonbridge Grammar School/Deakin Lea, FY1(-48.46)&FY5(-83.82)SCMH","25.000000","28.776995","CSEP Unmatched","Known Flow","559016.822712","145453.091307","","0.000000","","","","","","","-48.460000","","","","","","","","","-43.333801","-48.460000","","","","","","","","","DC PROFILE","","","","","","","",""
"96113000009096","Nodes","9096, P11126378, FLATS (1-8) 123 SHIPBOURNE ROAD, -9.32SCMH","22.999998","27.451071","CSEP Unmatched","Known Flow","559209.098261","147734.373454","","0.000000","","","","","","","","","","","","","","-9.319999","","-8.334110","-9.319999","","","","","","","","","","","","","","","","DC PROFILE",""
"96113000009095","Nodes","9095,","21.000000","19.815239","Default Known Flow Node","Known Flow","559753.429470","150355.357123","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006702497","Nodes","6702497,","21.000000","24.162576","DDS demands","Known Flow","559016.667400","147463.148112","","0.000000","-17.920000","-66.719999","-7.829999","","","-38.740001","","","","","","","","","","-117.330329","-131.210004","","","C1 PROFILE","C2 PROFILE","C3 PROFILE","","","D1 PROFILE","","","","","","","","",""
"96113000008831","Nodes","8831,","21.000000","24.763761","Default Known Flow Node","Known Flow","559058.918281","147462.317336","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000009426","Nodes","9426,","21.000000","27.182278","Default Known Flow Node","Known Flow","555671.417359","151943.943555","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006504012","Nodes","6504012,","21.000000","30.510447","DDS demands","Known Flow","555754.976661","151644.632313","","0.000000","","","","","","-6.139999","","","","","","","","","","-5.490497","-6.139999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000009401","Nodes","9401,","21.000000","32.245504","Default Known Flow Node","Known Flow","555786.417391","151517.943439","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
