SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,41.06,PE,Enabled,Default Pipe,1,99.8
2,PI000001,31.05,PE,Enabled,Replacement Pipe,1,12.1
3,PI000002,28.33,PE,Enabled,Replacement Pipe,1,278.6
4,PI000003,23.32,PE,Enabled,Replacement Pipe,1,13.7
5,PI000004,23.32,PE,Enabled,Replacement Pipe,1,154.3
6,PI000007,38.21,CI,Enabled,Default Pipe,1,12.5
7,PI000008,34.71,PE,Enabled,Default Pipe,1,148.1
8,PI000009,34.84,PE,Enabled,Default Pipe,1,143.5
9,PI000010,29.34,PE,Enabled,Default Pipe,1,9.6
10,PI000011,29.12,PE,Enabled,Default Pipe,1,116.1
11,PI000012,32.22,PE,Enabled,Default Pipe,1,2.7
12,PI000013,31.98,PE,Enabled,Replacement Pipe,1,91.7
13,PI000014,41.11,SI,Enabled,Default Pipe,1,121.8
14,PI000015,41.01,SI,Enabled,Default Pipe,1,65.9
15,PI000016,41.80,SI,Enabled,Default Pipe,1,125.8
16,PI000017,43.11,SI,Enabled,Default Pipe,1,108.6
17,PI000018,40.15,PE,Enabled,Default Pipe,1,88.3
18,PI000019,39.16,PE,Enabled,Default Pipe,1,82.4
19,PI000020,40.97,CI,Enabled,Default Pipe,1,141.8
20,PI000021,40.97,CI,Enabled,Default Pipe,1,100.1
21,PI000022,35.83,CI,Enabled,Default Pipe,1,189.8
22,PI000023,35.76,CI,Enabled,Default Pipe,1,108.6
23,PI000025,25.55,PE,Enabled,Replacement Pipe,1,162.7
24,PI000026,24.26,PE,Enabled,Replacement Pipe,1,166.3
25,PI000027,29.92,PE,Enabled,Default Pipe,1,166.4
26,PI000028,29.57,PE,Enabled,Default Pipe,1,48.8
27,PI000029,22.25,PE,Enabled,Replacement Pipe,1,87.2
28,PI000030,21.93,PE,Enabled,Default Pipe,1,69.3
29,PI000031,31.94,PE,Enabled,Replacement Pipe,1,219.3
30,PI000032,26.36,PE,Enabled,Replacement Pipe,1,185.3
31,PI000033,34.16,PE,Enabled,Replacement Pipe,1,81.1
32,PI000034,32.67,PE,Enabled,Replacement Pipe,1,186.8
33,PI000035,34.87,PE,Enabled,Default Pipe,1,60.6
34,PI000036,36.60,CI,Enabled,Default Pipe,1,65.9
35,PI000037,36.25,CI,Enabled,Default Pipe,1,83.1
36,PI000038,41.28,SI,Enabled,Default Pipe,1,38.2
37,PI000039,41.17,CI,Enabled,Default Pipe,1,14.1
38,PI000040,41.17,PE,Enabled,Default Pipe,1,42.2
39,PI000041,41.04,PE,Enabled,Default Pipe,1,37.7
40,PI000042,41.30,PE,Enabled,Default Pipe,1,6.9
41,PI000043,41.32,PE,Enabled,Default Pipe,1,41.8
42,PI000044,41.32,CI,Enabled,Default Pipe,1,33.6
43,PI000045,41.24,CI,Enabled,Default Pipe,1,107.9
44,PI000046,41.14,SI,Enabled,Default Pipe,1,113.2
45,PI000047,41.24,SI,Enabled,Default Pipe,1,6.5
46,PI000048,41.05,SI,Enabled,Default Pipe,1,7.8
47,PI000049,41.06,SI,Enabled,Default Pipe,1,20.9
48,PI000050,41.04,SI,Enabled,Default Pipe,1,7.1
49,PI000051,41.09,SI,Enabled,Default Pipe,1,13.4
50,PI000052,41.01,SI,Enabled,Default Pipe,1,55.5
51,PI000053,41.12,SI,Enabled,Default Pipe,1,53.2
52,PI000054,41.10,SI,Enabled,Default Pipe,1,62.5
53,PI000055,41.14,SI,Enabled,Default Pipe,1,4.5
54,PI000056,41.19,CI,Enabled,Default Pipe,1,40.0
55,PI000057,41.19,CI,Enabled,Default Pipe,1,6.1
56,PI000058,35.67,CI,Enabled,Replacement Upsize Pipe,1,13.5
57,PI000059,35.42,CI,Enabled,Replacement Upsize Pipe,1,24.5
58,PI000060,32.22,PE,Enabled,Replacement Pipe,1,181.8
59,PI000061,31.58,PE,Enabled,Replacement Pipe,1,78.4
60,PI000062,31.99,PE,Enabled,Replacement Pipe,1,2.5
61,PI000063,35.21,PE,Enabled,Replacement Pipe,1,65.5
62,PI000064,31.34,PE,Enabled,Replacement Pipe,1,239.1
63,PI000065,35.48,PE,Enabled,Default Pipe,1,126.8
64,PI000066,35.53,CI,Enabled,Replacement Upsize Pipe,1,16.7
65,PI000067,34.43,PE,Enabled,Default Pipe,1,43.1
66,PI000068,34.96,PE,Enabled,Replacement Pipe,1,69.9
67,PI000069,25.41,PE,Enabled,Default Pipe,1,6.6
68,PI000070,25.41,PE,Enabled,Default Pipe,1,120.4
69,PI000071,24.12,PE,Enabled,Replacement Pipe,1,209.7
70,PI000072,25.58,PE,Enabled,Default Pipe,1,65.4
71,PI000073,21.80,PE,Enabled,Replacement Upsize Pipe,1,52.7
72,PI000074,22.02,PE,Enabled,Default Pipe,1,118.3
73,PI000075,22.43,PE,Enabled,Replacement Pipe,1,29.2
74,PI000076,22.16,PE,Enabled,Replacement Pipe,1,81.6
75,PI000077,41.20,CI,Enabled,Default Pipe,1,56.2
76,PI000078,41.17,CI,Enabled,Default Pipe,1,63.0
77,PI000079,41.17,CI,Enabled,Default Pipe,1,62.8
78,PI000080,41.17,SI,Enabled,Default Pipe,1,175.0
79,PI000081,41.23,CI,Enabled,Default Pipe,1,79.4
80,PI000082,37.29,CI,Enabled,Default Pipe,1,43.8
81,PI000083,39.86,PE,Enabled,Default Pipe,1,61.1
