SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,64.97,PE,Enabled,Default Pipe,1,76.6
2,PI000001,66.23,PE,Enabled,Default Pipe,1,16.2
3,PI000002,66.21,PE,Enabled,Default Pipe,1,2.6
4,PI000003,65.02,PE,Enabled,Default Pipe,1,10.8
5,PI000004,65.72,PE,Enabled,Default Pipe,1,140.3
6,PI000005,66.60,PE,Enabled,Default Pipe,1,36.0
7,PI000006,64.93,PE,Enabled,Default Pipe,1,21.4
8,PI000007,65.05,PE,Enabled,Default Pipe,1,38.6
9,PI000008,67.52,PE,Enabled,Default Pipe,1,141.1
10,PI000009,66.80,PE,Enabled,Default Pipe,1,7.3
11,PI000010,68.63,PE,Enabled,Default Pipe,1,210.1
12,PI000011,69.27,PE,Enabled,Default Pipe,1,122.2
13,PI000012,69.52,PE,Enabled,Default Pipe,1,278.6
14,PI000013,69.47,PE,Enabled,Default Pipe,1,88.1
15,PI000014,69.67,PE,Enabled,Default Pipe,1,218.0
16,PI000015,69.32,PE,Enabled,Default Pipe,1,25.2
17,PI000016,67.96,PE,Enabled,Default Pipe,1,274.5
18,PI000017,69.96,PE,Enabled,Default Pipe,1,15.9
19,PI000018,64.78,PE,Enabled,Default Pipe,1,76.5
20,PI000019,66.68,PE,Enabled,Default Pipe,1,19.9
21,PI000020,66.46,PE,Enabled,Default Pipe,1,131.1
22,PI000021,65.43,PE,Enabled,Default Pipe,1,67.3
23,PI000022,65.52,PE,Enabled,Default Pipe,1,109.5
24,PI000023,65.71,PE,Enabled,Default Pipe,1,33.6
25,PI000024,65.77,PE,Enabled,Default Pipe,1,3.2
26,PI000025,65.70,PE,Enabled,Default Pipe,1,46.3
27,PI000026,65.99,PE,Enabled,Default Pipe,1,185.2
28,PI000027,66.21,PE,Enabled,Default Pipe,1,5.3
29,PI000028,66.02,PE,Enabled,Default Pipe,1,102.0
30,PI000029,66.24,PE,Enabled,Default Pipe,1,4.5
31,PI000030,66.24,PE,Enabled,Default Pipe,1,56.1
32,PI000031,66.02,PE,Enabled,Default Pipe,1,81.7
33,PI000032,66.65,PE,Enabled,Default Pipe,1,0.7
34,PI000033,66.45,PE,Enabled,Default Pipe,1,69.3
35,PI000034,66.47,PE,Enabled,Default Pipe,1,58.4
36,PI000035,64.50,PE,Enabled,Default Pipe,1,186.2
37,PI000036,64.33,PE,Enabled,Default Pipe,1,145.0
38,PI000037,64.99,PE,Enabled,Default Pipe,1,3.0
39,PI000038,64.98,PE,Enabled,Default Pipe,1,1.3
40,PI000039,64.97,PE,Enabled,Default Pipe,1,16.5
41,PI000040,64.65,PE,Enabled,Default Pipe,1,14.1
42,PI000041,64.30,PE,Enabled,Default Pipe,1,8.9
43,PI000042,64.30,PE,Enabled,Default Pipe,1,58.9

Model State: Solved

Generated on 12/03/2015 12:56:31

SynerGEE Gas 4.7.1: ASP
