SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,24.31,PE,Enabled,Default Pipe,1,113.5
2,PI000001,33.67,PE,Enabled,Default Pipe,1,133.9
3,PI000002,33.65,PE,Enabled,Default Pipe,1,6.8
4,PI000003,31.31,CI,Enabled,Default Pipe,1,18.5
5,PI000004,29.59,CI,Enabled,Default Pipe,1,327.0
6,PI000005,34.70,PE,Enabled,Default Pipe,1,159.6
7,PI000006,35.06,PE,Enabled,Default Pipe,1,7.4
8,PI000007,26.07,PE,Enabled,Default Pipe,1,75.1
9,PI000008,25.96,PE,Enabled,Default Pipe,1,31.0
10,PI000009,36.30,CI,Enabled,Default Pipe,1,5.5
11,PI000010,36.25,CI,Enabled,Default Pipe,1,157.1
12,PI000011,28.13,CI,Enabled,Default Pipe,1,297.5
13,PI000012,28.41,CI,Enabled,Default Pipe,1,293.9
14,PI000013,28.83,CI,Enabled,Default Pipe,1,274.5
15,PI000014,24.36,PE,Enabled,Replacement Pipe,1,113.5
16,PI000015,25.21,PE,Enabled,Replacement Pipe,1,151.4
17,PI000016,26.45,PE,Enabled,Replacement Pipe,1,205.5
18,PI000017,27.68,PE,Enabled,Replacement Pipe,1,280.3
19,PI000018,27.99,CI,Enabled,Default Pipe,1,109.3
20,PI000019,33.07,PE,Enabled,Replacement Pipe,1,95.5
21,PI000020,32.75,PE,Enabled,Replacement Pipe,1,38.0
22,PI000021,34.86,PE,Enabled,Default Pipe,1,165.5
23,PI000022,36.15,PE,Enabled,Default Pipe,1,139.3
24,PI000023,34.11,PE,Enabled,Default Pipe,1,2.4
25,PI000024,34.10,PE,Enabled,Default Pipe,1,88.4
26,PI000025,34.24,PE,Enabled,Default Pipe,1,179.3
27,PI000026,24.29,PE,Enabled,Default Pipe,1,132.8
28,PI000028,29.07,PE,Enabled,Replacement Pipe,1,183.9
29,PI000029,28.72,PE,Enabled,Replacement Pipe,1,218.9
30,PI000030,29.04,PE,Enabled,Replacement Pipe,1,11.8
31,PI000031,28.40,PE,Enabled,Replacement Pipe,1,5.5
32,PI000034,24.25,PE,Enabled,Default Pipe,1,333.3
33,PI000035,26.12,PE,Enabled,Default Pipe,1,40.9
34,PI000036,26.20,PE,Enabled,Default Pipe,1,23.0
35,PI000037,26.15,PE,Enabled,Default Pipe,1,42.7
36,PI000038,26.16,PE,Enabled,Default Pipe,1,2.2
37,PI000039,31.09,PE,Enabled,Default Pipe,1,38.7
38,PI000041,31.29,PE,Enabled,Default Pipe,1,64.4
39,PI000042,31.56,PE,Enabled,Default Pipe,1,60.9
40,PI000043,31.61,PE,Enabled,Default Pipe,1,78.3
41,PI000044,31.65,PE,Enabled,Default Pipe,1,11.5
