SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,26.76,PE,Enabled,Default Pipe,1,9.0
2,PI000002,30.28,PE,Enabled,Default Pipe,1,40.0
3,PI000003,28.00,PE,Enabled,Default Pipe,1,77.9
4,PI000004,27.20,PE,Enabled,Default Pipe,1,8.1
5,PI000006,27.47,ST,Enabled,Default Pipe,1,100.4
6,PI000007,29.50,PE,Enabled,Default Pipe,1,54.7
7,PI000010,27.19,ST,Enabled,Default Pipe,1,70.0
8,PI000011,30.70,PE,Enabled,Default Pipe,1,15.6
9,PI000012,28.58,PE,Enabled,Default Pipe,1,9.0
10,PI000013,26.78,PE,Enabled,Default Pipe,1,8.2
11,PI000014,28.55,PE,Enabled,Default Pipe,1,2.6
12,PI000015,27.01,PE,Enabled,Default Pipe,1,24.5
13,PI000016,27.57,ST,Enabled,Default Pipe,1,178.5
14,PI000019,27.01,PE,Enabled,Default Pipe,1,37.6
15,PI000020,27.39,PE,Enabled,Default Pipe,1,52.9
16,PI000021,30.51,PE,Enabled,Default Pipe,1,143.8
17,PI000022,26.69,PV,Enabled,Default Pipe,1,44.7
18,PI000023,27.24,PV,Enabled,Default Pipe,1,73.0
19,PI000024,29.12,PE,Enabled,Default Pipe,1,52.4
20,PI000025,35.25,PE,Enabled,Default Pipe,1,25.1
21,PI000028,36.16,PE,Enabled,Default Pipe,1,7.6
22,PI000029,34.94,PE,Enabled,Default Pipe,1,9.3
23,PI000030,34.79,PE,Enabled,Default Pipe,1,26.7
24,PI000031,36.52,PE,Enabled,Default Pipe,1,2.2
25,PI000032,35.55,PE,Enabled,Default Pipe,1,89.1
26,PI000033,37.14,PE,Enabled,Default Pipe,1,116.5
27,PI000034,36.28,PE,Enabled,Default Pipe,1,47.8
28,PI000035,34.24,PE,Enabled,Default Pipe,1,22.5
29,PI000036,36.02,CI,Enabled,Default Pipe,1,67.1
30,PI000037,36.18,PE,Enabled,Default Pipe,1,18.0
31,PI000038,34.25,PE,Enabled,Default Pipe,1,21.0
32,PI000039,39.59,PE,Enabled,Default Pipe,1,2.7
33,PI000040,39.62,PE,Enabled,Default Pipe,1,14.0
34,PI000041,33.15,PE,Enabled,Default Pipe,1,5.0
35,PI000042,34.86,PE,Enabled,Default Pipe,1,8.2
36,PI000043,34.21,PE,Enabled,Default Pipe,1,84.3
37,PI000044,34.52,CI,Enabled,Default Pipe,1,1.1
38,PI000045,33.13,PE,Enabled,Default Pipe,1,52.5
39,PI000046,34.85,PV,Enabled,Default Pipe,1,40.6
40,PI000047,33.79,ST,Enabled,Default Pipe,1,129.1
41,PI000048,33.95,PE,Enabled,Default Pipe,1,5.0
42,PI000049,33.07,PE,Enabled,Default Pipe,1,60.8
43,PI000050,34.36,PE,Enabled,Default Pipe,1,140.1
44,PI000051,33.40,PE,Enabled,Default Pipe,1,100.6
45,PI000052,33.77,PE,Enabled,Default Pipe,1,72.2
46,PI000053,32.85,PE,Enabled,Default Pipe,1,1.4
47,PI000054,34.35,CI,Enabled,Default Pipe,1,135.2
48,PI000055,34.48,PE,Enabled,Default Pipe,1,8.6
49,PI000056,29.16,PE,Enabled,Default Pipe,1,10.2
50,PI000057,29.35,PE,Enabled,Default Pipe,1,15.3
51,PI000058,28.62,PE,Enabled,Default Pipe,1,7.4
52,PI000059,28.63,PE,Enabled,Default Pipe,1,12.8
