SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,24.74,PE,Enabled,Default Pipe,1,100.3
2,PI000001,23.78,PE,Enabled,Default Pipe,1,5.6
3,PI000002,23.64,PE,Enabled,Default Pipe,1,78.9
4,PI000003,22.29,PE,Enabled,Default Pipe,1,10.2
5,PI000004,22.29,PE,Enabled,Default Pipe,1,2.7
6,PI000005,23.39,PE,Enabled,Default Pipe,1,1.2
7,PI000006,24.13,PE,Enabled,Default Pipe,1,180.0
8,PI000007,24.87,PE,Enabled,Default Pipe,1,1.9
9,PI000008,24.86,PE,Enabled,Default Pipe,1,2.5
10,PI000009,26.53,PE,Enabled,Default Pipe,1,3.3
11,PI000010,26.13,PE,Enabled,Default Pipe,1,25.8
12,PI000011,26.46,PE,Enabled,Default Pipe,1,8.0
13,PI000012,29.79,CI,Enabled,Default Pipe,1,102.0
14,PI000013,29.76,CI,Enabled,Default Pipe,1,99.4
15,PI000014,29.73,CI,Enabled,Default Pipe,1,102.2
16,PI000015,29.70,CI,Enabled,Default Pipe,1,60.7
17,PI000016,23.54,PE,Enabled,Default Pipe,1,60.8
18,PI000017,23.61,PE,Enabled,Default Pipe,1,27.2
19,PI000018,24.85,PE,Enabled,Default Pipe,1,56.8
20,PI000019,23.66,PE,Enabled,Default Pipe,1,5.0
21,PI000020,24.85,PE,Enabled,Default Pipe,1,0.8
22,PI000021,24.70,PE,Enabled,Default Pipe,1,96.4
23,PI000022,24.79,ST,Enabled,Default Pipe,1,13.2
24,PI000023,24.86,ST,Enabled,Default Pipe,1,70.5
25,PI000024,24.85,PE,Enabled,Default Pipe,1,1.8
26,PI000025,24.85,PE,Enabled,Default Pipe,1,11.0
27,PI000026,24.74,PE,Enabled,Default Pipe,1,8.4
28,PI000027,24.01,PE,Enabled,Default Pipe,1,135.3
29,PI000028,24.38,PE,Enabled,Default Pipe,1,94.0
30,PI000029,24.05,PE,Enabled,Default Pipe,1,53.0
31,PI000030,24.10,PE,Enabled,Default Pipe,1,13.6
32,PI000031,23.87,PE,Enabled,Default Pipe,1,26.5
33,PI000032,23.87,PE,Enabled,Default Pipe,1,32.3
34,PI000033,23.99,PE,Enabled,Default Pipe,1,36.5
35,PI000034,23.89,PE,Enabled,Default Pipe,1,22.7
36,PI000035,24.68,PE,Enabled,Default Pipe,1,13.0
37,PI000036,24.40,PE,Enabled,Default Pipe,1,77.3
38,PI000037,23.66,PE,Enabled,Default Pipe,1,144.1
39,PI000038,23.66,PE,Enabled,Default Pipe,1,7.3
40,PI000039,24.16,PE,Enabled,Default Pipe,1,33.8
41,PI000040,21.58,PE,Enabled,Default Pipe,1,20.6
