SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,24.20,CI,Enabled,Default Pipe,1,67.9
2,PI000001,33.44,CI,Enabled,Default Pipe,2,142.1
3,PI000002,31.64,CI,Enabled,Default Pipe,2,152.4
4,PI000003,39.26,CI,Enabled,Default Pipe,2,282.6
5,PI000004,35.67,CI,Enabled,Default Pipe,2,131.5
6,PI000005,34.39,CI,Enabled,Default Pipe,2,25.6
7,PI000006,34.08,CI,Enabled,Default Pipe,2,19.7
8,PI000007,45.61,PE,Enabled,Default Pipe,2,127.5
9,PI000008,44.36,PE,Enabled,Default Pipe,2,125.4
10,PI000009,26.78,PE,Enabled,Default Pipe,2,5.6
11,PI000010,26.85,PE,Enabled,Default Pipe,2,133.1
12,PI000011,26.78,PE,Enabled,Default Pipe,2,58.2
13,PI000012,36.36,CI,Enabled,Default Pipe,1,88.2
14,PI000013,36.43,CI,Enabled,Default Pipe,1,98.0
15,PI000014,30.23,CI,Enabled,Default Pipe,2,178.2
16,PI000015,28.01,CI,Enabled,Default Pipe,2,211.3
17,PI000016,27.60,CI,Enabled,Default Pipe,2,2.4
18,PI000017,42.77,ST,Enabled,Default Pipe,2,8.4
19,PI000018,42.84,ST,Enabled,Default Pipe,2,72.1
20,PI000019,27.81,CI,Enabled,Default Pipe,2,25.9
21,PI000020,27.69,CI,Enabled,Default Pipe,2,57.3
22,PI000021,42.65,ST,Enabled,Default Pipe,2,204.4
23,PI000022,36.63,PE,Enabled,Default Pipe,1,39.7
24,PI000023,36.55,PE,Enabled,Default Pipe,1,32.7
25,PI000024,34.06,CI,Enabled,Default Pipe,1,21.0
26,PI000025,33.92,CI,Enabled,Default Pipe,1,25.8
27,PI000026,44.54,CI,Enabled,Default Pipe,2,35.2
28,PI000027,44.51,CI,Enabled,Default Pipe,2,26.8
29,PI000028,32.73,DI,Enabled,Default Pipe,2,49.9
30,PI000029,32.66,DI,Enabled,Default Pipe,2,4.2
31,PI000030,28.86,PE,Enabled,Default Pipe,2,147.3
32,PI000031,28.92,PE,Enabled,Default Pipe,2,84.6
33,PI000032,36.75,PE,Enabled,Replacement Pipe,2,112.1
34,PI000033,36.76,PE,Enabled,Default Pipe,1,54.1
35,PI000034,33.91,PE,Enabled,Default Pipe,2,103.1
36,PI000035,36.77,PE,Enabled,Default Pipe,2,126.3
37,PI000036,37.06,PE,Enabled,Default Pipe,2,103.8
38,PI000037,34.45,PE,Enabled,Default Pipe,2,147.6
39,PI000038,33.22,PE,Enabled,Default Pipe,1,260.6
40,PI000039,35.58,PE,Enabled,Default Pipe,1,92.4
41,PI000040,30.03,PE,Enabled,Default Pipe,1,254.7
42,PI000041,32.01,CI,Enabled,Default Pipe,2,283.0
43,PI000042,29.27,CI,Enabled,Default Pipe,2,304.6
44,PI000043,26.82,PE,Enabled,Default Pipe,2,138.8
