SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,27.24,PE,Enabled,Default Pipe,1,54.7
2,PI000001,25.00,PE,Enabled,Replacement Pipe,1,32.9
3,PI000002,25.12,PE,Enabled,Replacement Pipe,1,0.2
4,PI000003,27.26,PE,Enabled,Default Pipe,1,7.0
5,PI000004,27.16,PE,Enabled,Default Pipe,1,54.3
6,PI000005,24.37,PE,Enabled,Replacement Pipe,1,42.4
7,PI000006,24.23,PE,Enabled,Replacement Pipe,1,10.9
8,PI000007,24.86,PE,Enabled,Replacement Pipe,1,12.5
9,PI000008,24.66,PE,Enabled,Replacement Pipe,1,113.8
10,PI000009,24.70,PE,Enabled,Replacement Pipe,1,6.7
11,PI000010,24.70,PE,Enabled,Replacement Pipe,1,89.3
12,PI000011,24.65,PE,Enabled,Default Pipe,1,8.2
13,PI000012,24.67,PE,Enabled,Default Pipe,1,80.5
14,PI000013,27.29,PE,Enabled,Default Pipe,1,3.6
15,PI000014,24.74,PE,Enabled,Default Pipe,1,2.2
16,PI000015,24.74,PE,Enabled,Default Pipe,1,52.4
17,PI000016,24.74,PE,Enabled,Default Pipe,1,31.4
18,PI000017,27.22,PE,Enabled,Replacement Pipe,1,124.7
19,PI000018,27.20,PE,Enabled,Default Pipe,1,2.2
20,PI000019,27.29,PE,Enabled,Default Pipe,1,4.7
21,PI000020,27.29,PE,Enabled,Default Pipe,1,1.9
22,PI000022,24.08,PE,Enabled,Default Pipe,1,46.4
23,PI000023,27.20,PE,Enabled,Default Pipe,1,26.8
24,PI000024,24.04,PE,Enabled,Replacement Pipe,1,62.5
25,PI000025,26.77,PE,Enabled,Replacement Pipe,1,5.5
26,PI000026,26.64,PE,Enabled,Default Pipe,1,49.7
27,PI000027,27.20,PE,Enabled,Default Pipe,1,55.8
28,PI000028,23.97,PE,Enabled,Replacement Pipe,1,81.9
29,PI000029,25.91,PE,Enabled,Default Pipe,1,55.8
30,PI000030,23.90,PE,Enabled,Replacement Pipe,1,40.4
31,PI000031,23.90,PE,Enabled,Replacement Pipe,1,89.9
32,PI000032,24.23,PE,Enabled,Default Pipe,1,74.6
33,PI000033,24.21,PE,Enabled,Default Pipe,1,17.0
34,PI000034,24.06,PE,Enabled,Replacement Pipe,1,13.5
35,PI000035,24.23,PE,Enabled,Default Pipe,1,86.7
36,PI000036,25.94,PE,Enabled,Default Pipe,1,18.2
37,PI000037,24.14,PE,Enabled,Replacement Pipe,1,19.0
38,PI000038,24.20,PE,Enabled,Replacement Pipe,1,22.6
39,PI000039,24.21,PE,Enabled,Default Pipe,1,31.1
40,PI000040,24.72,PE,Enabled,Default Pipe,1,167.9
41,PI000041,24.70,PE,Enabled,Default Pipe,1,9.4
42,PI000042,24.52,PE,Enabled,Replacement Pipe,1,15.2
43,PI000043,24.72,PE,Enabled,Replacement Pipe,1,136.8
44,PI000044,25.94,PE,Enabled,Replacement Pipe,1,68.5
45,PI000045,24.61,PE,Enabled,Replacement Pipe,1,27.3
46,PI000046,25.53,PE,Enabled,Replacement Pipe,1,49.0
