SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0624994277,43.94,CI,Enabled,Default Pipe,1,116.1
2,0624994276,43.98,CI,Enabled,Default Pipe,1,17.6
3,0114494505,43.94,PE,Enabled,Default Pipe,1,44.3
4,0114494455,43.62,SI,Enabled,Default Pipe,1,13.9
5,0114494425,43.52,SI,Enabled,Default Pipe,1,20.6
6,0114494597,43.77,PE,Enabled,Default Pipe,1,11.3
7,0114494294,44.66,CI,Enabled,Default Pipe,1,236.0
8,0114494495,44.10,CI,Enabled,Default Pipe,1,163.9
9,0624972889,48.66,PE,Enabled,Default Pipe,13,68.9
10,0626594992,49.38,PE,Enabled,Default Pipe,1,2.6
11,0604137775,45.53,PE,Enabled,Default Pipe,1,64.8
12,PI003804,29.90,PE,Enabled,Default Pipe,1,2.1
13,PI003806,30.10,PE,Enabled,Default Pipe,1,54.1
14,0626594994,49.38,PE,Enabled,Default Pipe,1,19.0
15,0115691135,49.17,PE,Enabled,Default Pipe,1,42.3
16,PI003801,29.86,PE,Enabled,Default Pipe,1,43.0
17,0114494503,43.86,PE,Enabled,Default Pipe,1,38.1
18,0114494255,45.96,PE,Enabled,Default Pipe,1,0.8
19,0115912308,44.97,PE,Enabled,Default Pipe,1,22.8
20,0114494258,45.27,PE,Enabled,Default Pipe,1,62.0
21,0114494595,44.32,PE,Enabled,Default Pipe,1,34.8
22,0114494356,46.02,PE,Enabled,Default Pipe,1,62.6
23,0604137783,47.17,PE,Enabled,Default Pipe,1,1.2
24,PI003802,44.58,PE,Enabled,Default Pipe,1,2.2
25,0114494655,47.95,DI,Enabled,Default Pipe,1,50.9
26,0115691166,45.52,CI,Enabled,Default Pipe,1,15.3
27,0114494310,48.21,DI,Enabled,Default Pipe,1,108.4
28,0115707830,46.03,PE,Enabled,Default Pipe,1,52.4
29,0114494659,47.88,DI,Enabled,Default Pipe,1,80.9
30,0605487037,49.88,PE,Enabled,Default Pipe,1,16.8
31,0115822103,48.20,PE,Enabled,Default Pipe,1,94.3
32,0115912305,44.98,PE,Enabled,Default Pipe,1,32.4
33,0626594993,49.34,PE,Enabled,Default Pipe,1,81.3
34,0114494343,45.69,PE,Enabled,Default Pipe,1,54.3
35,PI003811,32.74,PE,Enabled,Default Pipe,1,73.9
36,0604137778,46.08,PE,Enabled,Default Pipe,1,0.9
37,0114494600,42.82,SI,Enabled,Default Pipe,1,75.0
38,0115825685,43.24,PE,Enabled,Default Pipe,1,54.9
39,0114494387,46.42,PE,Enabled,Default Pipe,1,1.7
40,0114494421,44.20,PE,Enabled,Default Pipe,1,74.5
41,0114494396,44.48,CI,Enabled,Default Pipe,1,35.8
42,0115825681,43.40,PE,Enabled,Default Pipe,1,65.8
43,0115879592,48.17,PE,Enabled,Default Pipe,1,60.6
44,0114494670,43.92,PE,Enabled,Default Pipe,1,13.9
45,PI003971,29.42,SI,Enabled,Default Pipe,1,1.4
46,0115879591,48.09,PE,Enabled,Default Pipe,1,60.6
47,0604940730,35.05,PE,Enabled,Default Pipe,1,495.0
48,0115746667,44.49,CI,Enabled,Default Pipe,1,6.2
49,0600754037,44.05,PE,Enabled,Default Pipe,1,43.8
50,0114492916,35.33,PE,Enabled,Default Pipe,1,15.1
51,0114492927,35.70,PE,Enabled,Default Pipe,1,144.8
52,0115687128,37.33,CI,Enabled,Default Pipe,1,535.2
53,0604940729,35.32,PE,Enabled,Default Pipe,1,14.5
54,0627096475,44.03,PE,Enabled,Default Pipe,1,2.0
55,0603237989,44.01,PE,Enabled,Default Pipe,1,80.2
56,0114493015,23.42,PE,Enabled,Default Pipe,1,69.5
57,PI003882,28.26,PE,Enabled,Default Pipe,1,6.9
58,0114493049,24.04,CI,Enabled,Default Pipe,1,3.9
59,0115686264,23.42,PE,Enabled,Default Pipe,1,58.9
60,0114493069,23.80,PE,Enabled,Replacement Pipe,1,55.0
61,0114493007,23.79,CI,Enabled,Default Pipe,1,4.2
62,PI003880,31.12,PE,Enabled,Default Pipe,1,65.9
63,0114493036,23.22,PE,Enabled,Default Pipe,1,106.0
64,0114493014,23.54,PE,Enabled,Default Pipe,1,3.2
65,0602395026,43.11,PE,Enabled,Default Pipe,1,7.1
66,0115687133,41.81,PE,Enabled,Default Pipe,1,393.9
67,0115687135,39.61,PE,Enabled,Default Pipe,1,49.2
68,0607591098,43.30,PE,Enabled,Default Pipe,1,42.6
69,0115687134,40.11,PE,Enabled,Default Pipe,1,49.3
70,0602395024,43.24,PE,Enabled,Default Pipe,1,83.5
71,PI003795,24.94,PE,Enabled,Default Pipe,1,62.1
72,PI003793,26.94,PE,Enabled,Replacement Pipe,1,146.6
73,0114492834,42.88,CI,Enabled,Default Pipe,1,2.4
74,PI003792,25.43,PE,Enabled,Replacement Pipe,1,43.5
75,PI003923,30.13,PE,Enabled,Default Pipe,1,3.1
76,PI003927,31.53,PE,Enabled,Default Pipe,1,2.5
77,PI003950,28.47,PE,Enabled,Default Pipe,1,9.8
78,PI003788,32.36,CI,Enabled,Default Pipe,1,10.3
79,0114493025,26.40,CI,Enabled,Default Pipe,1,1.5
80,0114492988,30.38,CI,Enabled,Default Pipe,1,158.7
81,0627783021,30.26,PE,Enabled,Default Pipe,1,9.0
