SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,46.69,PE,Enabled,Default Pipe,1,3.7
2,PI000001,46.40,PE,Enabled,Default Pipe,1,225.6
3,PI000002,47.60,PE,Enabled,Default Pipe,1,204.0
4,PI000003,46.94,PE,Enabled,Default Pipe,1,97.8
5,PI000004,47.34,PE,Enabled,Default Pipe,1,130.1
6,PI000005,47.38,PE,Enabled,Default Pipe,1,79.6
7,PI000006,47.32,PE,Enabled,Default Pipe,1,74.7
8,PI000007,46.48,PE,Enabled,Default Pipe,1,42.6
9,PI000008,46.48,PE,Enabled,Default Pipe,1,24.6
10,PI000009,46.58,PE,Enabled,Default Pipe,1,8.5
11,PI000010,46.33,PE,Enabled,Default Pipe,1,23.2
12,PI000011,46.31,PE,Enabled,Default Pipe,1,49.2
13,PI000012,46.37,PE,Enabled,Default Pipe,1,65.8
14,PI000013,46.32,PE,Enabled,Default Pipe,1,21.6
15,PI000014,46.34,PE,Enabled,Default Pipe,1,15.1
16,PI000015,46.24,PE,Enabled,Default Pipe,1,72.3
17,PI000016,47.09,PE,Enabled,Default Pipe,1,268.6
18,PI000017,46.81,PE,Enabled,Default Pipe,1,3.5
19,PI000018,46.78,PE,Enabled,Default Pipe,1,33.8
20,PI000019,46.81,PE,Enabled,Default Pipe,1,7.4
21,PI000020,46.64,PE,Enabled,Default Pipe,1,42.3
22,PI000021,46.54,PE,Enabled,Default Pipe,1,56.0
23,PI000022,46.79,PE,Enabled,Default Pipe,1,81.1
24,PI000023,46.83,PE,Enabled,Default Pipe,1,29.0
25,PI000024,46.72,PE,Enabled,Default Pipe,1,56.6
26,PI000025,46.82,PE,Enabled,Default Pipe,1,28.3
27,PI000026,46.68,PE,Enabled,Default Pipe,1,32.7
28,PI000027,46.79,PE,Enabled,Default Pipe,1,55.4
29,PI000028,46.75,PE,Enabled,Default Pipe,1,10.9
30,PI000029,46.79,PE,Enabled,Default Pipe,1,6.3
31,PI000030,46.71,PE,Enabled,Default Pipe,1,28.1
32,PI000031,46.88,PE,Enabled,Default Pipe,1,86.8
33,PI000032,47.51,PE,Enabled,Default Pipe,1,32.0
34,PI000033,48.15,PE,Enabled,Default Pipe,1,8.8
35,PI000034,48.76,PE,Enabled,Default Pipe,1,9.6
36,PI000035,47.37,PE,Enabled,Default Pipe,1,215.2
37,PI000036,48.02,PE,Enabled,Default Pipe,1,40.0
38,PI000037,48.15,PE,Enabled,Default Pipe,1,25.3
39,PI000038,48.15,PE,Enabled,Default Pipe,1,12.8
40,PI000039,47.93,PE,Enabled,Default Pipe,1,76.6
41,PI000040,48.14,PE,Enabled,Default Pipe,1,26.9
42,PI000041,48.24,PE,Enabled,Default Pipe,1,31.3
43,PI000042,48.33,PE,Enabled,Default Pipe,1,7.2
44,PI000043,48.47,PE,Enabled,Default Pipe,1,118.5
45,PI000044,48.16,PE,Enabled,Default Pipe,1,17.8
46,PI000045,48.24,PE,Enabled,Default Pipe,1,45.3
47,PI000046,47.82,PE,Enabled,Default Pipe,1,51.0
48,PI000047,47.78,PE,Enabled,Default Pipe,1,7.6
49,PI000048,47.89,PE,Enabled,Default Pipe,1,71.4
50,PI000049,47.97,PE,Enabled,Default Pipe,1,17.0
51,PI000050,47.89,PE,Enabled,Default Pipe,1,33.0
52,PI000051,47.89,PE,Enabled,Default Pipe,1,8.7
53,PI000052,47.93,PE,Enabled,Default Pipe,1,15.6
54,PI000053,48.63,PE,Enabled,Default Pipe,1,100.5
55,PI000054,48.67,PE,Enabled,Default Pipe,1,111.1
56,PI000055,48.34,PE,Enabled,Default Pipe,1,192.2
57,PI000056,48.58,PE,Enabled,Default Pipe,1,6.0
58,PI000057,48.68,PE,Enabled,Default Pipe,1,67.8
59,PI000058,48.71,PE,Enabled,Default Pipe,1,29.4
60,PI000059,48.74,PE,Enabled,Default Pipe,1,104.9
61,PI000060,46.06,PE,Enabled,Default Pipe,1,72.0
62,PI000061,46.35,PE,Enabled,Default Pipe,1,69.8
63,PI000062,46.36,PE,Enabled,Default Pipe,1,2.9
64,PI000063,46.32,PE,Enabled,Default Pipe,1,79.4
65,PI000064,46.57,PE,Enabled,Default Pipe,1,199.6
66,PI000065,46.41,PE,Enabled,Default Pipe,1,59.7
67,PI000066,46.40,PE,Enabled,Default Pipe,1,114.2
68,PI000067,46.17,PE,Enabled,Default Pipe,1,92.8
69,PI000068,47.02,PE,Enabled,Default Pipe,1,247.9
70,PI000069,47.03,PE,Enabled,Default Pipe,1,258.3
71,PI000070,47.21,PE,Enabled,Default Pipe,1,149.7
72,PI000071,47.19,PE,Enabled,Default Pipe,1,23.0
73,PI000072,46.69,PE,Enabled,Default Pipe,1,116.0
74,PI000073,46.93,PE,Enabled,Default Pipe,1,109.1
75,PI000074,47.03,PE,Enabled,Default Pipe,1,108.4
76,PI000075,47.08,PE,Enabled,Default Pipe,1,105.4
77,PI000076,46.98,PE,Enabled,Default Pipe,1,11.9
78,PI000077,46.98,PE,Enabled,Default Pipe,1,1.5
79,PI000078,45.72,PE,Enabled,Default Pipe,1,171.2
80,PI000079,46.80,PE,Enabled,Default Pipe,1,71.2
81,PI000080,46.62,PE,Enabled,Default Pipe,1,1.7
82,PI000081,46.74,PE,Enabled,Default Pipe,1,229.4
83,PI000082,49.07,PE,Enabled,Default Pipe,1,47.8
84,PI000083,47.47,PE,Enabled,Default Pipe,1,93.2
85,PI000084,47.53,PE,Enabled,Default Pipe,1,84.6
86,PI000085,47.70,PE,Enabled,Default Pipe,1,98.6
87,PI000086,47.87,PE,Enabled,Default Pipe,1,7.0
88,PI000087,47.72,PE,Enabled,Default Pipe,1,35.1
89,PI000088,47.88,ST,Enabled,Default Pipe,1,12.2
90,PI000089,47.90,PE,Enabled,Default Pipe,1,6.7
91,PI000090,48.00,PE,Enabled,Default Pipe,1,24.4
92,PI000091,48.05,PE,Enabled,Default Pipe,1,45.6
93,PI000092,48.13,PE,Enabled,Default Pipe,1,48.3
94,PI000093,49.10,PE,Enabled,Default Pipe,1,2.4
95,PI000094,48.61,PE,Enabled,Default Pipe,1,72.7
96,PI000095,48.51,PE,Enabled,Default Pipe,1,27.5
97,PI000096,48.62,PE,Enabled,Default Pipe,1,97.8
98,PI000097,48.16,ST,Enabled,Default Pipe,1,5.3
99,PI000098,48.16,PE,Enabled,Default Pipe,1,65.2
100,PI000099,48.71,PE,Enabled,Default Pipe,1,56.8
101,PI000100,48.71,PE,Enabled,Default Pipe,1,26.6
102,PI000101,48.71,PE,Enabled,Default Pipe,1,16.0
103,PI000102,48.78,PE,Enabled,Default Pipe,1,34.5
104,PI000103,49.98,PE,Enabled,Default Pipe,1,18.7
105,PI000104,49.53,PE,Enabled,Default Pipe,1,270.1
106,PI000105,49.34,PE,Enabled,Default Pipe,1,154.9
107,PI000106,47.55,PE,Enabled,Default Pipe,1,11.7
108,PI000107,47.51,PE,Enabled,Default Pipe,1,59.0
109,PI000108,47.55,PE,Enabled,Default Pipe,1,1.4
110,PI000109,47.53,PE,Enabled,Default Pipe,1,14.3
111,PI000110,47.77,PE,Enabled,Default Pipe,1,168.5
112,PI000111,48.86,PE,Enabled,Default Pipe,1,70.7
113,PI000112,49.01,PE,Enabled,Default Pipe,1,16.6
114,PI000113,48.39,PE,Enabled,Default Pipe,1,6.0
115,PI000114,48.60,PE,Enabled,Default Pipe,1,9.1
116,PI000115,48.60,PE,Enabled,Default Pipe,1,35.5
117,PI000116,48.26,PE,Enabled,Default Pipe,1,40.4
118,PI000117,48.26,PE,Enabled,Default Pipe,1,68.3
119,PI000118,48.85,PE,Enabled,Default Pipe,1,110.5
120,PI000119,48.96,PE,Enabled,Default Pipe,1,10.4

