SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,29.99,PE,Enabled,Default Pipe,1,26.4
2,PI000001,26.95,PE,Enabled,Default Pipe,1,88.7
3,PI000002,26.12,PE,Enabled,Default Pipe,1,42.7
4,PI000003,29.65,PE,Enabled,Default Pipe,1,3.4
5,PI000004,29.90,PE,Enabled,Default Pipe,1,82.1
6,PI000005,29.91,PE,Enabled,Default Pipe,1,181.1
7,PI000006,29.56,PE,Enabled,Default Pipe,1,168.0
8,PI000007,29.83,PE,Enabled,Default Pipe,1,3.2
9,PI000008,29.74,PE,Enabled,Default Pipe,1,60.9
10,PI000009,29.57,PE,Enabled,Default Pipe,1,21.3
11,PI000010,29.02,PE,Enabled,Default Pipe,1,46.2
12,PI000011,29.60,PE,Enabled,Default Pipe,1,212.3
13,PI000012,29.28,PE,Enabled,Default Pipe,1,64.1
14,PI000013,24.22,PE,Enabled,Default Pipe,1,7.9
15,PI000014,29.12,PE,Enabled,Default Pipe,1,9.8
16,PI000015,29.12,PE,Enabled,Default Pipe,1,17.7
17,PI000016,29.31,PE,Enabled,Default Pipe,1,117.9
18,PI000017,29.10,PE,Enabled,Default Pipe,1,178.3
19,PI000018,28.47,PE,Enabled,Default Pipe,1,166.7
20,PI000019,28.99,PE,Enabled,Default Pipe,1,37.8
21,PI000020,28.32,PE,Enabled,Default Pipe,1,99.8
22,PI000021,28.98,PE,Enabled,Default Pipe,1,3.9
23,PI000022,23.58,PE,Enabled,Default Pipe,1,70.9
24,PI000023,28.37,PE,Enabled,Default Pipe,1,65.5
25,PI000024,28.32,PE,Enabled,Default Pipe,1,82.7
26,PI000025,28.81,PE,Enabled,Default Pipe,1,85.0
27,PI000026,26.50,PE,Enabled,Default Pipe,1,274.4
28,PI000027,28.14,PE,Enabled,Default Pipe,1,121.6
29,PI000028,26.13,PE,Enabled,Default Pipe,1,269.5
30,PI000029,26.94,PE,Enabled,Default Pipe,1,14.3
31,PI000030,28.89,PE,Enabled,Default Pipe,1,58.7
32,PI000031,28.56,PE,Enabled,Default Pipe,1,66.8
33,PI000032,27.76,PE,Enabled,Default Pipe,1,76.6
34,PI000033,27.58,PE,Enabled,Default Pipe,1,110.2
35,PI000034,26.84,PE,Enabled,Default Pipe,1,29.3
36,PI000035,27.29,PE,Enabled,Default Pipe,1,165.8
37,PI000036,26.94,PE,Enabled,Default Pipe,1,18.7
38,PI000037,26.94,PE,Enabled,Default Pipe,1,71.3
39,PI000038,28.80,PE,Enabled,Default Pipe,1,151.3
40,PI000039,28.52,PE,Enabled,Default Pipe,1,7.1
41,PI000040,28.24,PE,Enabled,Default Pipe,1,47.5
42,PI000041,28.41,PE,Enabled,Default Pipe,1,62.7
43,PI000042,28.50,PE,Enabled,Default Pipe,1,392.1
44,PI000043,27.83,PE,Enabled,Default Pipe,1,78.2
45,PI000044,25.65,PE,Enabled,Default Pipe,1,1.4
46,PI000045,25.59,PE,Enabled,Default Pipe,1,203.0
47,PI000046,25.65,PE,Enabled,Default Pipe,1,41.5
48,PI000047,28.88,PE,Enabled,Default Pipe,1,54.3
49,PI000048,28.86,PE,Enabled,Default Pipe,1,47.3
50,PI000049,29.07,PE,Enabled,Default Pipe,1,96.8
51,PI000050,29.25,PE,Enabled,Default Pipe,1,7.8
52,PI000051,29.25,PE,Enabled,Default Pipe,1,28.5
53,PI000052,29.37,PE,Enabled,Default Pipe,1,68.7
54,PI000053,25.82,PE,Enabled,Default Pipe,1,136.9
55,PI000054,25.96,PE,Enabled,Default Pipe,1,50.4
56,PI000055,26.31,PE,Enabled,Default Pipe,1,19.9
57,PI000056,25.66,PE,Enabled,Default Pipe,1,46.3

Model State: Solved

Generated on 12/03/2015 13:35:14

SynerGEE Gas 4.7.1: ASP
