SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,52.62,PE,Enabled,Default Pipe,1,35.4
2,PI000001,53.65,PE,Enabled,Default Pipe,1,8.5
3,PI000002,53.54,PE,Enabled,Default Pipe,1,26.5
4,PI000003,54.96,PE,Enabled,Default Pipe,2,56.1
5,PI000004,40.35,PE,Enabled,Default Pipe,1,32.3
6,PI000005,53.48,PE,Enabled,Default Pipe,1,169.0
7,PI000006,40.90,PE,Enabled,Default Pipe,1,4.1
8,PI000007,42.64,PE,Enabled,Default Pipe,1,99.2
9,PI000008,54.57,PE,Enabled,Default Pipe,2,11.9
10,PI000009,53.97,PE,Enabled,Default Pipe,2,18.9
11,PI000010,53.72,PE,Enabled,Default Pipe,2,40.3
12,PI000011,52.27,PE,Enabled,Default Pipe,1,93.4
13,PI000012,53.39,PE,Enabled,Default Pipe,1,41.7
14,PI000013,40.88,PE,Enabled,Default Pipe,1,349.6
15,PI000014,40.48,PE,Enabled,Default Pipe,1,45.5
16,PI000015,40.91,PE,Enabled,Default Pipe,1,2.9
17,PI000016,40.86,PE,Enabled,Default Pipe,1,117.7
18,PI000017,53.14,PE,Enabled,Default Pipe,1,122.7
19,PI000018,53.97,PE,Enabled,Default Pipe,2,38.3
20,PI000019,52.36,PE,Enabled,Default Pipe,1,23.6
21,PI000020,40.28,PE,Enabled,Default Pipe,1,44.9
22,PI000021,54.34,PE,Enabled,Default Pipe,1,3.6
23,PI000022,49.03,PE,Enabled,Default Pipe,1,58.1
24,PI184653,53.44,PE,Enabled,Default Pipe,1,30.6
25,PI007423,36.55,PE,Enabled,Default Pipe,3,169.2
26,PI007424,36.84,PE,Enabled,Default Pipe,3,48.8
27,PI007425,36.88,PE,Enabled,Default Pipe,3,2.0
28,PI007426,36.85,PE,Enabled,Default Pipe,3,11.5
29,PI007427,36.94,PE,Enabled,Default Pipe,3,22.7
30,PI007428,36.76,PE,Enabled,Default Pipe,3,6.8
31,PI007429,36.05,PE,Enabled,Default Pipe,3,64.9
32,PI007430,35.36,PE,Enabled,Default Pipe,3,4.1
33,PI007431,34.87,PE,Enabled,Default Pipe,3,3.1
34,PI007433,34.47,PE,Enabled,Default Pipe,3,29.9
35,PI007434,34.11,PE,Enabled,Default Pipe,3,81.8
36,PI007435,34.38,PE,Enabled,Default Pipe,3,4.7
37,PI007436,34.75,PE,Enabled,Default Pipe,3,31.2
38,PI007437,34.82,PE,Enabled,Default Pipe,3,8.1
39,PI007438,34.83,PE,Enabled,Default Pipe,3,2.0
40,PI007439,34.77,PE,Enabled,Default Pipe,3,49.9
41,PI007440,35.11,PE,Enabled,Default Pipe,3,29.2
42,PI007441,35.24,PE,Enabled,Default Pipe,3,110.2
43,PI000023,34.82,PE,Enabled,Default Pipe,3,1.9
44,PI000024,40.75,PE,Enabled,Default Pipe,1,49.7
45,PI000025,40.61,PE,Enabled,Default Pipe,1,34.6
46,PI000027,53.61,PE,Enabled,Default Pipe,1,11.6
47,PI000030,34.62,PE,Enabled,Default Pipe,3,4.9

Model State: Solved

Generated on 12/03/2015 13:37:02

SynerGEE Gas 4.7.1: ASP
