"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-2395.489996","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-544.999996","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-90.000000","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-401.639999","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-58.660000","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-126.009998","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-62.899999","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"IM","Flow Categories","","","1.000000","Volumetric","0"
"CM","Flow Categories","","","1.000000","Volumetric","0"
"DM","Flow Categories","","","1.000000","Volumetric","0"
"PL-AF","Flow Categories","-27.270000","0.000000","1.000000","Volumetric","-1.000000"
"PL-DC","Flow Categories","-13.850000","0.000000","1.000000","Volumetric","0"
