"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-384.179997","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-8.210000","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-0.829999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-24.999999","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-29.290001","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"DM","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0"
