"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"60206300000201","Nodes","201","21.000000","23.991837","DDS demands","Known Flow","313061.399240","717826.380959","","0.000000","","","","","","","-21.829999","","","-19.520775","-21.829999","","","","","","","","","D1 PROFILE","",""
"60206300001003","Nodes","1003","21.000000","23.976486","Default Known Flow Node","Known Flow","313086.305981","717888.950715","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002401","Nodes","-96","21.000000","23.996799","Default Known Flow Node","Known Flow","313136.944221","717976.992641","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000038","Nodes","38","21.000000","24.359126","DDS demands","Known Flow","312872.246291","717656.997491","","0.000000","","","","","","","-13.020000","","","-11.642717","-13.020000","","","","","","","","","D1 PROFILE","",""
"60206300001002","Nodes","1002","21.000000","24.251157","Default Known Flow Node","Known Flow","312938.339584","717681.443865","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000186","Nodes","186","21.000000","28.157354","DDS demands","Known Flow","313067.322827","717824.089218","","0.000000","","","","","","","-10.640000","","","-9.514479","-10.640000","","","","","","","","","D1 PROFILE","",""
"60206300001001","Nodes","1001","21.000000","29.159633","Default Known Flow Node","Known Flow","313092.390675","717886.879264","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000137","Nodes","137","21.000000","33.477846","Default Known Flow Node","Known Flow","313241.452392","718050.446598","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000067","Nodes","67","21.000000","23.528199","DDS demands","Known Flow","313231.792161","717398.105620","","0.000000","","","","","","","-4.750000","","","-4.247535","-4.750000","","","","","","","","","D1 PROFILE","",""
"60206300000068","Nodes","68","21.000000","22.762059","DDS demands","Known Flow","313243.712246","717279.425753","","0.000000","","","","","","","-20.189999","","","-18.054258","-20.189999","","","","","","","","","D1 PROFILE","",""
"60206300000182","Nodes","182","21.000000","24.820886","DDS demands","Known Flow","312913.025302","717663.832492","","0.000000","","","","","","","-10.069999","","","-9.004774","-10.069999","","","","","","","","","D1 PROFILE","",""
"60206300000145","Nodes","145","21.000000","22.834374","DDS demands","Known Flow","312146.509712","717322.060782","","0.000000","","","","","","","-1.580000","","","-1.412864","-1.580000","","","","","","","","","D1 PROFILE","",""
"60206300000142","Nodes","142","21.000000","23.342948","DDS demands","Known Flow","312406.420164","717461.484437","","0.000000","","","","","","","-3.089999","","","-2.763133","-3.089999","","","","","","","","","D1 PROFILE","",""
"60206300000176","Nodes","P07115370, Kintillo Road, -70.25","24.000000","24.026553","CSEP DDS Matched","Known Flow","313051.047874","717416.700116","","0.000000","","","","","","","","-70.249998","","-62.818807","-70.249998","","","","","","","","","","DC PROFILE",""
"60206300000041","Nodes","41","21.000000","24.007834","DDS demands","Known Flow","312948.155312","717421.996427","","0.000000","","","","","","","-14.290000","","","-12.778373","-14.290000","","","","","","","","","D1 PROFILE","",""
"60206300000154","Nodes","154","21.000000","23.970849","Default Known Flow Node","Known Flow","312946.746300","717380.547763","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000175","Nodes","175","21.000000","23.935610","Default Known Flow Node","Known Flow","312937.328309","717333.639403","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002347","Nodes","-1462497","21.000000","23.935610","Default Known Flow Node","Known Flow","312935.365308","717327.336401","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000081","Nodes","81","21.000000","23.954021","DDS demands","Known Flow","312968.729723","717319.235783","","0.000000","","","","","","","-16.520000","","","-14.772480","-16.520000","","","","","","","","","D1 PROFILE","",""
"60206300000082","Nodes","82","21.000000","23.944883","DDS demands","Known Flow","312906.083300","717191.298364","","0.000000","","","","","","","-14.630000","","","-13.082408","-14.630000","","","","","","","","","D1 PROFILE","",""
"60206300000085","Nodes","85","21.000000","23.474022","DDS demands","Known Flow","312997.972325","717147.968352","","0.000000","","","","","","","-9.469999","","","-8.468243","-9.469999","","","","","","","","","D1 PROFILE","",""
"60206300002357","Nodes","-1462533","21.000000","23.517732","Default Known Flow Node","Known Flow","312984.301322","717118.067344","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000084","Nodes","84","21.000000","23.462246","DDS demands","Known Flow","312948.668768","717151.254038","","0.000000","","","","","","","-15.940000","","","-14.253833","-15.940000","","","","","","","","","D1 PROFILE","",""
"60206300000086","Nodes","86","21.000000","23.419911","DDS demands","Known Flow","312941.703310","717134.654348","","0.000000","","","","","","","-5.659999","","","-5.061273","-5.659999","","","","","","","","","D1 PROFILE","",""
"60206300000083","Nodes","83","21.000000","23.936565","DDS demands","Known Flow","312870.086290","717150.703353","","0.000000","","","","","","","-1.150000","","","-1.028350","-1.150000","","","","","","","","","D1 PROFILE","",""
"60206300002374","Nodes","-4","21.000000","23.489449","DDS demands","Known Flow","312957.481314","717169.644358","","0.000000","","","","","","","-12.050000","","","-10.775325","-12.050000","","","","","","","","","D1 PROFILE","",""
