"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60600700000425","Nodes","425","21.000000","35.391072","DDS demands","Known Flow","319774.353169","863155.762082","","0.000000","","","","","","","-16.600000","","","","","","-14.844017","-16.600000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000422","Nodes","422","21.000000","35.002058","DDS demands","Known Flow","319877.853197","863091.512065","","0.000000","","","","","","","-12.930000","","","","","","-11.562238","-12.930000","","","","","","","","","D1 PROFILE","","","","",""
"60600700001511","Nodes","1511","21.000000","23.448906","DDS demands","Known Flow","321713.353697","862869.512004","","0.000000","","","","-5.709999","","","-1.159999","","","","","","-6.143276","-6.869999","","","","","","C4 PROFILE","","","D1 PROFILE","","","","",""
"60600700000207","Nodes","207","21.000000","23.430922","DDS demands","Known Flow","321709.603696","862885.387008","","0.000000","-3.450000","","","","","","-5.670000","","","","","","-8.155267","-9.120000","","","C1 PROFILE","","","","","","D1 PROFILE","","","","",""
"60600701462709","Nodes","-1462709","21.000000","23.430922","Default Known Flow Node","Known Flow","321708.978696","862887.387009","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700001428","Nodes","1428","21.000000","40.129535","DDS demands","Known Flow","323002.590048","861897.622740","","0.000000","","","","","","","-19.450000","","","","","","-17.392538","-19.450000","","","","","","","","","D1 PROFILE","","","","",""
"60600700001470","Nodes","P00081171, Manitoba Avenue, 294.83","26.000000","35.012990","CSEP DDS Matched","Known Flow","323052.037061","861824.906720","","0.000000","","","","","","-154.149999","","-294.829994","","","","","-263.642260","-294.829994","","","","","","","","CT PROFILE","","DC PROFILE","","","",""
"60600700000870","Nodes","870","21.000000","20.951014","DDS demands","Known Flow","321186.728553","863013.887043","","0.000000","","","","","","","-10.520000","","","","","","-9.407172","-10.520000","","","","","","","","","D1 PROFILE","","","","",""
"60600700001099","Nodes","Logger 10146, 21 Bibby Place","21.000000","20.887262","Val Log Cath","Known Flow","321168.002154","862989.582697","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700000871","Nodes","871","21.000000","20.839703","DDS demands","Known Flow","321182.478552","862943.137024","","0.000000","","","","","","","-5.320000","","","","","","-4.757239","-5.320000","","","","","","","","","D1 PROFILE","","","","",""
"60600700007020","Nodes","-1045","21.000000","32.690861","Default Known Flow Node","Known Flow","322317.713861","863322.026127","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700000122","Nodes","122","21.000000","32.168759","DDS demands","Known Flow","322310.714357","863364.522611","","0.000000","","","","","","","-22.330000","","","","","","-19.967885","-22.330000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000573","Nodes","573","21.000000","32.356364","DDS demands","Known Flow","322379.308236","863422.383175","","0.000000","","","","-4.349999","","","-10.039999","","","","","","-12.867795","-14.389998","","","","","","C4 PROFILE","","","D1 PROFILE","","","","",""
"60600700000120","Nodes","120","21.000000","33.683733","DDS demands","Known Flow","322401.899884","863328.586129","","0.000000","","","","","","","-11.180000","","","","","","-9.997356","-11.180000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000123","Nodes","123","21.000000","33.066741","DDS demands","Known Flow","322359.100255","863221.431899","","0.000000","","","","","","","-7.150000","","","","","","-6.393657","-7.150000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000121","Nodes","121","21.000000","32.826681","DDS demands","Known Flow","322330.034541","863250.707948","","0.000000","","","","","","","-19.680000","","","","","","-17.598209","-19.680000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000773","Nodes","773","21.000000","27.183912","DDS demands","Known Flow","321532.853648","863449.137162","","0.000000","","","","","","","-4.360000","","","","","","-3.898790","-4.360000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000092","Nodes","92","21.000000","26.959473","DDS demands","Known Flow","321536.416467","863441.836876","","0.000000","-2.619999","","","","","","","","","","","","-2.342850","-2.619999","","","C1 PROFILE","","","","","","","","","","",""
"60600700000776","Nodes","776","21.000000","25.091468","DDS demands","Known Flow","321564.603656","863381.012143","","0.000000","","","","","","","-11.810000","","","","","","-10.560714","-11.810000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000616","Nodes","616","21.000000","38.425339","Default Known Flow Node","Known Flow","320570.728386","862534.886913","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700000994","Nodes","994","21.000000","37.985571","Default Known Flow Node","Known Flow","320546.665899","862529.610441","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700000983","Nodes","P09121817, High Street, 10.34","22.999998","22.661534","CSEP DDS Matched","Known Flow","321297.008584","862701.441958","","0.000000","","","","","","","","-10.339999","","","","","-9.246212","-10.339999","","","","","","","","","","DC PROFILE","","","",""
"60600700000993","Nodes","993","21.000000","36.099497","DDS demands","Known Flow","320544.005452","862613.019266","","0.000000","","","","","","","-18.479999","","","","","","-16.525146","-18.479999","","","","","","","","","D1 PROFILE","","","","",""
"60600700000620","Nodes","620","21.000000","36.069986","DDS demands","Known Flow","320540.228378","862591.386928","","0.000000","","","","","","","-4.480000","","","","","","-4.006096","-4.480000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000992","Nodes","992","21.000000","40.841255","DDS demands","Known Flow","320640.953598","862625.267589","","0.000000","","","","","","","-3.819999","","","","","","-3.415912","-3.819999","","","","","","","","","D1 PROFILE","","","","",""
"60600700000989","Nodes","989","21.000000","40.280653","DDS demands","Known Flow","320636.103404","862595.386930","","0.000000","","","","","","","-9.430000","","","","","","-8.432475","-9.430000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000995","Nodes","995","21.000000","39.445723","DDS demands","Known Flow","320623.889354","862551.631409","","0.000000","","","","","","","-0.479999","","","","","","-0.429224","-0.479999","","","","","","","","","D1 PROFILE","","","","",""
"60600700001026","Nodes","P10123858, Pinefield Crescent, 41.91","22.999998","27.441471","CSEP DDS Matched","Known Flow","323296.530128","862494.082902","","0.000000","","","","","","","","-41.910001","","","","","-37.476672","-41.910001","","","","","","","","","","DC PROFILE","","","",""
"60600700000832","Nodes","832","21.000000","31.712711","DDS demands","Known Flow","322469.143755","862233.135968","","0.000000","","","","","","","-14.389999","","","-5.059999","","","-17.392538","-19.449998","","","","","","","","","D1 PROFILE","","","I2 PROFILE","",""
"60600700000833","Nodes","833","21.000000","31.659414","DDS demands","Known Flow","322491.978909","862197.636821","","0.000000","","","","","","","-4.309999","","","","","","-3.854079","-4.309999","","","","","","","","","D1 PROFILE","","","","",""
"60600700007121","Nodes","P10124866, 115 South Street, 14.03","22.999998","25.779875","CSEP DDS Matched","Known Flow","321145.295288","862600.810856","","0.000000","","","","","","","","-14.029999","","","","","-12.545876","-14.029999","","","","","","","","","","DC PROFILE","","","",""
"60600700001408","Nodes","1408","21.000000","25.576826","DDS demands","Known Flow","320943.324074","862330.633470","","0.000000","","","","","","","-2.150000","","","","","","-1.922568","-2.150000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000169","Nodes","169","21.000000","25.548893","DDS demands","Known Flow","320969.853494","862355.136864","","0.000000","","","","","","","-11.230000","","","","","","-10.042066","-11.230000","","","","","","","","","D1 PROFILE","","","","",""
"60600700001039","Nodes","1039","21.000000","48.370704","Default Known Flow Node","Known Flow","322899.854020","861923.636747","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700000834","Nodes","834","21.000000","48.735496","Default Known Flow Node","Known Flow","322919.845987","861922.510876","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700001427","Nodes","1427","21.000000","49.798139","DDS demands","Known Flow","322936.727597","861860.638870","","0.000000","","","","","","","-7.269999","","","","","","-6.500963","-7.269999","","","","","","","","","D1 PROFILE","","","","",""
"60600700000110","Nodes","110","21.000000","30.285198","DDS demands","Known Flow","322119.603807","863968.012303","","0.000000","","","","","","","-6.730000","","","","","","-6.018086","-6.730000","","","","","","","","","D1 PROFILE","","","","",""
"60600700099003","Nodes","Logger 9876, 33 Lesmurdie Road","21.000000","30.342311","Val Log Cath","Known Flow","322218.445616","863854.373111","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700001056","Nodes","1056","21.000000","30.394291","DDS demands","Known Flow","322280.853851","863791.262255","","0.000000","","","","","","","-0.910000","","","","","","-0.813738","-0.910000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000155","Nodes","155","21.000000","35.672551","DDS demands","Known Flow","320358.391328","862737.720968","","0.000000","","-16.219999","-4.280000","","","","-5.709999","","","","","","-23.437451","-26.210000","","","","C2 PROFILE","C3 PROFILE","","","","D1 PROFILE","","","","",""
"60600700002000","Nodes","","21.000000","36.324181","Default Known Flow Node","Known Flow","320418.970346","862711.645760","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700001133","Nodes","1133","21.000000","36.703209","Default Known Flow Node","Known Flow","320454.097354","862698.269958","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700000738","Nodes","","21.000000","23.491436","DDS demands","Known Flow","321321.228590","862764.261976","","0.000000","-51.409998","","-2.650000","-0.079999","","","-15.689999","","","-1.940000","","","-64.178020","-71.769999","","","C1 PROFILE","","C3 PROFILE","C4 PROFILE","","","D1 PROFILE","","","I2 PROFILE","",""
"60600700006617","Nodes","6617","21.000000","23.132601","Default Known Flow Node","Known Flow","321369.821700","862784.124545","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700000733","Nodes","733","21.000000","22.962024","DDS demands","Known Flow","321443.728623","862812.136989","","0.000000","-19.650000","","","-31.509999","","","-3.469999","","","","","","-48.851124","-54.629998","","","C1 PROFILE","","","C4 PROFILE","","","D1 PROFILE","","","","",""
"60600700001572","Nodes","1572","21.000000","30.078563","Default Known Flow Node","Known Flow","321725.978700","862264.386839","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
