"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60604500000067","Nodes","67","21.000000","45.016058","DDS demands","Known Flow","413122.610570","841919.837304","","0.000000","","","","-3.510000","","","","-3.138704","-3.510000","","","","","","D1 PROFILE","","",""
"60604500000068","Nodes","68","21.000000","45.298695","DDS demands","Known Flow","413189.535589","841912.324302","","0.000000","","","","-4.230000","","","","-3.782541","-4.230000","","","","","","D1 PROFILE","","",""
"60604500000066","Nodes","66","21.000000","45.067432","DDS demands","Known Flow","413115.158568","841940.335309","","0.000000","","","","-3.559999","","","","-3.183415","-3.559999","","","","","","D1 PROFILE","","",""
"60604500000069","Nodes","69","21.000000","45.019033","DDS demands","Known Flow","413141.534575","841972.830318","","0.000000","","","","-7.409999","","","","-6.626154","-7.409999","","","","","","D1 PROFILE","","",""
"60604500000065","Nodes","65","21.000000","45.105330","Default Known Flow Node","Known Flow","413098.397564","841949.409312","","0.000000","","","","","-5.619999","","","0.000000","0.000000","","","","","","","","",""
"60604500000003","Nodes","3","21.000000","51.762760","Default Known Flow Node","Known Flow","412999.987537","842410.653437","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000002","Nodes","2","21.000000","51.901907","Default Known Flow Node","Known Flow","412987.781534","842401.873435","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000063","Nodes","63","21.000000","51.127117","DDS demands","Known Flow","413017.705542","842385.203430","","0.000000","","","","-3.769999","","","","-3.371201","-3.769999","","","","","","D1 PROFILE","","",""
"60604500000020","Nodes","20","21.000000","45.897521","DDS demands","Known Flow","413284.245614","842156.830368","","0.000000","","","","-6.390000","","","","-5.714052","-6.390000","","","","","","D1 PROFILE","","",""
"60604500000018","Nodes","18","21.000000","45.851740","DDS demands","Known Flow","413275.656145","842228.919863","","0.000000","","","","-7.010000","","","","-6.268468","-7.010000","","","","","","D1 PROFILE","","",""
"60604500000014","Nodes","14","21.000000","46.344234","DDS demands","Known Flow","413295.769617","842307.164409","","0.000000","","","","-11.360000","","","","-10.158315","-11.360000","","","","","","D1 PROFILE","","",""
"60604500000012","Nodes","12","21.000000","49.158489","DDS demands","Known Flow","413190.229589","842384.882430","","0.000000","","","","-5.449999","","","","-4.873487","-5.449999","","","","","","D1 PROFILE","","",""
"60604500000218","Nodes","-29","21.000000","49.173263","Default Known Flow Node","Known Flow","413188.280588","842387.238431","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000207","Nodes","-1462477","21.000000","47.858817","Default Known Flow Node","Known Flow","413227.446599","842322.558413","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000058","Nodes","58","21.000000","47.858817","DDS demands","Known Flow","413225.022598","842323.910414","","0.000000","","","","-4.179999","","","","-3.737830","-4.179999","","","","","","D1 PROFILE","","",""
"60604500000050","Nodes","50","21.000000","45.248352","DDS demands","Known Flow","413114.439568","842042.456337","","0.000000","","","","-15.630000","","","","-13.976626","-15.630000","","","","","","D1 PROFILE","","",""
"60604500000206","Nodes","-1462476","21.000000","45.248352","Default Known Flow Node","Known Flow","413112.126275","842040.185302","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000019","Nodes","19","21.000000","45.842255","DDS demands","Known Flow","413238.930602","842219.868385","","0.000000","","","","-18.340000","","","","-16.399957","-18.340000","","","","","","D1 PROFILE","","",""
"60604500000015","Nodes","15","21.000000","46.255244","Default Known Flow Node","Known Flow","413324.956625","842298.785407","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000049","Nodes","49","21.000000","49.140024","DDS demands","Known Flow","413096.107992","842283.687378","","0.000000","","","","-8.830000","","","","-7.895944","-8.830000","","","","","","D1 PROFILE","","",""
"60604500000215","Nodes","-17","21.000000","49.140024","Default Known Flow Node","Known Flow","413138.762575","842313.264411","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000016","Nodes","16","21.000000","45.813274","DDS demands","Known Flow","413351.023632","842292.022405","","0.000000","","","","-1.500000","","","","-1.341326","-1.500000","","","","","","D1 PROFILE","","",""
"60604500000017","Nodes","17","21.000000","45.638682","DDS demands","Known Flow","413330.224998","842242.971560","","0.000000","","","","-3.640000","","","","-3.254953","-3.640000","","","","","","D1 PROFILE","","",""
"60604500000022","Nodes","22","21.000000","45.218357","DDS demands","Known Flow","413381.749480","842307.450336","","0.000000","","","","-5.840000","","","","-5.222232","-5.840000","","","","","","D1 PROFILE","","",""
"60604500000027","Nodes","27","21.000000","45.051318","DDS demands","Known Flow","413399.258646","842287.269404","","0.000000","","","","-7.880000","","","","-7.046437","-7.880000","","","","","","D1 PROFILE","","",""
"60604500000061","Nodes","61","21.000000","45.036688","DDS demands","Known Flow","413365.743722","842237.557288","","0.000000","","","","-3.700000","","","","-3.308606","-3.700000","","","","","","D1 PROFILE","","",""
"60604500000023","Nodes","23","21.000000","45.123211","DDS demands","Known Flow","413404.425158","842330.156315","","0.000000","","","","-6.229999","","","","-5.570977","-6.229999","","","","","","D1 PROFILE","","",""
"60604500000026","Nodes","26","21.000000","44.926805","DDS demands","Known Flow","413445.283658","842320.142412","","0.000000","","","","-3.869999","","","","-3.460623","-3.869999","","","","","","D1 PROFILE","","",""
"60604500000025","Nodes","25","21.000000","44.583034","DDS demands","Known Flow","413439.015656","842379.815429","","0.000000","","","-2.359999","-12.470000","","","","-13.261251","-14.829999","","","","","C4 PROFILE","D1 PROFILE","","",""
"60604500000030","Nodes","30","21.000000","46.550979","DDS demands","Known Flow","413303.000619","842345.872419","","0.000000","","","","-6.130000","","","","-5.481555","-6.130000","","","","","","D1 PROFILE","","",""
"60604500000013","Nodes","13","21.000000","46.943709","Default Known Flow Node","Known Flow","413239.270602","842329.718415","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000217","Nodes","-24","21.000000","45.716193","DDS demands","Known Flow","413344.458631","842355.094422","","0.000000","","","","-2.329999","","","","-2.083527","-2.329999","","","","","","D1 PROFILE","","",""
"60604500000034","Nodes","34","21.000000","44.454374","DDS demands","Known Flow","413427.224594","842430.355461","","0.000000","","","","-20.750000","","","","-18.555022","-20.750000","","","","","","D1 PROFILE","","",""
"60604500000035","Nodes","35","21.000000","43.937223","DDS demands","Known Flow","413367.149360","842413.245810","","0.000000","","","","-6.159999","","","","-5.508382","-6.159999","","","","","","D1 PROFILE","","",""
