"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"C4","Flow Categories","-18.150000","0.000000","1.000000","Volumetric","-1.000000"
"D1","Flow Categories","-469.789999","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-24.999999","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-5.110000","0.000000","1.000000","Volumetric","-1.000000"
"DL","Flow Categories","-13.009999","0.000000","1.000000","Volumetric","0"
"CM","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0"
"PL-90","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0"
"PL-PL","Flow Categories","","","1.000000","Volumetric","0"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"PL-AF","Flow Categories","-423.230003","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-42.203001","0.000000","1.000000","Volumetric","-1.000000"
"CC","Flow Categories","-44.400000","0.000000","1.000000","Volumetric","-1.000000"
