"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)"
"60606300000002","Nodes","2,","21.000000","67.505688","DDS demands","Known Flow","405312.309445","862980.419034","","0.000000","","","-11.170000","","","-9.988414","-11.170000","","","","","D1 PROFILE","",""
"60606300000004","Nodes","4,","21.000000","65.025309","DDS demands","Known Flow","405130.994483","862859.409431","","0.000000","","","-8.050000","","","-7.198454","-8.050000","","","","","D1 PROFILE","",""
"60606300000007","Nodes","7,","21.000000","60.235727","DDS demands","Known Flow","405509.111499","862977.334033","","0.000000","","","-14.519999","","","-12.984044","-14.519999","","","","","D1 PROFILE","",""
"60606300000001","Nodes","1, ST. COMBS D.G,","21.000000","67.999998","Default Known Pressure Node","Known Pressure","405331.698450","863021.343045","","999998.967025","","","","","","307.923927","344.349992","","","","","","",""
"60606300000022","Nodes","22,","21.000000","48.342586","DDS demands","Known Flow","405434.080483","863280.818217","","0.000000","","","-3.329999","","","-2.977745","-3.329999","","","","","D1 PROFILE","",""
"60606300000039","Nodes","39,","21.000000","55.106372","Default Known Flow Node","Known Flow","405459.489504","863325.200950","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60606300000032","Nodes","32,","21.000000","54.883932","DDS demands","Known Flow","405452.903054","863346.974429","","0.000000","","","-6.540000","","","-5.848185","-6.540000","","","","","D1 PROFILE","",""
"60606300000033","Nodes","33,","21.000000","54.811907","DDS demands","Known Flow","405491.086803","863343.877318","","0.000000","","","-3.829999","","","-3.424854","-3.829999","","","","","D1 PROFILE","",""
"60606300000040","Nodes","40,","21.000000","50.521264","DDS demands","Known Flow","405453.981368","863243.192029","","0.000000","","","-1.429999","","","-1.278731","-1.429999","","","","","D1 PROFILE","",""
"60606300000041","Nodes","41,","21.000000","50.358265","DDS demands","Known Flow","405429.226477","863239.213105","","0.000000","","","-7.080000","","","-6.331062","-7.080000","","","","","D1 PROFILE","",""
"60606300000021","Nodes","21,","21.000000","53.697184","DDS demands","Known Flow","405437.787699","863206.312114","","0.000000","","","-1.830000","","","-1.636418","-1.830000","","","","","D1 PROFILE","",""
"60606300000038","Nodes","38,","21.000000","59.686993","DDS demands","Known Flow","405476.048779","862968.717171","","0.000000","","","-17.930000","","","-16.033327","-17.930000","","","","","D1 PROFILE","",""
"60606300000027","Nodes","27,","21.000000","56.615280","DDS demands","Known Flow","405374.745462","863226.696101","","0.000000","","","-13.060000","","","-11.678486","-13.060000","","","","","D1 PROFILE","",""
"60606300000031","Nodes","31,","21.000000","56.453913","DDS demands","Known Flow","405303.232625","863210.951114","","0.000000","","","-6.979999","","","-6.241640","-6.979999","","","","","D1 PROFILE","",""
"60606300000020","Nodes","20,","21.000000","60.429663","DDS demands","Known Flow","405456.191484","863121.535073","","0.000000","","","-5.219999","","","-4.667817","-5.219999","","","","","D1 PROFILE","",""
"60606300000030","Nodes","30,","21.000000","59.954865","DDS demands","Known Flow","405357.733480","862924.814998","","0.000000","","","-15.160000","","","-13.556343","-15.160000","","","","","D1 PROFILE","",""
"60606300000042","Nodes","42,","21.000000","58.573519","Default Known Flow Node","Known Flow","405349.725455","863139.904078","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60606300000029","Nodes","29,","21.000000","58.521565","DDS demands","Known Flow","405281.866437","863141.834078","","0.000000","","","-4.199999","","","-3.755715","-4.199999","","","","","D1 PROFILE","",""
"60606300000026","Nodes","26,","21.000000","58.575192","DDS demands","Known Flow","405384.561465","863150.083080","","0.000000","","","-9.980000","","","-8.924294","-9.980000","","","","","D1 PROFILE","",""
