"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60606600000006","Nodes","6","21.000000","66.116805","DDS demands","Known Flow","271171.250000","845478.000000","","0.000000","","","","-6.350000","","","","","","-5.678283","-6.350000","","","","","","D1 PROFILE","","","","",""
"606066-26","Nodes","-26","21.000000","66.111179","Default Known Flow Node","Known Flow","271169.250000","845475.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000005","Nodes","5","21.000000","68.704798","DDS demands","Known Flow","271223.750000","845594.750000","","0.000000","","","","-3.530000","","","","","","-3.156589","-3.530000","","","","","","D1 PROFILE","","","","",""
"60606600001009","Nodes","1009","21.000000","68.373713","Default Known Flow Node","Known Flow","271298.281250","845562.562500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000033","Nodes","33","21.000000","67.992819","DDS demands","Known Flow","271340.062500","845616.687500","","0.000000","","","","-10.569999","","","","","","-9.451883","-10.569999","","","","","","D1 PROFILE","","","","",""
"60606600000031","Nodes","31","21.000000","50.769746","DDS demands","Known Flow","271269.531250","845132.187500","","0.000000","","","","-15.319999","","","","","","-13.699417","-15.319999","","","","","","D1 PROFILE","","","","",""
"60606600001008","Nodes","1008, P08120319, TOWER ROAD DEV BREMNER GARDENS, -10.89","22.999998","63.098533","CSEP Unmatched","Known Flow","271378.958078","845701.968677","","0.000000","","","","","","","-10.889999","","","-9.738032","-10.889999","","","","","","","","","PL-AF PROFILE","",""
"60606600000030","Nodes","30","21.000000","53.131786","DDS demands","Known Flow","271427.875000","845233.625000","","0.000000","","","","-19.110000","","","","","","-17.088505","-19.110000","","","","","","D1 PROFILE","","","","",""
"60606600001006","Nodes","1006","21.000000","67.713999","Default Known Flow Node","Known Flow","271150.937500","845769.000000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600001007","Nodes","1007","21.000000","67.713999","Default Known Flow Node","Known Flow","271150.281250","845752.562500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"606066-44","Nodes","-44","21.000000","67.713999","Default Known Flow Node","Known Flow","271146.250000","845763.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600001004","Nodes","1004","21.000000","67.673396","Default Known Flow Node","Known Flow","271171.156250","845783.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600001005","Nodes","1005","21.000000","67.673396","Default Known Flow Node","Known Flow","271171.281250","845798.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600001003","Nodes","1003","21.000000","67.673396","Default Known Flow Node","Known Flow","271228.281250","845827.062500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000083","Nodes","83","21.000000","73.764808","Default Known Flow Node","Known Flow","271269.937500","845891.437500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600001001","Nodes","1001, ""327540"", ""KEPPOCH ROAD"", 706.80","31.000000","74.362540","CSEP DDS Matched","Known Flow","271296.500000","845952.875000","","0.000000","","","","","-437.999998","","","","","-391.667452","-437.999998","","","","","","","DC PROFILE","","","",""
"606066-52","Nodes","-52","21.000000","74.413474","Default Known Flow Node","Known Flow","271296.875000","845955.875000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000004","Nodes","4","21.000000","72.185268","DDS demands","Known Flow","271249.500000","845746.250000","","0.000000","","","","-6.900000","","","","","","-6.170103","-6.900000","","","","","","D1 PROFILE","","","","",""
"60606600001002","Nodes","1002, ""340851"", ""SMITHTON VILLAS"", 11.16","22.999998","68.202260","CSEP Unmatched","Known Flow","271284.125000","845728.000000","","0.000000","","","","","","","-11.199999","","","-10.015240","-11.199999","","","","","","","","","PL-AF PROFILE","",""
"60606600000043","Nodes","43","21.000000","63.729187","DDS demands","Known Flow","271340.468750","845760.875000","","0.000000","","","","-9.729999","","","","","","-8.700739","-9.729999","","","","","","D1 PROFILE","","","","",""
"60606600000010","Nodes","10","21.000000","65.718906","DDS demands","Known Flow","271204.625000","845442.875000","","0.000000","","","","-2.030000","","","","","","-1.815262","-2.030000","","","","","","D1 PROFILE","","","","",""
"60606600000007","Nodes","7","21.000000","64.918702","Default Known Flow Node","Known Flow","271123.500000","845426.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000008","Nodes","8","21.000000","62.722304","DDS demands","Known Flow","271091.375000","845394.750000","","0.000000","","","","-1.320000","","","","","","-1.180367","-1.320000","","","","","","D1 PROFILE","","","","",""
"60606600000021","Nodes","21","21.000000","55.709044","Default Known Flow Node","Known Flow","271139.000000","845238.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000022","Nodes","22","21.000000","55.484352","Default Known Flow Node","Known Flow","271148.500000","845229.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000024","Nodes","24","21.000000","55.484352","Default Known Flow Node","Known Flow","271178.625000","845259.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000001","Nodes","1, ""SMITHTON DG""","21.000000","74.999996","Default Known Pressure Node","Known Pressure","271311.875000","845982.500000","","999998.967025","","","","","","","","","","951.519292","1064.079986","","","","","","","","","","",""
"60606600000002","Nodes","2","21.000000","74.938031","Default Known Flow Node","Known Flow","271308.875000","845984.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000003","Nodes","3","21.000000","73.127319","DDS demands","Known Flow","271254.375000","845780.250000","","0.000000","","","","-11.010000","","","","","","-9.845339","-11.010000","","","","","","D1 PROFILE","","","","",""
"60606600000009","Nodes","9","21.000000","62.721769","DDS demands","Known Flow","271008.250000","845299.000000","","0.000000","","","","-6.639999","","","","","","-5.937606","-6.639999","","","","","","D1 PROFILE","","","","",""
"60606600000064","Nodes","64","21.000000","67.754606","DDS demands","Known Flow","271120.500000","845713.000000","","0.000000","","","","-34.569998","","-3.450000","","","","-33.998163","-38.019997","","","","","","D1 PROFILE","","I2 PROFILE","","",""
"606066-41","Nodes","-41","21.000000","67.713999","Default Known Flow Node","Known Flow","271130.875000","845733.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"606066-4904540","Nodes","-4904540","21.000000","73.724106","Default Known Flow Node","Known Flow","271292.500000","845902.000000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"606066-49","Nodes","-49","21.000000","73.722980","Default Known Flow Node","Known Flow","271292.750000","845902.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000084","Nodes","84","21.000000","73.588177","DDS demands","Known Flow","271329.875000","845915.125000","","0.000000","-7.690000","","","","","","","","","-6.876535","-7.690000","","","C1 PROFILE","","","","","","","",""
"60606600001000","Nodes","1000","21.000000","55.750679","Default Known Flow Node","Known Flow","271114.375000","845203.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"606066-40","Nodes","-40","21.000000","67.795221","Default Known Flow Node","Known Flow","271213.250000","845719.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"606066-50","Nodes","-50","21.000000","73.722980","Default Known Flow Node","Known Flow","271292.500000","845903.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"606066-51","Nodes","-51","21.000000","73.722980","Default Known Flow Node","Known Flow","271312.000000","845927.500000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000036","Nodes","36","21.000000","57.434458","Default Known Flow Node","Known Flow","271506.625000","845461.812500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000037","Nodes","37","21.000000","57.135345","DDS demands","Known Flow","271570.656250","845518.312500","","0.000000","","","","-0.289999","","","","","","-0.259323","-0.289999","","","","","","D1 PROFILE","","","","",""
"60606600000035","Nodes","35","21.000000","57.031586","DDS demands","Known Flow","271406.250000","845534.375000","","0.000000","","","","-3.119999","","","","","","-2.789959","-3.119999","","","","","","D1 PROFILE","","","","",""
"60606600000034","Nodes","34","21.000000","57.486514","DDS demands","Known Flow","271481.875000","845436.875000","","0.000000","","-15.999999","","","","","","","","-14.307486","-15.999999","","","","C2 PROFILE","","","","","","",""
"60606600000061","Nodes","61","21.000000","69.693941","DDS demands","Known Flow","271233.250000","845643.000000","","0.000000","","","-3.839999","-0.990000","","","","","","-4.319072","-4.829999","","","","","C3 PROFILE","D1 PROFILE","","","","",""
"606066-32","Nodes","-32","21.000000","56.758253","Default Known Flow Node","Known Flow","271578.500000","845525.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"606066-1462491","Nodes","-1462491","21.000000","56.841390","Default Known Flow Node","Known Flow","271593.875000","845510.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000027","Nodes","27","21.000000","53.983203","DDS demands","Known Flow","271414.687500","845303.000000","","0.000000","","","","-3.640000","","","","","","-3.254953","-3.640000","","","","","","D1 PROFILE","","","","",""
"60606600000017","Nodes","17","21.000000","56.354251","Default Known Flow Node","Known Flow","271111.375000","845265.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000018","Nodes","18","21.000000","56.271114","Default Known Flow Node","Known Flow","271060.937500","845250.875000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"606066-1462469","Nodes","-1462469","21.000000","62.772252","Default Known Flow Node","Known Flow","271398.500000","845787.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000047","Nodes","47","21.000000","62.772252","DDS demands","Known Flow","271399.312500","845792.187500","","0.000000","","","","-7.860000","","","","","","-7.028552","-7.860000","","","","","","D1 PROFILE","","","","",""
"606066-1462480","Nodes","-1462480","21.000000","62.772252","Default Known Flow Node","Known Flow","271401.093750","845803.812500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000029","Nodes","29, ""P12129476 "", ""Murray Road"",SCH 123.97","31.000000","32.574047","CSEP DDS Matched","Known Flow","271181.937500","845143.750000","","0.000000","-12.420000","","","-4.369999","-123.969999","","","","","-125.870115","-140.760002","","","C1 PROFILE","","","D1 PROFILE","DC PROFILE","","","",""
"60606600000025","Nodes","25, ""324997"", ""MURRAY ROAD"", 22.70","31.000000","32.185795","CSEP DDS Matched","Known Flow","271184.625000","845120.250000","","0.000000","","","","","-22.999999","","","","","-20.567011","-22.999999","","","","","","","DC PROFILE","","","",""
"60606600000046","Nodes","46","21.000000","63.106736","DDS demands","Known Flow","271346.000000","845664.000000","","0.000000","","","","-2.619999","","","","","","-2.342850","-2.619999","","","","","","D1 PROFILE","","","","",""
"60606600000050","Nodes","50","21.000000","46.323760","DDS demands","Known Flow","270973.406250","845405.375000","","0.000000","","","","-11.379999","","","","","","-10.176199","-11.379999","","","","","","D1 PROFILE","","","","",""
"60606600000052","Nodes","52","21.000000","28.340426","DDS demands","Known Flow","270936.093750","845489.750000","","0.000000","","","","-27.930000","","","","","","-24.975505","-27.930000","","","","","","D1 PROFILE","","","","",""
"60606600000053","Nodes","53, 10724, Cranmore Driv","21.000000","27.660189","DDS demands","Known Flow","270963.000000","845515.062500","","0.000000","","","","-1.860000","","","-18.909999","","","-18.572906","-20.770000","","","","","","D1 PROFILE","","","PL-AF PROFILE","",""
"606066-1462481","Nodes","-1462481","21.000000","74.413474","Default Known Flow Node","Known Flow","271295.343750","845961.000000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000042","Nodes","42","21.000000","53.631525","DDS demands","Known Flow","271423.031250","845656.125000","","0.000000","","","","-7.309999","","","","","","-6.536732","-7.309999","","","","","","D1 PROFILE","","","","",""
"60606600000040","Nodes","40","21.000000","54.262500","DDS demands","Known Flow","271484.500000","845566.125000","","0.000000","","","","-2.559999","","","","","","-2.289197","-2.559999","","","","","","D1 PROFILE","","","","",""
"606066-1462488","Nodes","-1462488","21.000000","32.574047","Default Known Flow Node","Known Flow","271179.468750","845142.875000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000028","Nodes","28","21.000000","39.077458","DDS demands","Known Flow","271295.500000","845187.187500","","0.000000","","","","-7.239999","","","","","","-6.474137","-7.239999","","","","","","D1 PROFILE","","","","",""
"60606600000016","Nodes","16","21.000000","56.921527","Default Known Flow Node","Known Flow","271136.218750","845289.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"606066-14","Nodes","-14","21.000000","59.077964","Default Known Flow Node","Known Flow","271249.062500","845397.562500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000026","Nodes","26","21.000000","57.942096","Default Known Flow Node","Known Flow","271393.656250","845327.437500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000011","Nodes","11","21.000000","61.996163","Default Known Flow Node","Known Flow","271230.062500","845417.437500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000013","Nodes","13","21.000000","61.872768","Default Known Flow Node","Known Flow","271259.906250","845438.312500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000044","Nodes","44","21.000000","62.853979","DDS demands","Known Flow","271363.343750","845798.062500","","0.000000","","","","-3.339999","","","","","","-2.986687","-3.339999","","","","","","D1 PROFILE","","","","",""
"60606600000045","Nodes","45","21.000000","62.501055","DDS demands","Known Flow","271366.000000","845838.250000","","0.000000","","","","-9.260000","","","","","","-8.280457","-9.260000","","","","","","D1 PROFILE","","","","",""
"60606600000056","Nodes","56","21.000000","46.128200","DDS demands","Known Flow","270975.906250","845365.812500","","0.000000","","","","-4.330000","","","","","","-3.871963","-4.330000","","","","","","D1 PROFILE","","","","",""
"60606600000055","Nodes","55","21.000000","46.116135","DDS demands","Known Flow","270994.437500","845366.500000","","0.000000","","","","-3.079999","","","","","","-2.754191","-3.079999","","","","","","D1 PROFILE","","","","",""
"60606600000012","Nodes","12","21.000000","59.175069","DDS demands","Known Flow","271248.218750","845398.750000","","0.000000","","","","-11.060000","","","","","","-9.890050","-11.060000","","","","","","D1 PROFILE","","","","",""
"60606600000015","Nodes","15","21.000000","58.194302","DDS demands","Known Flow","271209.375000","845359.625000","","0.000000","","","","-8.989999","","","","","","-8.039018","-8.989999","","","","","","D1 PROFILE","","","","",""
"60606600000038","Nodes","38","21.000000","55.128687","DDS demands","Known Flow","271548.156250","845573.062500","","0.000000","","","","-4.570000","","","","","","-4.086576","-4.570000","","","","","","D1 PROFILE","","","","",""
"60606600000039","Nodes","39","21.000000","54.973998","DDS demands","Known Flow","271566.406250","845599.812500","","0.000000","","","","-3.650000","","","","","","-3.263895","-3.650000","","","","","","D1 PROFILE","","","","",""
"606066-1462487","Nodes","-1462487","21.000000","26.426043","Default Known Flow Node","Known Flow","271009.375000","845556.500000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000054","Nodes","54","21.000000","26.469720","DDS demands","Known Flow","271027.031250","845571.875000","","0.000000","","","","-5.369999","","","","","","-4.801949","-5.369999","","","","","","D1 PROFILE","","","","",""
"60606600000082","Nodes","82","21.000000","26.084316","DDS demands","Known Flow","271095.312500","845584.500000","","0.000000","","","","-8.739999","","","","","","-7.815464","-8.739999","","","","","","D1 PROFILE","","","","",""
"60606600000051","Nodes","51","21.000000","46.080513","DDS demands","Known Flow","270978.375000","845331.875000","","0.000000","","","","-4.619999","","","","","","-4.131286","-4.619999","","","","","","D1 PROFILE","","","","",""
"60606600000020","Nodes","20","21.000000","51.886056","DDS demands","Known Flow","271059.375000","845318.312500","","0.000000","","","","-12.350000","","","","","","-11.043591","-12.350000","","","","","","D1 PROFILE","","","","",""
"60606600000048","Nodes","48","21.000000","59.110668","DDS demands","Known Flow","271057.093750","845450.187500","","0.000000","","","","-17.909999","","","","","","-16.015442","-17.909999","","","","","","D1 PROFILE","","","","",""
"60606600000081","Nodes","81","21.000000","58.200154","DDS demands","Known Flow","271094.875000","845566.000000","","0.000000","","","","-11.100000","","","","","","-9.925818","-11.100000","","","","","","D1 PROFILE","","","","",""
"606066-24","Nodes","-24","21.000000","59.106529","Default Known Flow Node","Known Flow","271060.937500","845454.000000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000041","Nodes","41","21.000000","54.212124","DDS demands","Known Flow","271475.968750","845546.000000","","0.000000","","","","-6.199999","","","","","","-5.544150","-6.199999","","","","","","D1 PROFILE","","","","",""
"60606600000049","Nodes","49","21.000000","57.868912","DDS demands","Known Flow","271020.906250","845422.125000","","0.000000","","","","-1.519999","","","","","","-1.359211","-1.519999","","","","","","D1 PROFILE","","","","",""
"60606600000062","Nodes","62","21.000000","68.877237","DDS demands","Known Flow","271188.125000","845649.500000","","0.000000","","","","-9.819999","","","","","","-8.781219","-9.819999","","","","","","D1 PROFILE","","","","",""
"60606600000019","Nodes","19","21.000000","58.098478","DDS demands","Known Flow","271185.968750","845384.437500","","0.000000","","","","-2.369999","","","","","","-2.119296","-2.369999","","","","","","D1 PROFILE","","","","",""
"606066-13","Nodes","-13","21.000000","57.599528","Default Known Flow Node","Known Flow","271501.750000","845395.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"606066-20","Nodes","-20","21.000000","57.516502","Default Known Flow Node","Known Flow","271476.187500","845430.562500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000063","Nodes","63","21.000000","68.782100","DDS demands","Known Flow","271176.781250","845590.812500","","0.000000","","","","-6.220000","","","","","","-5.562035","-6.220000","","","","","","D1 PROFILE","","","","",""
"60606600000014","Nodes","14","21.000000","65.690734","DDS demands","Known Flow","271142.875000","845375.000000","","0.000000","","","","-2.089999","","","","","","-1.868915","-2.089999","","","","","","D1 PROFILE","","","","",""
"60606600001010","Nodes","1010","21.000000","54.298866","Default Known Flow Node","Known Flow","271191.687500","845185.687500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000023","Nodes","23","21.000000","53.605449","DDS demands","Known Flow","271225.843750","845212.187500","","0.000000","","","","-20.569998","","","","","","-18.394061","-20.569998","","","","","","D1 PROFILE","","","","",""
"60606600000189","Nodes","189","21.000000","56.458709","Point Loads","Known Flow","271582.549331","845533.058101","","0.000000","","","","","","","-4.619999","","","-4.131286","-4.619999","","","","","","","","","PL-AF PROFILE","",""
"60606600000435","Nodes","","21.000000","51.227769","Default Known Flow Node","Known Flow","271283.156250","845118.562500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60606600000145","Nodes","(17 Dom) Smithton Park NA:16859","21.000000","51.959943","Point Loads","Known Flow","271065.575576","845324.365208","","0.000000","","","","","","","-24.680000","","","-22.069298","-24.680000","","","","","","","","","PL-AF PROFILE","",""
