"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-1050.700003","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-1.269999","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-381.486994","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-3.869999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-31.760001","0.000000","1.000000","Volumetric","-1.000000"
"PL-DC","Flow Categories","","","1.000000","Volumetric","0"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"C1","Flow Categories","","","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","","","1.000000","Volumetric","-1.000000"
"CT","Flow Categories","-396.649999","0.000000","1.000000","Volumetric","-1.000000"
"PL-D1","Flow Categories","-2.619999","0.000000","1.000000","Volumetric","-1.000000"
"PL-PL","Flow Categories","","","1.000000","Volumetric","0"
"PL-AF","Flow Categories","-81.269997","0.000000","1.000000","Volumetric","-1.000000"
"PL-CC","Flow Categories","-18.370000","0.000000","1.000000","Volumetric","0"
