"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"62102000000140","Nodes","140,",21.000000,40.870651,"DDS demands","Known Flow",252266.584800,684798.463549,,0.000000,,,,,-8.529999,,-7.627678,-8.529999,,"",,,,,"D1 PROFILE",
"62102000000141","Nodes","141,",21.000000,32.333954,"DDS demands","Known Flow",251921.959706,684535.338478,,0.000000,,,,,-10.569999,,-9.451883,-10.569999,,"",,,,,"D1 PROFILE",
"62102000000148","Nodes","148,",21.000000,55.475870,"DDS demands","Known Flow",252605.459892,685720.213800,,0.000000,,,,,-5.019999,,-4.488973,-5.019999,,"",,,,,"D1 PROFILE",
"62102000001004","Nodes","1004,",21.000000,54.819255,"Default Known Flow Node","Known Flow",252611.375139,685705.644765,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000091","Nodes","91,",21.000000,53.976723,"DDS demands","Known Flow",252618.959896,685686.963791,,0.000000,,,,,-4.249999,,-3.800425,-4.249999,,"",,,,,"D1 PROFILE",
"62102000000115","Nodes","115,",21.000000,50.617202,"DDS demands","Known Flow",251964.209718,686319.213963,,0.000000,,,,,-12.700000,,-11.356567,-12.700000,,"",,,,,"D1 PROFILE",
"62102000000116","Nodes","116,",21.000000,43.784116,"DDS demands","Known Flow",251828.459681,685990.588874,,0.000000,,,,,-15.050000,,-13.457979,-15.050000,,"",,,,,"D1 PROFILE",
"62102000001006","Nodes","1006,",21.000000,40.903096,"DDS demands","Known Flow",251654.711562,685863.336099,,0.000000,,,,,-3.690000,,-3.299664,-3.690000,,"",,,,,"D1 PROFILE",
"62102000158381","Nodes","158381,",21.000000,40.851262,"Default Known Flow Node","Known Flow",251658.422478,685858.062691,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000077","Nodes","77,",21.000000,48.654558,"DDS demands","Known Flow",252197.334781,685659.588784,,0.000000,,,,,-7.479999,,-6.688749,-7.479999,,"",,,,,"D1 PROFILE",
"62102000001005","Nodes","1005,",21.000000,48.350633,"Default Known Flow Node","Known Flow",252191.711782,685665.211782,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000082","Nodes","82,",21.000000,46.128225,"DDS demands","Known Flow",252141.334766,685691.088792,,0.000000,,,,,-9.079999,,-8.119498,-9.079999,,"",,,,,"D1 PROFILE",
"62102000000073","Nodes","73,",21.000000,32.007141,"DDS demands","Known Flow",251901.834701,685668.963786,,0.000000,,,,,-8.609999,,-7.699215,-8.609999,,"",,,,,"D1 PROFILE",
"62102000001000","Nodes","1000,",21.000000,33.909391,"DDS demands","Known Flow",252002.584728,685652.838782,,0.000000,,,,,-12.199999,,-10.909458,-12.199999,,"",,,,,"D1 PROFILE",
"62102000000110","Nodes","110,",21.000000,40.359339,"DDS demands","Known Flow",252105.709756,685678.338789,,0.000000,,,,,-8.399999,,-7.511430,-8.399999,,"",,,,,"D1 PROFILE",
"62102000001001","Nodes","1001,",21.000000,35.762711,"DDS demands","Known Flow",251841.105400,685854.306904,,0.000000,,,,,-14.300000,,-12.787315,-14.300000,,"",,,,,"D1 PROFILE",
"62102000001002","Nodes","1002,",21.000000,37.104141,"DDS demands","Known Flow",251911.826820,685905.658764,,0.000000,,,,,-12.619999,,-11.285030,-12.619999,,"",,,,,"D1 PROFILE",
"62102000000130","Nodes","130,",21.000000,44.863961,"DDS demands","Known Flow",252041.584739,685997.838876,,0.000000,,,,,-16.419999,,-14.683058,-16.419999,,"",,,,,"D1 PROFILE",
"62102000000129","Nodes","129,",21.000000,35.485297,"DDS demands","Known Flow",251754.209660,685791.463820,,0.000000,,,,,-8.859999,,-7.922770,-8.859999,,"",,,,,"D1 PROFILE",
"62102000115747","Nodes","115747,",21.000000,57.494331,"Default Known Flow Node","Known Flow",252342.209820,685755.838810,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102010001003","Nodes","10001003,",21.000000,57.692093,"Default Known Flow Node","Known Flow",252345.002565,685760.453907,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000075","Nodes","75,",21.000000,60.199222,"DDS demands","Known Flow",252329.084817,685817.838827,,0.000000,,,,,-18.809999,,-16.820238,-18.809999,,"",,,,,"D1 PROFILE",
"62102000000143","Nodes","143,",21.000000,72.481290,"DDS demands","Known Flow",252653.084905,684998.338604,,0.000000,,,,,-8.399999,,-7.511430,-8.399999,,"",,,,,"D1 PROFILE",
"62102000000142","Nodes","142,",21.000000,71.501966,"Default Known Flow Node","Known Flow",252643.209902,684996.963603,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000154","Nodes","154,",21.000000,27.140570,"DDS demands","Known Flow",251759.959662,685465.463731,,0.000000,,,,,-3.219999,,-2.879381,-3.219999,,"",,,,,"D1 PROFILE",
"62102000000155","Nodes","155,",21.000000,26.320950,"DDS demands","Known Flow",251853.709688,685491.213738,,0.000000,,,,,-2.400000,,-2.146123,-2.400000,,"",,,,,"D1 PROFILE",
"62102000000139","Nodes","139,",21.000000,64.832162,"DDS demands","Known Flow",252632.459899,685064.463622,,0.000000,,,,,-18.170000,,-16.247939,-18.170000,,"",,,,,"D1 PROFILE",
"62102000000144","Nodes","144,",21.000000,46.420426,"DDS demands","Known Flow",252732.459927,685153.213646,,0.000000,,,,,-17.049999,,-15.246414,-17.049999,,"",,,,,"D1 PROFILE",
"62102000000109","Nodes","109,",21.000000,42.482644,"DDS demands","Known Flow",252596.584890,685413.713717,,0.000000,,,,,-10.350000,,-9.255155,-10.350000,,"",,,,,"D1 PROFILE",
"62102000000108","Nodes","108,",21.000000,43.406863,"DDS demands","Known Flow",252708.459920,685459.338729,,0.000000,,,,,-0.769999,,-0.688547,-0.769999,,"",,,,,"D1 PROFILE",
