"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)"
"62504700000086","Nodes","86",21.000000,48.447290,"DDS demands","Known Flow",233462.862684,634133.226763,,0.000000,,,,,-5.820000,,,-5.204348,-5.820000,,"",,,,,"D1 PROFILE",,
"62504700000087","Nodes","87",21.000000,48.001897,"DDS demands","Known Flow",233453.899579,634090.677710,,0.000000,,,,,-5.199999,,,-4.649932,-5.199999,,"",,,,,"D1 PROFILE",,
"62504700003005","Nodes","3005",21.000000,24.663528,"Default Known Flow Node","Known Flow",236727.517650,634190.752078,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000027","Nodes","27",21.000000,24.778042,"DDS demands","Known Flow",236729.239918,634199.895809,,0.000000,,,,,-5.780000,,,-5.168579,-5.780000,,"",,,,,"D1 PROFILE",,
"62504700000084","Nodes","84",21.000000,48.684291,"DDS demands","Known Flow",233493.977692,634129.031762,,0.000000,,,,,-1.630000,,,-1.457575,-1.630000,,"",,,,,"D1 PROFILE",,
"62504700003033","Nodes","3033",21.000000,45.733100,"Default Known Flow Node","Known Flow",233354.024654,634174.159774,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000110","Nodes","110",21.000000,46.472987,"DDS demands","Known Flow",233407.409669,634172.954774,,0.000000,,,,,-6.650000,,,-5.946549,-6.650000,,"",,,,,"D1 PROFILE",,
"62504700003000","Nodes","3000",21.000000,45.733100,"Default Known Flow Node","Known Flow",233378.908661,634180.616776,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700003035","Nodes","3035",21.000000,46.938888,"Default Known Flow Node","Known Flow",233429.569529,634178.056545,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700003011","Nodes","3011",21.000000,46.472987,"Default Known Flow Node","Known Flow",233403.916668,634187.248778,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
