"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"62505700000031","Nodes","31,",21.000000,22.057763,"DDS demands","Known Flow",243156.474321,655166.303486,,0.000000,,,-9.609999,-4.570000,,-12.680009,-14.179999,,"",,,"D1 PROFILE","I2 PROFILE",
"62505700000032","Nodes","32,",21.000000,21.968169,"Default Known Flow Node","Known Flow",243165.019323,655216.328500,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000018","Nodes","18,",21.000000,21.767393,"DDS demands","Known Flow",243069.761573,655148.697319,,0.000000,,,-8.839999,,,-7.904886,-8.839999,,"",,,"D1 PROFILE",,
"62505700000016","Nodes","16,",21.000000,22.905638,"DDS demands","Known Flow",243263.932287,655174.839908,,0.000000,,,-18.000000,,,-16.095922,-18.000000,,"",,,"D1 PROFILE",,
"62505700000005","Nodes","5,",21.000000,28.230834,"DDS demands","Known Flow",243495.955615,655201.579296,,0.000000,-3.299999,,-4.610000,,,-7.073263,-7.909999,,"","C1 PROFILE",,"D1 PROFILE",,
"62505701462471","Nodes","1462471,",21.000000,21.767342,"Default Known Flow Node","Known Flow",243027.662750,655170.931991,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505710000019","Nodes","10000019,",21.000000,28.139896,"Default Known Flow Node","Known Flow",243514.834356,655189.450947,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505710000002","Nodes","10000002,",21.000000,26.763089,"Default Known Flow Node","Known Flow",243679.767847,655081.404904,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000012","Nodes","12,",21.000000,27.762693,"DDS demands","Known Flow",243577.004065,655151.888657,,0.000000,,,-3.079999,,,-2.754191,-3.079999,,"",,,"D1 PROFILE",,
"62505700000002","Nodes","2,",21.000000,33.803005,"DDS demands","Known Flow",243947.605400,655479.131345,,0.000000,,,-17.899999,,,-16.006500,-17.899999,,"",,,"D1 PROFILE",,
"62505710000005","Nodes","10000005,",21.000000,27.038430,"Default Known Flow Node","Known Flow",243645.071411,655110.807713,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000015","Nodes","15,",21.000000,26.329020,"DDS demands","Known Flow",243599.764730,655035.927980,,0.000000,,,-7.300000,,,-6.527790,-7.300000,,"",,,"D1 PROFILE",,
"62505700000036","Nodes","36,",21.000000,21.764282,"Default Known Flow Node","Known Flow",243035.459071,655134.518650,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000037","Nodes","37,",21.000000,22.898526,"Default Known Flow Node","Known Flow",243262.900350,655174.768489,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000040","Nodes","40,",21.000000,21.767342,"Default Known Flow Node","Known Flow",243069.188297,655148.485481,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000046","Nodes","46,",21.000000,21.767342,"Default Known Flow Node","Known Flow",243025.013285,655161.481485,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000052","Nodes","52,",21.000000,25.164629,"DDS demands","Known Flow",243478.411386,655315.501117,,0.000000,,,-12.020000,,,-10.748499,-12.020000,,"",,,"D1 PROFILE",,
"62505700000053","Nodes","53,",21.000000,28.500419,"Default Known Flow Node","Known Flow",243503.299415,655210.940498,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000054","Nodes","54,",21.000000,28.009709,"DDS demands","Known Flow",243551.738074,655167.152674,,0.000000,,,-18.000000,,,-16.095922,-18.000000,,"",,,"D1 PROFILE",,
"62505700000058","Nodes","58,",21.000000,28.354292,"DDS demands","Known Flow",243648.107455,655415.572554,,0.000000,,,-13.279999,,,-11.875213,-13.279999,,"",,,"D1 PROFILE",,
"62505700000062","Nodes","62,",21.000000,33.896174,"DDS demands","Known Flow",243944.041535,655480.457572,,0.000000,,,-7.809999,,,-6.983841,-7.809999,,"",,,"D1 PROFILE",,
"62505700000064","Nodes","P14134067, NEILSTON ROAD CSEP, 40.34 SCMH",25.000000,32.240784,"CSEP Unmatched","Known Flow",243801.601684,655413.043032,,0.000000,,,,,-40.340000,-36.072749,-40.340000,,"",,,,,"DC PROFILE"
"62505700000065","Nodes","65,",21.000000,28.148044,"Default Known Flow Node","Known Flow",243506.410416,655175.183489,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000066","Nodes","66,",21.000000,28.251642,"Default Known Flow Node","Known Flow",243492.524413,655203.796496,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000071","Nodes","71,",21.000000,27.067249,"Default Known Flow Node","Known Flow",243642.214648,655112.596620,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000072","Nodes","72,",21.000000,27.067249,"Default Known Flow Node","Known Flow",243643.894454,655115.576472,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000079","Nodes","79,",21.000000,34.156572,"Default Known Flow Node","Known Flow",244230.525613,655332.055531,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000047","Nodes","47,",21.000000,21.767342,"Default Known Flow Node","Known Flow",243028.644286,655172.368488,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000069","Nodes","69,",21.000000,26.329020,"Default Known Flow Node","Known Flow",243596.850441,655037.860451,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000029","Nodes","29,",21.000000,34.154838,"DDS demands","Known Flow",244232.348614,655330.159531,,0.000000,,,-3.059999,,,-2.736306,-3.059999,,"",,,"D1 PROFILE",,
"62505700000035","Nodes","35,",21.000000,28.810196,"DDS demands","Known Flow",243516.763394,655219.772329,,0.000000,,,-9.239999,,,-8.262573,-9.239999,,"",,,"D1 PROFILE",,
"62505700000007","Nodes","7,",21.000000,21.716483,"DDS demands","Known Flow",243002.058279,655121.279474,,0.000000,,,-2.669999,,,-2.387561,-2.669999,,"",,,"D1 PROFILE",,
"62505700000014","Nodes","14,",21.000000,26.706237,"DDS demands","Known Flow",243717.597474,655046.687454,,0.000000,,,-1.830000,,,-1.636418,-1.830000,,"",,,"D1 PROFILE",,
"62505700000013","Nodes","13,",21.000000,26.770162,"DDS demands","Known Flow",243675.325462,655090.519466,,0.000000,-11.969999,,-14.219999,,,-23.419567,-26.190000,,"","C1 PROFILE",,"D1 PROFILE",,
"62505700000017","Nodes","17,",21.000000,22.785891,"DDS demands","Known Flow",243281.471355,655255.320510,,0.000000,,,-5.420000,,,-4.846660,-5.420000,,"",,,"D1 PROFILE",,
"62505700000033","Nodes","33,",21.000000,23.367347,"DDS demands","Known Flow",243282.464355,655176.122489,,0.000000,,,-7.489999,,,-6.697691,-7.489999,,"",,,"D1 PROFILE",,
"62505700000019","Nodes","19,",21.000000,21.633003,"Default Known Flow Node","Known Flow",242973.260271,655169.233487,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000021","Nodes","21,",21.000000,21.543472,"Default Known Flow Node","Known Flow",242870.859243,655110.177471,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000022","Nodes","22,",21.000000,21.543472,"Default Known Flow Node","Known Flow",242783.101220,655045.312453,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000006","Nodes","6,",21.000000,28.214960,"DDS demands","Known Flow",243487.445411,655201.005496,,0.000000,-1.869999,-2.549999,-10.119999,,,-13.001927,-14.539999,,"","C1 PROFILE","C3  PROFILE","D1 PROFILE",,
"62505700000020","Nodes","20,",21.000000,21.633003,"Default Known Flow Node","Known Flow",242950.883265,655167.954487,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000034","Nodes","34,",21.000000,23.400828,"DDS demands","Known Flow",243286.793357,655120.354474,,0.000000,,,-1.690000,,,-1.511228,-1.690000,,"",,,"D1 PROFILE",,
"62505700000023","Nodes","23,",21.000000,31.039280,"DDS demands","Known Flow",243665.971460,655320.778528,,0.000000,,,-10.140000,,,-9.067369,-10.140000,,"",,,"D1 PROFILE",,
"62505700000003","Nodes","3,",21.000000,31.185834,"DDS demands","Known Flow",243696.143468,655341.738534,,0.000000,,,-8.669999,,,-7.752868,-8.669999,,"",,,"D1 PROFILE",,
"62505700000010","Nodes","10,",21.000000,27.121175,"DDS demands","Known Flow",243556.122430,655367.484541,,0.000000,,,-17.239999,,,-15.416316,-17.239999,,"",,,"D1 PROFILE",,
"62505700000008","Nodes","8,",21.000000,28.621792,"DDS demands","Known Flow",243657.023457,655402.113550,,0.000000,,,-10.960000,,,-9.800629,-10.960000,,"",,,"D1 PROFILE",,
"62505700000004","Nodes","4,",21.000000,30.721639,"DDS demands","Known Flow",243585.185438,655263.623513,,0.000000,,,-11.220000,,,-10.033124,-11.220000,,"",,,"D1 PROFILE",,
