"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-917.489998,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-28.730000,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-31.169999,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-70.999997,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-6.000000,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-40.679999,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"PL-AF","Flow Categories",-37.099999,0.000000,1.000000,"Volumetric",-1.000000
