SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,30.60,PE,Enabled,Default Pipe,1,27.1
2,PI000002,33.24,PE,Enabled,Default Pipe,1,4.1
3,PI000004,37.04,PE,Enabled,Default Pipe,1,41.5
4,PI000007,36.13,DI,Enabled,Default Pipe,1,18.2
5,PI000008,32.18,PE,Enabled,Default Pipe,1,4.4
6,PI000009,27.10,PE,Enabled,Default Pipe,1,4.2
7,PI000010,26.97,PE,Enabled,Default Pipe,1,5.3
8,PI000011,48.19,DI,Enabled,Default Pipe,1,1.3
9,PI000012,41.50,DI,Enabled,Default Pipe,1,13.5
10,PI000013,45.38,DI,Enabled,Default Pipe,1,9.4
11,PI000014,41.60,DI,Enabled,Default Pipe,1,2.6
12,PI000015,48.40,PE,Enabled,Default Pipe,1,12.1
13,PI000016,40.49,PE,Enabled,Default Pipe,1,66.9
14,PI000017,29.16,PE,Enabled,Default Pipe,1,3.0
15,PI000018,40.51,PE,Enabled,Default Pipe,1,2.0
16,PI000019,40.51,PE,Enabled,Default Pipe,1,9.8
17,PI000021,29.91,PE,Enabled,Default Pipe,1,24.5
18,PI000022,36.97,DI,Enabled,Default Pipe,1,2.0
19,PI000023,48.86,PE,Enabled,Default Pipe,1,54.8
20,PI000024,30.96,PE,Enabled,Default Pipe,1,20.2
21,PI000025,49.60,PE,Enabled,Default Pipe,1,3.6
22,PI000026,48.57,PE,Enabled,Default Pipe,1,1.7
23,PI000027,36.42,PE,Enabled,Default Pipe,1,22.6
24,PI000028,25.34,PE,Enabled,Default Pipe,1,2.4
25,PI000029,30.85,PE,Enabled,Default Pipe,1,6.3
26,PI000030,30.71,PE,Enabled,Default Pipe,1,28.3
27,PI000031,34.40,PE,Enabled,Default Pipe,1,26.8
28,PI000032,35.40,PE,Enabled,Default Pipe,1,30.2
29,PI000033,37.67,DI,Enabled,Default Pipe,1,27.2
30,PI000034,29.89,PE,Enabled,Default Pipe,1,18.4
31,PI000035,36.21,DI,Enabled,Default Pipe,1,1.5
32,PI000036,38.74,DI,Enabled,Default Pipe,1,1.2
33,PI000037,46.05,DI,Enabled,Default Pipe,1,10.4
34,PI000038,33.00,PE,Enabled,Default Pipe,1,22.9
35,PI000039,45.10,DI,Enabled,Default Pipe,1,30.0
36,PI000040,32.91,PE,Enabled,Default Pipe,1,21.4
37,PI000041,49.40,PE,Enabled,Default Pipe,1,6.1
38,PI000042,47.92,DI,Enabled,Default Pipe,1,4.5
39,PI000043,48.92,PE,Enabled,Default Pipe,1,5.8
40,PI000044,31.76,PE,Enabled,Default Pipe,1,31.1
41,PI000047,32.63,PE,Enabled,Default Pipe,1,47.6
42,PI000048,34.16,PE,Enabled,Default Pipe,1,36.6
43,PI000049,35.16,PE,Enabled,Default Pipe,1,41.3
44,PI000050,33.34,PE,Enabled,Default Pipe,1,40.6
45,PI000051,33.85,PE,Enabled,Default Pipe,1,65.8
46,PI000052,36.04,PE,Enabled,Default Pipe,1,116.5
47,PI000053,32.43,PE,Enabled,Default Pipe,1,54.1
48,PI000054,38.12,PE,Enabled,Default Pipe,1,58.7
49,PI000055,40.31,PE,Enabled,Default Pipe,1,40.0
50,PI000056,38.64,PE,Enabled,Default Pipe,1,40.9
51,PI000057,39.94,PE,Enabled,Default Pipe,1,88.1
52,PI000058,37.37,PE,Enabled,Default Pipe,1,40.9
53,PI000059,36.31,PE,Enabled,Default Pipe,1,38.6
54,PI000060,47.68,PE,Enabled,Default Pipe,1,33.6
55,PI000061,32.16,PE,Enabled,Default Pipe,1,77.9
56,0465374343,29.69,PE,Enabled,Default Pipe,1,40.3
57,0465374440,30.68,PE,Enabled,Default Pipe,1,14.0
58,0465373964,29.31,PE,Enabled,Default Pipe,1,39.6
59,0465374439,30.53,PE,Enabled,Default Pipe,1,40.0
60,0465374431,30.43,PE,Enabled,Default Pipe,1,40.1
61,0465374429,30.55,PE,Enabled,Default Pipe,1,39.8
62,0465373872,34.32,PE,Enabled,Default Pipe,1,15.2
63,0465374425,30.86,PE,Enabled,Default Pipe,1,9.3
64,0465375270,31.18,PE,Enabled,Default Pipe,1,28.6
65,0465374421,31.36,PE,Enabled,Default Pipe,1,32.2
66,0465375272,31.20,PE,Enabled,Default Pipe,1,25.9
67,0465373984,34.62,PE,Enabled,Default Pipe,1,39.1
68,0465374347,29.03,PE,Enabled,Default Pipe,1,40.3
69,0465373954,31.28,PE,Enabled,Default Pipe,1,23.1
70,0465374469,27.58,PE,Enabled,Default Pipe,1,42.9
71,0465374472,28.53,PE,Enabled,Default Pipe,1,40.3
72,0465373966,29.18,PE,Enabled,Default Pipe,1,40.4
73,0465373924,31.54,PE,Enabled,Default Pipe,1,27.9
74,0465373911,31.53,PE,Enabled,Default Pipe,1,36.0
75,0465373971,30.35,PE,Enabled,Default Pipe,1,32.0
76,0465374350,28.95,PE,Enabled,Default Pipe,1,36.0
77,0465373953,31.35,PE,Enabled,Default Pipe,1,4.2
78,0465373950,31.36,PE,Enabled,Default Pipe,1,17.6
79,0465374468,27.73,PE,Enabled,Default Pipe,1,40.0
80,0465374470,27.99,PE,Enabled,Default Pipe,1,39.9
81,0465373963,29.65,PE,Enabled,Default Pipe,1,39.3
82,0465374467,30.16,PE,Enabled,Default Pipe,1,35.5
83,0465374474,29.29,PE,Enabled,Default Pipe,1,30.2
84,0604997953,30.31,PE,Enabled,Default Pipe,1,145.6
85,0465374433,30.46,PE,Enabled,Default Pipe,1,39.7
86,0607869265,29.08,PE,Enabled,Default Pipe,1,49.5
87,0465373941,31.17,PE,Enabled,Default Pipe,1,28.9
88,0602870784,29.53,PE,Enabled,Default Pipe,1,52.7
89,0465373883,33.47,PE,Enabled,Default Pipe,1,24.3
90,0465373899,33.24,PE,Enabled,Default Pipe,1,17.5
91,0465375271,31.18,PE,Enabled,Default Pipe,1,34.6
92,0465374544,30.86,PE,Enabled,Default Pipe,1,39.2
93,0465373889,33.36,PE,Enabled,Default Pipe,1,25.1
94,0465373994,34.66,PE,Enabled,Default Pipe,1,39.8
95,0465373959,31.28,PE,Enabled,Default Pipe,1,38.6
96,0465374437,30.47,PE,Enabled,Default Pipe,1,39.7
97,0465374532,29.96,PE,Enabled,Default Pipe,1,16.0
98,0465373921,31.76,PE,Enabled,Default Pipe,1,47.8
99,0465373922,31.34,PE,Enabled,Default Pipe,1,42.0
100,0465373906,32.43,PE,Enabled,Default Pipe,1,35.0
101,0465373878,33.80,PE,Enabled,Default Pipe,1,31.7
102,0465373874,34.26,PE,Enabled,Default Pipe,1,25.9
103,0465373881,33.60,PE,Enabled,Default Pipe,1,37.5
104,0465373885,33.45,PE,Enabled,Default Pipe,1,29.5
105,0465374442,30.91,PE,Enabled,Default Pipe,1,2.7
106,0465374541,30.04,PE,Enabled,Default Pipe,1,37.8
107,0465373893,33.21,PE,Enabled,Default Pipe,1,39.9
108,0465373955,31.33,PE,Enabled,Default Pipe,1,17.3
109,0465373956,31.09,PE,Enabled,Default Pipe,1,29.0
110,0465374342,30.32,PE,Enabled,Default Pipe,1,31.8
111,0465373969,29.07,PE,Enabled,Default Pipe,1,25.4
112,0465374535,29.75,PE,Enabled,Default Pipe,1,40.6
113,0465373917,32.14,PE,Enabled,Default Pipe,1,31.8
114,0465373905,32.66,PE,Enabled,Default Pipe,1,33.1
115,0465373972,31.55,PE,Enabled,Default Pipe,1,28.2
116,0465374422,31.02,PE,Enabled,Default Pipe,1,44.8
117,0465374548,31.47,PE,Enabled,Default Pipe,1,40.4
118,0465373967,29.04,PE,Enabled,Default Pipe,1,40.9
119,0465373938,31.42,PE,Enabled,Default Pipe,1,29.1
120,0465373937,31.33,PE,Enabled,Default Pipe,1,28.8
121,0465373973,30.83,PE,Enabled,Default Pipe,1,23.6
122,0465373879,33.88,PE,Enabled,Default Pipe,1,35.9
123,0465373902,33.30,PE,Enabled,Default Pipe,1,21.7
124,0465374539,29.91,PE,Enabled,Default Pipe,1,40.3
125,0465374542,30.31,PE,Enabled,Default Pipe,1,25.3
126,0465374545,31.13,PE,Enabled,Default Pipe,1,39.6
127,0465373962,30.98,PE,Enabled,Default Pipe,1,23.4
128,0465374531,29.88,PE,Enabled,Default Pipe,1,33.3
129,0465374436,30.46,PE,Enabled,Default Pipe,1,40.5
130,0465373944,31.38,PE,Enabled,Default Pipe,1,30.0
131,0465373920,30.81,PE,Enabled,Default Pipe,1,42.7
132,0465373970,30.58,PE,Enabled,Default Pipe,1,30.0
133,0465373907,32.49,PE,Enabled,Default Pipe,1,26.0
134,0465373903,33.01,PE,Enabled,Default Pipe,1,47.1
135,0465373877,34.15,PE,Enabled,Default Pipe,1,8.5
136,0604029051,30.20,PE,Enabled,Default Pipe,1,40.7
137,0465373884,33.40,PE,Enabled,Default Pipe,1,9.2
138,0465373880,33.57,PE,Enabled,Default Pipe,1,17.1
139,0465373888,33.51,PE,Enabled,Default Pipe,1,27.4
140,0465373901,33.20,PE,Enabled,Default Pipe,1,41.6
141,0465373887,33.38,PE,Enabled,Default Pipe,1,27.3
142,0465373896,33.18,PE,Enabled,Default Pipe,1,16.5
143,0465374345,29.24,PE,Enabled,Default Pipe,1,40.2
144,0465374441,30.72,PE,Enabled,Default Pipe,1,14.2
145,0465373961,30.97,PE,Enabled,Default Pipe,1,24.3
146,0465374530,29.86,PE,Enabled,Default Pipe,1,40.3
147,0465374533,29.78,PE,Enabled,Default Pipe,1,39.8
148,0465373918,31.03,PE,Enabled,Default Pipe,1,36.1
149,0465373912,31.92,PE,Enabled,Default Pipe,1,5.3
150,0465373910,32.17,PE,Enabled,Default Pipe,1,29.4
151,0465374423,30.65,PE,Enabled,Default Pipe,1,12.4
152,0465374537,29.72,PE,Enabled,Default Pipe,1,40.3
153,0465374443,31.92,PE,Enabled,Default Pipe,1,20.5
154,0465373886,33.43,PE,Enabled,Default Pipe,1,14.8
155,0465373898,33.18,PE,Enabled,Default Pipe,1,16.6
156,0465373895,33.17,PE,Enabled,Default Pipe,1,22.0
157,0465373949,30.66,PE,Enabled,Default Pipe,1,41.4
158,0465373863,34.95,PE,Enabled,Default Pipe,1,25.5
159,0465373864,34.85,PE,Enabled,Default Pipe,1,30.3
160,0465373845,36.52,PE,Enabled,Default Pipe,1,1.2
161,0465374817,31.62,PE,Enabled,Default Pipe,1,29.4
162,0465373982,34.67,PE,Enabled,Default Pipe,1,39.3
163,0465373840,40.87,PE,Enabled,Default Pipe,1,41.5
164,0465373456,44.10,PE,Enabled,Default Pipe,1,32.9
165,0465373441,40.03,PE,Enabled,Default Pipe,1,36.4
166,0465373857,35.14,PE,Enabled,Default Pipe,1,30.8
167,0465373851,35.64,PE,Enabled,Default Pipe,1,26.2
168,0465373850,36.15,PE,Enabled,Default Pipe,1,40.3
169,0465373853,35.31,PE,Enabled,Default Pipe,1,6.7
170,0465374816,32.06,PE,Enabled,Default Pipe,1,47.5
171,0465373432,38.13,PE,Enabled,Default Pipe,1,42.4
172,0465374579,40.08,PE,Enabled,Default Pipe,1,28.9
173,0465373975,35.57,PE,Enabled,Default Pipe,1,26.6
174,0465373891,34.71,PE,Enabled,Default Pipe,1,23.9
175,0465373854,35.31,PE,Enabled,Default Pipe,1,8.4
176,0465373855,35.41,PE,Enabled,Default Pipe,1,38.3
177,0465373976,35.22,PE,Enabled,Default Pipe,1,42.5
178,0465373977,35.11,PE,Enabled,Default Pipe,1,40.1
179,0465373990,34.94,PE,Enabled,Default Pipe,1,36.9
180,0465373435,40.24,PE,Enabled,Default Pipe,1,36.0
181,0465373838,42.16,PE,Enabled,Default Pipe,1,42.8
182,0465373836,44.07,PE,Enabled,Default Pipe,1,22.4
183,0465374183,39.80,PE,Enabled,Default Pipe,1,35.7
184,0465374186,39.69,PE,Enabled,Default Pipe,1,29.6
185,0650848818,46.36,PE,Enabled,Default Pipe,1,13.3
186,0465373870,34.57,PE,Enabled,Default Pipe,1,38.7
187,0465373859,34.99,PE,Enabled,Default Pipe,1,24.8
188,0465373858,34.93,PE,Enabled,Default Pipe,1,17.5
189,0465373890,34.69,PE,Enabled,Default Pipe,1,31.4
190,0465373460,42.48,PE,Enabled,Default Pipe,1,34.7
191,0465373458,42.65,PE,Enabled,Default Pipe,1,37.3
192,0465373842,39.49,PE,Enabled,Default Pipe,1,36.7
193,0465373978,35.01,PE,Enabled,Default Pipe,1,38.4
194,0465374200,41.08,PE,Enabled,Default Pipe,1,42.2
195,0465373439,39.99,PE,Enabled,Default Pipe,1,41.2
196,0465374198,42.61,PE,Enabled,Default Pipe,1,41.4
197,0465374580,40.37,PE,Enabled,Default Pipe,1,40.1
198,0465373461,42.34,PE,Enabled,Default Pipe,1,30.5
199,0465374819,31.57,PE,Enabled,Default Pipe,1,23.4
200,0465373433,39.07,PE,Enabled,Default Pipe,1,30.7
201,0465373991,34.78,PE,Enabled,Default Pipe,1,42.7
202,0465373457,42.96,PE,Enabled,Default Pipe,1,38.2
