SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,28.82,PE,Enabled,Default Pipe,3,5.8
2,PI000002,28.79,PE,Enabled,Default Pipe,3,73.5
3,PI000003,28.84,CI,Enabled,Default Pipe,3,3.4
4,PI000004,25.32,PE,Enabled,Default Pipe,3,3.5
5,PI000005,28.97,PE,Enabled,Default Pipe,3,31.0
6,PI000006,28.81,PE,Enabled,Default Pipe,3,116.6
7,PI000007,33.78,PE,Enabled,Replacement Pipe,3,68.1
8,PI000008,34.12,SI,Enabled,Default Pipe,3,14.4
9,PI000009,32.17,PE,Enabled,Replacement Pipe,3,5.0
10,PI000010,30.79,PE,Enabled,Default Pipe,3,12.9
11,PI000011,33.90,PE,Enabled,Default Pipe,3,61.1
12,PI000012,31.75,PE,Enabled,Default Pipe,3,0.4
13,PI000013,34.09,SI,Enabled,Default Pipe,3,63.0
14,PI000014,34.02,PE,Enabled,Default Pipe,3,62.5
15,PI000015,34.10,PE,Enabled,Default Pipe,3,13.0
16,PI000016,30.49,PE,Enabled,Default Pipe,3,75.6
17,PI000017,30.72,PE,Enabled,Default Pipe,3,18.0
18,PI000020,34.00,PE,Enabled,Default Pipe,3,9.2
19,PI000021,34.31,PE,Enabled,Default Pipe,3,73.9
20,PI000022,29.78,PE,Enabled,Default Pipe,3,2.7
21,PI000023,31.92,PE,Enabled,Default Pipe,3,37.8
22,PI000024,22.08,PE,Enabled,Default Pipe,3,4.7
23,PI000025,29.10,PE,Enabled,Default Pipe,3,8.4
24,PI000026,30.11,PE,Enabled,Default Pipe,6,35.7
25,PI000027,49.99,PE,Enabled,Default Pipe,7,4.5
26,PI000029,35.07,PE,Enabled,Default Pipe,3,46.8
27,PI000030,34.76,PE,Enabled,Default Pipe,3,40.4
28,PI000031,35.73,PE,Enabled,Default Pipe,3,144.7
29,PI000032,34.19,PE,Enabled,Replacement Pipe,3,16.9
30,PI000033,34.17,PE,Enabled,Replacement Pipe,3,1.6
31,PI000034,35.59,PE,Enabled,Default Pipe,3,8.0
32,PI000035,69.72,PE,Enabled,Default Pipe,5,36.7
33,PI000036,28.09,CI,Enabled,Default Pipe,2,1.8
34,PI000037,25.90,PE,Enabled,Default Pipe,2,98.0
35,PI000038,49.35,PE,Enabled,Default Pipe,4,15.9
36,PI000039,49.40,PE,Enabled,Default Pipe,4,1.1
37,PI000040,38.49,PE,Enabled,Default Pipe,6,3.2
38,PI000041,25.23,PE,Enabled,Default Pipe,2,74.1
39,PI000042,25.76,PE,Enabled,Default Pipe,2,10.2
40,PI000043,45.93,PE,Enabled,Default Pipe,6,9.3
41,PI000044,22.42,PE,Enabled,Default Pipe,6,56.0
42,PI000045,26.09,PE,Enabled,Default Pipe,6,32.8
43,PI000046,39.17,PE,Enabled,Default Pipe,6,39.0
44,PI000047,39.66,PE,Enabled,Default Pipe,6,35.6
45,PI000048,38.64,PE,Enabled,Default Pipe,6,32.9
46,PI000049,26.95,PE,Enabled,Default Pipe,6,27.0
47,PI000050,22.00,PE,Enabled,Default Pipe,6,2.2
48,PI000051,25.13,PE,Enabled,Default Pipe,2,13.0
49,PI000052,37.57,PE,Enabled,Default Pipe,6,4.3
50,PI000053,25.24,PE,Enabled,Default Pipe,2,32.3
51,PI000054,25.89,PE,Enabled,Default Pipe,2,100.1
52,PI000055,33.82,CI,Enabled,Default Pipe,3,34.4
53,PI000056,27.94,CI,Enabled,Default Pipe,2,2.6
54,PI000057,27.64,CI,Enabled,Default Pipe,2,65.6
