SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,74.56,PE,Enabled,Default Pipe,9,8.9
2,PI000002,71.52,PE,Enabled,Default Pipe,8,59.1
3,PI000003,74.46,PE,Enabled,Default Pipe,9,20.5
4,PI000004,73.26,PE,Enabled,Default Pipe,8,19.0
5,PI000005,72.81,PE,Enabled,Default Pipe,8,5.9
6,PI000006,73.37,PE,Enabled,Default Pipe,10,39.7
7,PI000007,73.24,PE,Enabled,Default Pipe,8,75.9
8,PI000008,72.48,PE,Enabled,Default Pipe,10,4.7
9,PI000009,72.50,PE,Enabled,Default Pipe,10,8.5
10,PI000010,46.57,PE,Enabled,Default Pipe,1,4.8
11,PI000011,48.80,PE,Enabled,Default Pipe,1,167.6
12,PI000012,46.57,PE,Enabled,Default Pipe,1,1.1
13,PI000013,74.16,PE,Enabled,Default Pipe,5,1.0
14,PI000015,46.87,PE,Enabled,Default Pipe,1,123.5
15,PI000016,29.34,PE,Enabled,Default Pipe,1,31.1
16,PI000017,34.55,PE,Enabled,Default Pipe,1,34.2
17,PI000018,49.27,PE,Enabled,Default Pipe,1,5.0
18,PI000019,49.68,PE,Enabled,Default Pipe,1,132.3
19,PI000020,27.97,PE,Enabled,Default Pipe,1,84.9
20,PI000021,45.55,PE,Enabled,Default Pipe,1,14.4
21,PI000022,47.10,PE,Enabled,Default Pipe,1,49.5
22,PI000023,48.61,PE,Enabled,Default Pipe,1,82.9
23,PI000024,45.63,PE,Enabled,Default Pipe,1,12.8
24,PI000025,47.04,PE,Enabled,Default Pipe,1,44.7
25,PI000026,49.82,ST,Enabled,Default Pipe,1,68.3
26,PI000027,45.37,PE,Enabled,Default Pipe,1,4.9
27,PI000028,47.45,PE,Enabled,Default Pipe,1,32.7
28,PI000029,45.82,PE,Enabled,Default Pipe,1,72.8
29,PI000030,47.19,PE,Enabled,Default Pipe,1,4.5
30,PI000031,44.18,PE,Enabled,Default Pipe,1,1.6
31,PI000032,45.43,PE,Enabled,Default Pipe,1,15.1
32,PI000033,47.65,ST,Enabled,Default Pipe,1,15.8
33,PI000034,45.80,PE,Enabled,Default Pipe,1,71.3
34,PI000035,44.25,PE,Enabled,Default Pipe,1,28.0
35,PI000036,45.65,PE,Enabled,Default Pipe,1,13.9
36,PI000037,45.47,PE,Enabled,Default Pipe,1,12.5
37,PI000038,45.39,PE,Enabled,Default Pipe,1,10.6
38,PI000039,44.97,PE,Enabled,Default Pipe,1,13.6
39,PI000040,31.80,PE,Enabled,Default Pipe,1,5.0
40,PI000041,44.91,PE,Enabled,Default Pipe,1,49.2
41,PI000042,31.83,PE,Enabled,Default Pipe,1,38.2
42,PI000043,45.96,PE,Enabled,Default Pipe,1,12.1
43,PI000044,45.14,PE,Enabled,Default Pipe,1,18.2
44,PI000045,27.28,PE,Enabled,Default Pipe,1,14.1
45,PI000046,46.17,PE,Enabled,Default Pipe,1,62.8
46,PI000047,45.03,PE,Enabled,Default Pipe,1,10.5
47,PI000048,28.96,PE,Enabled,Default Pipe,1,16.9
48,PI000049,40.26,PE,Enabled,Default Pipe,1,53.7
49,PI000050,25.75,PE,Enabled,Default Pipe,1,255.1
50,PI000051,73.39,PE,Enabled,Default Pipe,7,1.8
51,PI000052,73.43,PE,Enabled,Default Pipe,7,1.9
52,PI000053,70.40,PE,Enabled,Default Pipe,7,156.1
53,PI000054,60.76,PE,Enabled,Default Pipe,2,3.5
54,PI000055,44.74,PE,Enabled,Default Pipe,1,67.2
55,PI000056,46.96,PE,Enabled,Default Pipe,1,84.1
56,PI000057,44.48,PE,Enabled,Default Pipe,1,36.3
57,PI000058,28.50,PE,Enabled,Default Pipe,1,4.2
58,PI000059,44.44,PE,Enabled,Default Pipe,1,84.1
59,PI000060,73.19,PE,Enabled,Default Pipe,3,369.2
