SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,46.93,PE,Enabled,Default Pipe,1,0.9
2,PI000002,49.08,PE,Enabled,Default Pipe,1,0.9
3,PI000003,47.86,PE,Enabled,Default Pipe,1,55.5
4,PI000004,28.17,PE,Enabled,Default Pipe,2,0.5
5,PI000005,26.69,PE,Enabled,Default Pipe,2,153.0
6,PI000007,24.90,DI,Enabled,Default Pipe,2,28.5
7,PI000008,26.21,DI,Enabled,Default Pipe,2,45.2
8,PI000009,25.24,DI,Enabled,Default Pipe,2,26.8
9,PI000012,29.50,DI,Enabled,Default Pipe,2,34.2
10,PI000013,29.57,PE,Enabled,Default Pipe,2,17.3
11,PI000014,30.23,PE,Enabled,Default Pipe,2,14.0
12,PI000015,32.71,PE,Enabled,Default Pipe,2,28.6
13,PI000016,29.35,PE,Enabled,Default Pipe,2,7.4
14,PI000017,29.65,PE,Enabled,Default Pipe,2,35.4
15,PI000018,29.63,PE,Enabled,Default Pipe,2,23.7
16,PI000019,28.50,DI,Enabled,Default Pipe,2,20.1
17,PI000020,28.03,DI,Enabled,Default Pipe,2,32.1
18,PI000021,29.69,PE,Enabled,Default Pipe,2,3.2
19,PI000022,29.48,PE,Enabled,Default Pipe,2,33.4
20,PI000023,28.94,DI,Enabled,Default Pipe,2,48.6
21,PI000024,31.12,DI,Enabled,Default Pipe,2,82.5
22,PI000025,29.64,PE,Enabled,Default Pipe,2,18.8
23,PI000026,29.95,PE,Enabled,Default Pipe,2,1.4
24,PI000027,29.53,PE,Enabled,Default Pipe,2,30.6
25,PI000028,28.62,DI,Enabled,Default Pipe,2,2.8
26,PI000030,29.67,DI,Enabled,Default Pipe,2,7.1
27,PI000031,23.41,PE,Enabled,Default Pipe,2,24.5
28,PI000032,28.13,DI,Enabled,Default Pipe,2,6.4
29,PI000033,28.27,DI,Enabled,Default Pipe,2,25.7
30,PI000034,29.68,PE,Enabled,Default Pipe,2,14.8
31,PI000035,24.29,PE,Enabled,Default Pipe,2,21.7
32,PI000037,26.15,PE,Enabled,Default Pipe,2,2.4
33,PI000038,24.40,PE,Enabled,Default Pipe,2,37.3
34,PI000039,23.68,PE,Enabled,Default Pipe,2,24.2
35,PI000040,24.26,PE,Enabled,Default Pipe,2,35.0
36,PI000041,48.26,PE,Enabled,Default Pipe,1,100.9
37,PI000042,46.70,PE,Enabled,Default Pipe,1,21.8
38,PI000043,46.10,PE,Enabled,Default Pipe,1,66.3
39,PI000044,38.16,PE,Enabled,Default Pipe,1,25.6
40,PI000045,38.23,PE,Enabled,Default Pipe,1,16.9
41,PI000046,38.08,PE,Enabled,Default Pipe,1,25.8
42,PI000047,26.84,PE,Enabled,Default Pipe,2,59.2
43,PI000048,25.11,DI,Enabled,Default Pipe,2,103.2
44,PI000049,25.03,PE,Enabled,Default Pipe,2,33.9
45,PI000051,25.46,DI,Enabled,Default Pipe,2,87.0
46,PI000052,25.66,DI,Enabled,Default Pipe,2,2.5
47,PI000053,25.68,DI,Enabled,Default Pipe,2,2.7
48,PI000054,29.29,PE,Enabled,Default Pipe,2,16.1
49,PI000056,29.50,PE,Enabled,Default Pipe,2,50.3
50,PI000057,31.46,PE,Enabled,Default Pipe,2,2.6
51,PI000058,29.92,PE,Enabled,Default Pipe,2,2.6
52,PI000059,32.49,PE,Enabled,Default Pipe,2,18.7
53,PI000060,33.82,PE,Enabled,Default Pipe,2,29.0
54,PI000061,33.71,DI,Enabled,Default Pipe,2,4.7
55,PI000062,21.92,PE,Enabled,Default Pipe,2,43.4
56,PI000063,29.39,PE,Enabled,Default Pipe,2,29.2
57,PI000064,29.46,PE,Enabled,Default Pipe,2,4.9
58,0606970522,49.08,PE,Enabled,Default Pipe,1,30.7
59,0465597159,48.54,PE,Enabled,Default Pipe,1,99.1
60,0607850757,38.14,PE,Enabled,Default Pipe,1,11.3
61,0465597157,48.88,PE,Enabled,Default Pipe,1,52.3
62,0465597172,48.22,PE,Enabled,Default Pipe,1,262.1
63,0606942242,45.73,PE,Enabled,Default Pipe,1,25.7
64,0607850759,38.14,PE,Enabled,Default Pipe,1,16.8
65,0607312698,38.20,PE,Enabled,Default Pipe,1,8.5
66,0607850761,38.22,PE,Enabled,Default Pipe,1,16.4
67,0465597078,37.99,PE,Enabled,Default Pipe,1,25.5
68,0465597183,42.01,PE,Enabled,Default Pipe,1,658.6
69,0606942244,47.29,PE,Enabled,Default Pipe,1,49.2
70,0465597170,48.57,PE,Enabled,Default Pipe,1,38.6
71,0607850946,46.92,PE,Enabled,Default Pipe,1,15.0
72,0607850764,46.47,PE,Enabled,Default Pipe,1,14.7
73,0607850445,38.03,PE,Enabled,Default Pipe,1,14.1
74,0607186183,37.94,PE,Enabled,Default Pipe,1,14.6
75,0606942767,38.03,PE,Enabled,Default Pipe,1,20.0
